,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-11-18 16:20:25,2021-11-18,ACGL,Petrillo Louis T,Officer of Subsidiary,S - Sale+OE,$42.00,-12567,106162,-11%,"-$527,844",,,,,ACGL
1,D,2021-11-18 16:10:44,2021-11-16,ACGL,Morin Francois,"EVP, CFO",S - Sale+OE,$43.24,-16950,164575,-9%,"-$732,957",,,,,ACGL
2,D,2021-11-12 16:38:36,2021-11-12,ACGL,Rajeh Maamoun,"COB, CEO Arch Re Group",S - Sale+OE,$42.15,-32018,366279,-8%,"-$1,349,684",,,,,ACGL
3,,2021-11-12 11:38:53,2021-11-11,ACGL,Pasquesi John M,Chairman,P - Purchase,$41.23,"+484,544",5342888,+10%,"+$19,980,026",,,,,ACGL
4,,2021-08-24 17:12:52,2021-08-20,ACGL,Morin Francois,"EVP, CFO",S - Sale,$42.04,-5000,179429,-3%,"-$210,223",,,,,ACGL
5,,2021-06-15 18:14:31,2021-06-14,ACGL,Posner Brian S,Dir,S - Sale,$25.24,-4000,115087,-3%,"-$100,971",,,,,ACGL
6,,2021-06-01 15:27:20,2021-05-27,ACGL,Hutchings W Preston,"SVP, Chief Investment Officer",S - Sale,$39.51,-37500,472250,-7%,"-$1,481,715",,,,,ACGL
7,D,2021-05-20 18:47:11,2021-05-20,ACGL,Petrillo Louis T,Officer of Subsidiary,S - Sale+OE,$40.21,-30360,106162,-22%,"-$1,220,642",,,,,ACGL
8,,2021-05-20 18:33:58,2021-05-17,ACGL,Rajeh Maamoun,"COB, CEO Arch Re Group",S - Sale,$40.45,-5496,365514,-1%,"-$222,314",,,,,ACGL
9,,2021-05-18 17:42:16,2021-05-14,ACGL,Morin Francois,"EVP, CFO",S - Sale,$40.15,-15000,181304,-8%,"-$602,292",,,,,ACGL
10,,2021-05-12 16:41:57,2021-05-10,ACGL,Rajeh Maamoun,"COB, CEO Arch Re Group",S - Sale,$40.52,-29790,371010,-7%,"-$1,207,025",,,,,ACGL
11,,2020-05-20 11:18:57,2020-05-18,ACGL,Grandisson Marc,"Pres, CEO",P - Purchase,$24.50,"+23,500",1899413,+1%,"+$575,750",,,,,ACGL
12,,2020-05-18 16:11:09,2020-05-14,ACGL,Hutchings W Preston,"SVP, Chief Investment Officer",S - Sale,$21.20,-100000,426437,-19%,"-$2,119,940",,,,,ACGL
13,,2020-05-15 14:12:34,2020-05-13,ACGL,Posner Brian S,Dir,P - Purchase,$22.16,"+1,000",112801,+1%,"+$22,159",,,,,ACGL
