,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-12-09 17:31:49,2021-12-07,APP,Kkr Denali Holdings L.P.,10%,S - Sale+OE,$80.51,-8410000,60735000,-12%,"-$677,089,100",,,,,APP
1,D,2021-12-09 17:31:18,2021-12-07,APP,Kkr Group Partnership L.P.,10%,S - Sale+OE,$80.51,-8410000,60735000,-12%,"-$677,089,100",,,,,APP
2,,2021-12-09 17:27:28,2021-12-07,APP,Valenzuela Victoria,"CLO, Corp. Secretary",S - Sale,$80.51,-50000,680532,-7%,"-$4,025,500",,,,,APP
3,,2021-12-09 17:12:41,2021-12-07,APP,Vivas Eduardo,Dir,S - Sale,$80.51,-40000,10965160,0%,"-$3,220,400",,,,,APP
4,,2021-12-09 17:11:57,2021-12-07,APP,Jansen Katie Kihorany,CMO,S - Sale,$80.51,-20000,1501570,-1%,"-$1,610,200",,,,,APP
5,,2021-12-09 17:10:03,2021-12-07,APP,Arutunian Elena,Chief Accounting Officer,S - Sale,$80.51,-100000,462500,-18%,"-$8,051,000",,,,,APP
6,M,2021-11-23 16:42:45,2021-11-19,APP,Angel Pride Holdings Ltd,10%,S - Sale,$100.20,-88912,25362775,0%,"-$8,908,850",,,,,APP
7,M,2021-11-19 16:50:07,2021-11-17,APP,Angel Pride Holdings Ltd,10%,S - Sale,$101.83,-168896,25451687,-1%,"-$17,198,537",,,,,APP
8,M,2021-11-17 19:46:26,2021-11-15,APP,Angel Pride Holdings Ltd,10%,S - Sale,$103.91,-401000,25620583,-2%,"-$41,669,521",,,,,APP
9,M,2021-11-12 17:43:21,2021-11-10,APP,Krystynak John,10%,S - Sale,$105.62,-263333,24946392,-1%,"-$27,814,195",,,,,APP
10,M,2021-11-12 17:38:59,2021-11-10,APP,Karam Andrew,10%,S - Sale,$109.32,-316666,24071538,-1%,"-$34,617,970",,,,,APP
11,M,2021-11-12 17:36:30,2021-11-09,APP,Shikin Vasily,CTO,S - Sale,$108.95,-132500,3527100,-4%,"-$14,436,272",,,,,APP
12,M,2021-11-08 17:26:06,2021-11-04,APP,Karam Andrew,10%,S - Sale,$100.17,-34833,24388204,0%,"-$3,489,223",,,,,APP
13,M,2021-11-03 17:55:56,2021-11-01,APP,Karam Andrew,10%,S - Sale,$100.33,-87081,24423037,0%,"-$8,736,424",,,,,APP
14,,2021-10-29 17:21:33,2021-10-27,APP,Krystynak John,10%,S - Sale,$96.05,-33333,25209725,0%,"-$3,201,743",,,,,APP
15,M,2021-10-29 17:21:11,2021-10-27,APP,Karam Andrew,10%,S - Sale,$98.22,-86642,24510118,0%,"-$8,510,399",,,,,APP
16,,2021-10-28 17:51:44,2021-10-26,APP,Shikin Vasily,CTO,S - Sale,$94.32,-22500,3659600,-1%,"-$2,122,228",,,,,APP
17,,2021-10-21 19:33:06,2021-10-19,APP,Shikin Vasily,CTO,S - Sale,$94.70,-30000,3682100,-1%,"-$2,840,997",,,,,APP
18,,2021-10-21 19:32:12,2021-10-19,APP,Krystynak John,10%,S - Sale,$95.86,-180000,25243058,-1%,"-$17,255,446",,,,,APP
19,M,2021-10-15 16:57:26,2021-10-13,APP,Krystynak John,10%,S - Sale,$89.98,-116666,25423058,0%,"-$10,497,893",,,,,APP
20,,2021-10-15 16:57:15,2021-10-14,APP,Karam Andrew,10%,S - Sale,$89.46,-114200,24596760,0%,"-$10,216,332",,,,,APP
21,M,2021-10-13 19:45:42,2021-10-08,APP,Karam Andrew,10%,S - Sale,$86.03,-114130,24710960,0%,"-$9,819,089",,,,,APP
22,M,2021-10-12 19:19:53,2021-10-07,APP,Shikin Vasily,CTO,S - Sale,$85.31,-48500,3712100,-1%,"-$4,137,356",,,,,APP
23,,2021-10-12 19:19:34,2021-10-07,APP,Krystynak John,10%,S - Sale,$81.86,-20498,25539724,0%,"-$1,677,946",,,,,APP
24,M,2021-09-28 19:38:50,2021-09-24,APP,Shikin Vasily,CTO,S - Sale,$75.85,-27200,3760600,-1%,"-$2,062,992",,,,,APP
25,,2021-09-28 18:02:31,2021-09-24,APP,Krystynak John,10%,S - Sale,$80.42,-16702,25560222,0%,"-$1,343,205",,,,,APP
26,,2021-09-17 18:44:20,2021-09-10,APP,Shikin Vasily,CTO,S - Sale,$80.00,-7300,3787800,0%,"-$584,029",,,,,APP
27,,2021-09-16 17:30:46,2021-09-14,APP,Shikin Vasily,CTO,S - Sale,$75.79,-16500,3795100,0%,"-$1,250,452",,,,,APP
28,,2021-09-14 17:04:40,2021-09-10,APP,Krystynak John,10%,S - Sale,$80.10,-12800,25576924,0%,"-$1,025,280",,,,,APP
29,M,2021-09-02 18:28:17,2021-09-01,APP,Jansen Katie Kihorany,CMO,S - Sale,$76.71,-103527,1521570,-6%,"-$7,941,809",,,,,APP
30,,2021-09-02 18:19:21,2021-08-31,APP,Shikin Vasily,CTO,S - Sale,$71.23,-16500,3811600,0%,"-$1,175,259",,,,,APP
31,,2021-08-26 19:25:32,2021-08-24,APP,Jansen Katie Kihorany,CMO,S - Sale,$72.14,-25473,1625097,-2%,"-$1,837,724",,,,,APP
32,M,2021-08-24 21:16:21,2021-08-20,APP,Jansen Katie Kihorany,CMO,S - Sale,$69.59,-51930,1650570,-3%,"-$3,613,785",,,,,APP
33,M,2021-08-20 16:39:40,2021-08-18,APP,Krystynak John,10%,S - Sale,$65.50,-150000,25589724,-1%,"-$9,825,448",,,,,APP
34,,2021-08-18 18:00:17,2021-08-17,APP,Chen Herald Y,"Pres, CFO",P - Purchase,$60.00,"+25,000",50000,+100%,"+$1,500,000",,,,,APP
35,,2021-08-18 17:05:43,2021-08-16,APP,Shikin Vasily,CTO,S - Sale,$55.57,-16500,3828100,0%,"-$916,955",,,,,APP
36,M,2021-05-19 21:05:06,2021-05-17,APP,Chen Herald Y,"Pres, CFO",P - Purchase,$61.01,"+25,000",25000,New,"+$1,525,207",,,,,APP
