,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-12-16 17:50:15,2021-12-14,BGNE,Huang Jane,"CMO, Hematology",S - Sale+OE,$278.14,-1500,160055,-1%,"-$417,211",,,,,BGNE
1,,2021-12-02 18:21:34,2021-12-01,BGNE,Huang Jane,"CMO, Hematology",S - Sale,$359.86,-1049,160055,-1%,"-$377,493",,,,,BGNE
2,D,2021-11-19 18:18:42,2021-11-17,BGNE,Huang Jane,"CMO, Hematology",S - Sale+OE,$381.34,-1500,145235,-1%,"-$572,003",,,,,BGNE
3,,2021-11-10 17:30:42,2021-11-08,BGNE,Wang Xiaodong,"Chair, Scientific Advisory Brd",S - Sale,$350.05,-4500,11277209,0%,"-$1,575,202",,,,,BGNE
4,,2021-11-10 17:25:31,2021-11-08,BGNE,Wang Xiaodong,"Chair, Scientific Advisory Brd",S - Sale,$349.81,-4500,11335709,0%,"-$1,574,148",,,,,BGNE
5,M,2021-11-10 17:14:22,2021-11-08,BGNE,Wu Xiaobin,"Pres, COO, GM China",S - Sale,$358.27,-10000,968261,-1%,"-$3,582,663",,,,,BGNE
6,D,2021-10-21 17:37:32,2021-10-19,BGNE,Huang Jane,"CMO, Hematology",S - Sale+OE,$372.78,-1500,145235,-1%,"-$559,163",,,,,BGNE
7,D,2021-09-22 18:15:22,2021-09-20,BGNE,Huang Jane,"CMO, Hematology",S - Sale+OE,$397.96,-6000,145235,-4%,"-$2,387,774",,,,,BGNE
8,M,2021-09-16 18:06:11,2021-09-14,BGNE,Oyler John,CEO,S - Sale,$82.04,-411838,49551731,-1%,"-$33,788,320",,,,,BGNE
9,,2021-09-15 18:16:00,2021-09-13,BGNE,Huang Jane,"CMO, Hematology",S - Sale,$358.14,-12901,145235,-8%,"-$4,620,390",,,,,BGNE
10,,2021-09-13 19:27:07,2021-09-10,BGNE,Amgen Inc,10%,P - Purchase,$302.06,"+165,529",18943802,+1%,"+$49,999,938",,,,,BGNE
11,M,2021-09-02 20:40:28,2021-08-31,BGNE,Oyler John,CEO,S - Sale,$109.78,-288639,50731989,-1%,"-$31,685,324",,,,,BGNE
12,M,2021-09-02 20:39:22,2021-09-01,BGNE,Huang Jane,"CMO, Hematology",S - Sale,$318.88,-1087,312948,0%,"-$346,621",,,,,BGNE
13,M,2021-08-05 21:03:34,2021-08-04,BGNE,Oyler John,CEO,S - Sale,$132.34,-125309,52032000,0%,"-$16,583,634",,,,,BGNE
14,,2021-08-05 21:01:40,2021-08-03,BGNE,Oyler John,CEO,S - Sale,$182.37,-83359,52662617,0%,"-$15,202,048",,,,,BGNE
15,,2021-07-22 18:23:18,2021-07-22,BGNE,Oyler John,CEO,S - Sale,$71.82,-69216,53249484,0%,"-$4,971,360",,,,,BGNE
16,M,2021-07-22 18:21:06,2021-07-20,BGNE,Oyler John,CEO,S - Sale,$152.13,-70855,53454492,0%,"-$10,778,877",,,,,BGNE
17,D,2021-07-19 16:43:40,2021-07-15,BGNE,Huang Jane,"CMO, Hematology",S - Sale+OE,$332.42,-21000,298661,-7%,"-$6,980,771",,,,,BGNE
18,M,2021-07-08 19:11:12,2021-07-08,BGNE,Oyler John,CEO,S - Sale,$94.83,-67481,53900407,0%,"-$6,399,303",,,,,BGNE
19,M,2021-07-08 19:09:17,2021-07-06,BGNE,Oyler John,CEO,S - Sale,$117.22,-123821,54158460,0%,"-$14,514,637",,,,,BGNE
20,,2021-07-08 18:25:24,2021-07-06,BGNE,Wu Xiaobin,"Pres, COO, GM China",S - Sale,$325.53,-10180,1097754,-1%,"-$3,313,927",,,,,BGNE
21,,2021-07-01 18:01:06,2021-07-01,BGNE,Wang Xiaodong,"Chair, Scientific Advisory Brd",S - Sale,$348.15,-4848,11394209,0%,"-$1,687,852",,,,,BGNE
22,,2021-07-01 16:58:07,2021-07-01,BGNE,Wang Julia Aijun,CFO,S - Sale,$349.06,-308,79872,0%,"-$107,512",,,,,BGNE
23,DM,2021-06-30 16:49:52,2021-06-28,BGNE,Huang Jane,"CMO, Hematology",S - Sale+OE,$354.97,-1925,298661,-1%,"-$683,323",,,,,BGNE
24,,2021-06-30 16:48:00,2021-06-28,BGNE,Wang Lai,"Global Head of R, D",S - Sale,$362.48,-455,232739,0%,"-$164,930",,,,,BGNE
25,D,2021-06-21 16:49:03,2021-06-18,BGNE,Wu Xiaobin,"Pres, COO, GM China",S - Sale+OE,$330.93,-1156,1230094,0%,"-$382,551",,,,,BGNE
26,D,2021-06-21 16:47:34,2021-06-18,BGNE,Wang Lai,"Global Head of R, D",S - Sale+OE,$331.15,-802,238654,0%,"-$265,583",,,,,BGNE
27,D,2021-06-21 16:45:53,2021-06-18,BGNE,Huang Jane,"CMO, Hematology",S - Sale+OE,$325.66,-469,304186,0%,"-$152,733",,,,,BGNE
28,,2021-06-21 16:43:42,2021-06-18,BGNE,Liang Howard,"CFO, Chief Strategy Officer",S - Sale,$325.89,-486,1558947,0%,"-$158,383",,,,,BGNE
29,DM,2021-06-11 16:36:00,2021-06-09,BGNE,Chen Timothy Yung-Cheng,Dir,S - Sale+OE,$351.67,-6000,0,-100%,"-$2,110,018",,,,,BGNE
30,,2021-06-09 16:49:51,2021-06-07,BGNE,Wu Xiaobin,"Pres, COO, GM China",S - Sale,$352.54,-3398,1167122,0%,"-$1,197,917",,,,,BGNE
31,,2021-06-09 16:48:21,2021-06-07,BGNE,Liang Howard,"CFO, Chief Strategy Officer",S - Sale,$354.16,-650,1565265,0%,"-$230,203",,,,,BGNE
32,,2021-06-09 16:46:48,2021-06-07,BGNE,Wang Lai,"Global Head of R, D",S - Sale,$354.26,-656,195455,0%,"-$232,392",,,,,BGNE
33,,2021-06-09 16:45:19,2021-06-07,BGNE,Huang Jane,"CMO, Hematology",S - Sale,$351.55,-603,284933,0%,"-$211,986",,,,,BGNE
34,DM,2021-06-02 16:40:31,2021-05-28,BGNE,Huang Jane,"CMO, Hematology",S - Sale+OE,$357.98,-2040,292772,-1%,"-$730,281",,,,,BGNE
35,D,2021-05-12 16:32:27,2021-05-10,BGNE,Wang Xiaodong,"Chair, Scientific Advisory Brd",S - Sale+OE,$300.46,-3394,11418233,0%,"-$1,019,752",,,,,BGNE
36,,2021-05-05 16:46:49,2021-05-03,BGNE,Wu Xiaobin,"Pres, COO, GM China",S - Sale,$343.00,-6715,1211296,-1%,"-$2,303,245",,,,,BGNE
37,D,2021-05-03 16:35:48,2021-04-29,BGNE,Huang Jane,"CMO, Hematology",S - Sale+OE,$354.93,-1500,285583,-1%,"-$532,387",,,,,BGNE
38,D,2021-03-31 16:46:31,2021-03-29,BGNE,Huang Jane,"CMO, Hematology",S - Sale+OE,$324.00,-1500,285583,-1%,"-$485,993",,,,,BGNE
39,D,2021-03-02 16:52:23,2021-02-26,BGNE,Huang Jane,"CMO, Hematology",S - Sale+OE,$320.73,-1500,285583,-1%,"-$481,099",,,,,BGNE
40,D,2021-02-02 16:49:48,2021-01-29,BGNE,Huang Jane,"CMO, Hematology",S - Sale+OE,$323.00,-1500,285583,-1%,"-$484,492",,,,,BGNE
41,DM,2021-01-19 17:04:36,2021-01-14,BGNE,Liang Howard,"CFO, Chief Strategy Officer",S - Sale+OE,$344.85,-14000,1573715,-1%,"-$4,827,945",,,,,BGNE
42,,2021-01-06 18:32:16,2021-01-04,BGNE,Baker Bros. Advisors LP,"Dir, 10%",S - Sale,$220.50,-121154,10757966,-1%,"-$26,714,457",,,,,BGNE
43,D,2020-12-30 16:34:54,2020-12-29,BGNE,Huang Jane,"CMO, Hematology",S - Sale+OE,$249.13,-1500,285583,-1%,"-$373,690",,,,,BGNE
44,D,2020-12-16 16:43:50,2020-12-14,BGNE,Liang Howard,"CFO, Chief Strategy Officer",S - Sale+OE,$229.04,-91900,1573715,-6%,"-$21,048,454",,,,,BGNE
45,,2020-12-04 17:24:11,2020-12-04,BGNE,Baker Bros. Advisors LP,"Dir, 10%",S - Sale,$220.50,-1511546,10858642,-12%,"-$333,295,893",,,,,BGNE
46,D,2020-12-02 17:01:10,2020-11-30,BGNE,Huang Jane,"CMO, Hematology",S - Sale+OE,$267.82,-1500,285583,-1%,"-$401,723",,,,,BGNE
47,D,2020-11-02 16:44:12,2020-10-29,BGNE,Huang Jane,"CMO, Hematology",S - Sale+OE,$300.06,-1500,285583,-1%,"-$450,093",,,,,BGNE
48,,2020-10-20 16:44:38,2020-10-16,BGNE,Wang Xiaodong,"Chair, Scientific Advisory Brd",S - Sale,$320.00,-5000,11627429,0%,"-$1,600,000",,,,,BGNE
49,,2020-10-07 16:56:16,2020-10-05,BGNE,Wang Xiaodong,"Chair, Scientific Advisory Brd",S - Sale,$300.00,-5000,11692429,0%,"-$1,500,000",,,,,BGNE
50,,2020-10-07 16:52:28,2020-10-05,BGNE,Wu Xiaobin,"Pres, GM China",S - Sale,$300.00,-4000,1297915,0%,"-$1,200,000",,,,,BGNE
51,D,2020-10-07 16:50:09,2020-10-05,BGNE,Liang Howard,"CFO, Chief Strategy Officer",S - Sale+OE,$299.60,-14000,168415,-8%,"-$4,194,413",,,,,BGNE
52,D,2020-10-01 16:52:57,2020-09-29,BGNE,Huang Jane,"CMO, Hematology",S - Sale+OE,$280.38,-1500,285583,-1%,"-$420,568",,,,,BGNE
53,M,2020-09-30 16:53:57,2020-09-28,BGNE,Oyler John,CEO,S - Sale,$280.39,-54303,56196800,0%,"-$15,226,093",,,,,BGNE
54,,2020-09-29 16:59:32,2020-09-25,BGNE,Wang Xiaodong,"Chair, Scientific Advisory Brd",S - Sale,$280.42,-5000,11757429,0%,"-$1,402,116",,,,,BGNE
55,,2020-09-29 16:57:45,2020-09-25,BGNE,Wu Xiaobin,"Pres, GM China",S - Sale,$280.35,-4000,1349915,0%,"-$1,121,406",,,,,BGNE
56,,2020-09-21 16:53:40,2020-09-17,BGNE,Wang Xiaodong,"Chair, Scientific Advisory Brd",S - Sale,$260.27,-5000,11822429,0%,"-$1,301,356",,,,,BGNE
57,,2020-09-21 16:50:53,2020-09-17,BGNE,Wu Xiaobin,"Pres, GM China",S - Sale,$260.33,-4000,1401915,0%,"-$1,041,327",,,,,BGNE
58,M,2020-09-16 17:12:20,2020-09-14,BGNE,Oyler John,CEO,S - Sale,$253.46,-81228,56902739,0%,"-$20,587,969",,,,,BGNE
59,D,2020-09-16 17:10:06,2020-09-14,BGNE,Liang Howard,"CFO, Chief Strategy Officer",S - Sale+OE,$250.27,-14000,168415,-8%,"-$3,503,764",,,,,BGNE
60,,2020-09-08 16:44:09,2020-09-03,BGNE,Huang Jane,"CMO, Hematology",S - Sale,$233.07,-3128,285583,-1%,"-$729,045",,,,,BGNE
61,M,2020-09-02 17:44:06,2020-08-31,BGNE,Oyler John,CEO,S - Sale,$233.21,-61042,57958703,0%,"-$14,235,597",,,,,BGNE
62,D,2020-09-01 16:41:32,2020-08-28,BGNE,Huang Jane,"CMO, Hematology",S - Sale+OE,$242.21,-3000,326247,-1%,"-$726,626",,,,,BGNE
63,M,2020-08-21 17:21:14,2020-08-19,BGNE,Oyler John,CEO,S - Sale,$237.06,-92177,58752249,0%,"-$21,851,789",,,,,BGNE
64,M,2020-08-14 17:30:14,2020-08-12,BGNE,Oyler John,CEO,S - Sale,$212.71,-42968,59950550,0%,"-$9,139,562",,,,,BGNE
65,DM,2020-08-12 17:02:39,2020-08-10,BGNE,Chen Timothy Yung-Cheng,Dir,S - Sale+OE,$212.92,-7000,0,-100%,"-$1,490,460",,,,,BGNE
66,,2020-08-12 16:38:28,2020-08-10,BGNE,Wang Xiaodong,"Chair, Scientific Advisory Brd",S - Sale,$211.06,-4000,11887429,0%,"-$844,229",,,,,BGNE
67,,2020-08-05 17:43:45,2020-08-05,BGNE,Oyler John,CEO,S - Sale,$223.27,-17254,60509134,0%,"-$3,852,273",,,,,BGNE
68,M,2020-08-05 17:30:01,2020-08-03,BGNE,Oyler John,CEO,S - Sale,$221.27,-40559,60733436,0%,"-$8,974,526",,,,,BGNE
