,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-16 16:45:10,2021-12-15,BKNG,Goulden David I,CFO,S - Sale,"$2,156.15",-183,3857,-5%,"-$394,575",,,,,BKNG
1,,2021-12-16 16:43:53,2021-12-15,BKNG,Fogel Glenn D,"CEO, Pres",S - Sale,"$2,120.03",-750,44789,-2%,"-$1,590,025",,,,,BKNG
2,,2021-11-16 16:24:11,2021-11-15,BKNG,Fogel Glenn D,"CEO, Pres",S - Sale,"$2,420.91",-750,45539,-2%,"-$1,815,685",,,,,BKNG
3,,2021-11-16 16:19:03,2021-11-15,BKNG,Goulden David I,CFO,S - Sale,"$2,455.00",-183,4040,-4%,"-$449,265",,,,,BKNG
4,,2021-10-18 17:14:54,2021-10-15,BKNG,Fogel Glenn D,"CEO, Pres",S - Sale,"$2,530.33",-750,46289,-2%,"-$1,897,749",,,,,BKNG
5,,2021-10-18 17:11:55,2021-10-15,BKNG,Goulden David I,CFO,S - Sale,"$2,520.00",-183,4223,-4%,"-$461,160",,,,,BKNG
6,,2021-09-17 16:51:07,2021-09-15,BKNG,Goulden David I,CFO,S - Sale,"$2,328.80",-183,4406,-4%,"-$426,170",,,,,BKNG
7,,2021-09-17 16:48:23,2021-09-15,BKNG,Fogel Glenn D,"CEO, Pres",S - Sale,"$2,348.59",-750,47039,-2%,"-$1,761,445",,,,,BKNG
8,,2021-08-17 16:40:10,2021-08-16,BKNG,Goulden David I,CFO,S - Sale,"$2,193.17",-183,4589,-4%,"-$401,350",,,,,BKNG
9,,2021-08-17 16:38:40,2021-08-16,BKNG,Fogel Glenn D,"CEO, Pres",S - Sale,"$2,136.97",-750,47789,-2%,"-$1,602,731",,,,,BKNG
10,,2021-07-16 16:44:37,2021-07-15,BKNG,Goulden David I,CFO,S - Sale,"$2,173.00",-183,4772,-4%,"-$397,659",,,,,BKNG
11,,2021-06-17 16:22:25,2021-06-15,BKNG,Goulden David I,CFO,S - Sale,"$2,302.37",-183,4955,-4%,"-$421,334",,,,,BKNG
12,,2021-05-18 16:28:53,2021-05-17,BKNG,Goulden David I,CFO,S - Sale,"$2,261.54",-183,5138,-3%,"-$413,862",,,,,BKNG
13,,2021-05-14 16:28:41,2021-05-12,BKNG,Boyd Jeffery H,Dir,S - Sale,"$2,228.65",-873,40433,-2%,"-$1,945,615",,,,,BKNG
14,,2021-05-14 16:27:59,2021-05-12,BKNG,Boyd Jeffery H,Dir,S - Sale,"$2,190.85",-9127,41306,-18%,"-$19,995,887",,,,,BKNG
15,,2021-03-05 16:27:37,2021-03-03,BKNG,Boyd Jeffery H,Dir,S - Sale,"$2,316.74",-3112,50433,-6%,"-$7,209,709",,,,,BKNG
16,,2021-03-05 16:26:36,2021-03-03,BKNG,Boyd Jeffery H,Dir,S - Sale,"$2,296.53",-6888,53545,-11%,"-$15,818,474",,,,,BKNG
17,EM,2019-06-18 16:31:34,2019-06-14,BKNG,Tans Gillian,"Pres, CEO, Booking.com",S - Sale,$5.91,-606,6426,-9%,"-$3,584",,,,,BKNG
18,E,2019-06-07 16:07:43,2019-06-05,BKNG,Epstein Jeffrey E,Dir,S - Sale,$7.02,-250,8257,-3%,"-$1,756",,,,,BKNG
19,E,2019-05-17 16:01:18,2019-05-15,BKNG,Tans Gillian,"Pres, CEO, Booking.com",S - Sale,$5.87,-606,7032,-8%,"-$3,557",,,,,BKNG
20,E,2019-04-17 16:16:24,2019-04-15,BKNG,Tans Gillian,"Pres, CEO, Booking.com",S - Sale,$5.71,-321,8158,-4%,"-$1,834",,,,,BKNG
21,E,2019-03-19 17:04:21,2019-03-15,BKNG,Tans Gillian,"Pres, CEO, Booking.com",S - Sale,$5.46,-321,8479,-4%,"-$1,752",,,,,BKNG
22,E,2019-03-06 16:30:07,2019-03-05,BKNG,Epstein Jeffrey E,Dir,S - Sale,$6.86,-250,8507,-3%,"-$1,715",,,,,BKNG
23,E,2019-02-20 16:29:46,2019-02-15,BKNG,Tans Gillian,"Pres, CEO, Booking.com",S - Sale,$6.55,-294,4951,-6%,"-$1,925",,,,,BKNG
24,E,2019-01-16 16:33:23,2019-01-15,BKNG,Tans Gillian,"Pres, CEO, Booking.com",S - Sale,$5.77,-294,5245,-5%,"-$1,695",,,,,BKNG
25,E,2018-12-18 16:10:28,2018-12-17,BKNG,Tans Gillian,"Pres, CEO, Booking.com",S - Sale,$6.11,-294,5539,-5%,"-$1,797",,,,,BKNG
26,E,2018-12-06 16:22:35,2018-12-03,BKNG,Epstein Jeffrey E,Dir,S - Sale,$7.70,-250,8757,-3%,"-$1,925",,,,,BKNG
27,E,2018-11-19 16:21:46,2018-11-15,BKNG,Tans Gillian,"Pres, CEO, Booking.com",S - Sale,$6.39,-293,5833,-5%,"-$1,872",,,,,BKNG
28,E,2018-10-17 16:25:19,2018-10-15,BKNG,Tans Gillian,"Pres, CEO, Booking.com",S - Sale,$6.11,-295,6126,-5%,"-$1,804",,,,,BKNG
29,E,2018-09-19 16:39:43,2018-09-17,BKNG,Tans Gillian,"Pres, CEO, Booking.com",S - Sale,$6.50,-295,6421,-4%,"-$1,918",,,,,BKNG
30,E,2018-09-06 16:39:18,2018-09-04,BKNG,Epstein Jeffrey E,Dir,S - Sale,$7.80,-250,9007,-3%,"-$1,951",,,,,BKNG
31,E,2018-08-17 16:35:21,2018-08-15,BKNG,Tans Gillian,"Pres, CEO, Booking.com",S - Sale,$6.17,-295,6716,-4%,"-$1,820",,,,,BKNG
32,E,2018-07-18 16:03:25,2018-07-16,BKNG,Tans Gillian,"Pres, CEO, Booking.com",S - Sale,$6.88,-295,7011,-4%,"-$2,031",,,,,BKNG
33,E,2018-06-18 18:23:04,2018-06-15,BKNG,Tans Gillian,"Pres, CEO, Booking.com",S - Sale,$7.21,-295,7306,-4%,"-$2,126",,,,,BKNG
34,E,2018-06-05 16:48:39,2018-06-01,BKNG,Epstein Jeffrey E,Dir,S - Sale,$8.48,-250,9257,-3%,"-$2,121",,,,,BKNG
35,E,2018-05-17 16:29:49,2018-05-15,BKNG,Tans Gillian,"Pres, CEO, Booking.com",S - Sale,$6.96,-295,7601,-4%,"-$2,054",,,,,BKNG
36,E,2018-04-18 16:30:44,2018-04-16,BKNG,Tans Gillian,"Pres, CEO, Booking.com",S - Sale,$7.10,-295,7896,-4%,"-$2,094",,,,,BKNG
37,E,2018-03-16 16:07:56,2018-03-15,BKNG,Millones Peter J,"EVP, GC",S - Sale,$13.27,-3629,3603,-50%,"-$48,168",,,,,BKNG
38,E,2018-03-16 16:06:32,2018-03-15,BKNG,Tans Gillian,"Pres, CEO, Booking.com",S - Sale,$7.42,-295,8191,-3%,"-$2,190",,,,,BKNG
39,E,2018-03-06 16:15:36,2018-03-05,BKNG,Epstein Jeffrey E,Dir,S - Sale,$8.08,-250,9379,-3%,"-$2,020",,,,,BKNG
40,,2018-02-16 16:13:21,2018-02-15,PCLN,Tans Gillian,"Pres, CEO, Booking.com",S - Sale,"$1,850.86",-123,5065,-2%,"-$227,656",,,,,BKNG
41,,2018-01-18 16:59:46,2018-01-16,PCLN,Tans Gillian,"Pres, CEO, Booking.com",S - Sale,"$1,930.71",-122,5188,-2%,"-$235,547",,,,,BKNG
42,,2017-12-19 16:27:42,2017-12-15,PCLN,Tans Gillian,"Pres, CEO, Booking.com",S - Sale,"$1,772.94",-122,5310,-2%,"-$216,299",,,,,BKNG
