,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-08-25 16:02:12,2021-08-24,CERN,Devers Daniel,"EVP, GC",S - Sale+OE,$77.45,-9000,3508,-72%,"-$697,050",,,,,CERN
1,DM,2021-08-10 09:05:12,2021-08-09,CERN,Battaglioli Michael R.,"SVP, Chief Accounting Officer",S - Sale+OE,$80.02,-9750,2670,-79%,"-$780,225",,,,,CERN
2,D,2021-08-03 09:14:47,2021-08-02,CERN,Platt Tracy L,CHRO,S - Sale+OE,$79.70,-9989,604,-94%,"-$796,123",,,,,CERN
3,D,2021-06-04 16:01:54,2021-06-04,CERN,Dalton Travis,"EVP, Chief Client, Serv. Off",S - Sale+OE,$81.17,-23603,3530,-87%,"-$1,915,856",,,,,CERN
4,D,2021-05-14 17:11:07,2021-05-14,CERN,Battaglioli Michael R.,"VP, Chief Accounting Officer",S - Sale+OE,$77.06,-5480,5420,-50%,"-$422,289",,,,,CERN
5,D,2021-05-07 18:02:32,2021-05-07,CERN,Shafer David Brent,"COB, CEO",S - Sale+OE,$76.36,-88729,366,-100%,"-$6,775,346",,,,,CERN
6,DM,2021-03-10 16:01:29,2021-03-08,CERN,Erceg Mark J,"EVP, CFO",P - Purchase,$71.13,"+10,547",31963,+49%,"+$750,241",,,,,CERN
7,DM,2021-03-03 16:33:26,2021-03-01,CERN,Erceg Mark J,"EVP, CFO",P - Purchase,$69.66,"+10,761",21416,+101%,"+$749,597",,,,,CERN
8,DM,2021-02-24 16:02:03,2021-02-22,CERN,Erceg Mark J,"EVP, CFO",P - Purchase,$70.43,"+10,655",10655,New,"+$750,422",,,,,CERN
9,,2021-02-18 16:05:52,2021-02-17,CERN,Zollars William D,Dir,S - Sale,$72.63,-6256,26588,-19%,"-$454,373",,,,,CERN
10,D,2020-12-15 16:08:31,2020-12-11,CERN,Battaglioli Michael R.,"VP, Chief Accounting Officer",S - Sale+OE,$74.95,-2960,3547,-45%,"-$221,852",,,,,CERN
11,D,2020-12-03 16:34:47,2020-12-01,CERN,Peterzalek John,"EVP, Chief Client, Serv. Off",S - Sale+OE,$76.00,-100,24838,0%,"-$7,600",,,,,CERN
12,,2020-11-17 16:26:32,2020-11-16,CERN,Riedel George Andrew,Dir,S - Sale,$75.69,-1750,9637,-15%,"-$132,458",,,,,CERN
13,DM,2020-11-17 16:25:43,2020-11-13,CERN,Peterzalek John,"EVP, Chief Client, Serv. Off",S - Sale+OE,$75.25,-16100,24838,-39%,"-$1,211,494",,,,,CERN
14,DM,2020-11-12 17:14:08,2020-11-09,CERN,Peterzalek John,"EVP, Chief Client, Serv. Off",S - Sale+OE,$76.05,-53148,24838,-68%,"-$4,041,924",,,,,CERN
15,,2020-08-06 17:13:16,2020-08-06,CERN,Bisbee Gerald E Jr,Dir,S - Sale,$69.86,-7456,54716,-12%,"-$520,876",,,,,CERN
