,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-24 16:30:31,2021-11-22,CG,D'Aniello Daniel A.,Dir,S - Sale,$58.05,-1500000,32999644,-4%,"-$87,076,470",,,,,CG
1,,2021-11-10 17:52:13,2021-11-09,CG,Rubenstein David M.,Dir,S - Sale,$58.00,-2000000,31249644,-6%,"-$116,000,000",,,,,CG
2,,2021-11-04 18:53:54,2021-11-03,CG,Robertson Thomas S,Dir,S - Sale,$56.68,-30000,21930,-58%,"-$1,700,400",,,,,CG
3,,2021-08-27 16:30:13,2021-08-26,CG,D'Aniello Daniel A.,Dir,S - Sale,$47.10,-5000000,35012186,-12%,"-$235,500,000",,,,,CG
4,M,2021-08-13 21:14:42,2021-08-11,CG,Rubenstein David M.,Dir,S - Sale,$47.10,-4000000,33249644,-11%,"-$188,391,088",,,,,CG
5,,2021-08-06 18:24:18,2021-08-06,CG,Andrews Charles Elliott Jr.,Chief Accounting Officer,S - Sale,$47.89,-6000,22282,-21%,"-$287,340",,,,,CG
6,,2021-08-06 18:23:31,2021-08-05,CG,D'Aniello Daniel A.,"Dir, 10%",S - Sale,$46.80,-5000000,39499644,-11%,"-$234,000,000",,,,,CG
7,,2021-08-03 21:20:53,2021-08-02,CG,Larson Bruce M.,CHRO,S - Sale,$48.80,-860,164356,-1%,"-$41,968",,,,,CG
8,,2021-08-03 21:18:27,2021-08-02,CG,Ferguson Jeffrey W.,GC,S - Sale,$48.80,-14653,987758,-1%,"-$715,066",,,,,CG
9,,2021-08-03 21:14:48,2021-08-02,CG,Clare Peter J,See remarks.,S - Sale,$48.80,-14996,5168389,0%,"-$731,805",,,,,CG
10,,2021-08-03 21:12:43,2021-08-02,CG,Finn Christopher,COO,S - Sale,$48.80,-41273,1094439,-4%,"-$2,014,122",,,,,CG
11,,2021-08-03 21:12:08,2021-08-02,CG,Andrews Charles Elliott Jr.,Chief Accounting Officer,S - Sale,$48.80,-4210,28282,-13%,"-$205,448",,,,,CG
12,,2021-08-03 21:11:33,2021-08-02,CG,Lee Kewsong,CEO,S - Sale,$48.80,-16495,3083325,-1%,"-$804,956",,,,,CG
13,,2021-08-03 21:10:58,2021-08-02,CG,Buser Curtis L.,CFO,S - Sale,$48.80,-45672,1028457,-4%,"-$2,228,794",,,,,CG
14,,2021-05-19 18:15:37,2021-05-18,CG,Rubenstein David M.,"Dir, 10%",S - Sale,$41.76,-2000000,37249644,-5%,"-$83,520,000",,,,,CG
15,,2021-05-03 21:32:01,2021-05-03,CG,Lee Kewsong,CEO,S - Sale,$43.49,-2639,821902,0%,"-$114,770",,,,,CG
16,,2021-03-12 20:09:28,2021-03-11,CG,Rubenstein David M.,"Dir, 10%",S - Sale,$35.80,-3000000,39249644,-7%,"-$107,400,000",,,,,CG
17,,2021-02-10 19:37:46,2021-02-09,CG,Ferguson Jeffrey W.,GC,S - Sale,$36.60,-14236,1002411,-1%,"-$521,038",,,,,CG
18,,2021-02-10 19:36:51,2021-02-09,CG,Buser Curtis L.,CFO,S - Sale,$36.60,-33215,1074129,-3%,"-$1,215,669",,,,,CG
19,,2021-02-10 19:36:10,2021-02-09,CG,Finn Christopher,COO,S - Sale,$36.60,-35572,1135712,-3%,"-$1,301,935",,,,,CG
20,,2021-02-10 19:34:41,2021-02-09,CG,Lee Kewsong,CEO,S - Sale,$36.60,-140701,3102459,-4%,"-$5,149,657",,,,,CG
21,,2021-02-03 21:22:54,2021-02-01,CG,Clare Peter J,See Remarks,S - Sale,$32.06,-60829,5183385,-1%,"-$1,950,178",,,,,CG
22,,2021-02-03 21:19:30,2021-02-01,CG,Lee Kewsong,CEO,S - Sale,$32.06,-123532,2956160,-4%,"-$3,960,436",,,,,CG
23,,2020-12-11 18:02:38,2020-12-10,CG,Rubenstein David M.,"See Remarks, 10%",S - Sale,$29.05,-750000,42249644,-2%,"-$21,787,500",,,,,CG
24,,2020-11-24 17:29:01,2020-11-24,CG,Rubenstein David M.,"See Remarks, 10%",S - Sale,$27.30,-2000000,42999644,-4%,"-$54,600,000",,,,,CG
25,,2020-11-10 16:43:42,2020-11-09,CG,Rubenstein David M.,"See Remarks, 10%",S - Sale,$27.32,-2000000,44999644,-4%,"-$54,640,000",,,,,CG
26,,2020-09-11 16:30:20,2020-09-09,CG,Bentley Pamela L,Chief Accounting Officer,S - Sale,$25.51,-24510,19969,-55%,"-$625,250",,,,,CG
27,,2020-08-05 16:49:28,2020-08-03,CG,Youngkin Glenn A.,Co-CEO,S - Sale,$27.80,-13871,8315552,0%,"-$385,614",,,,,CG
28,,2020-08-05 16:47:39,2020-08-03,CG,Lee Kewsong,Co-CEO,S - Sale,$27.80,-73365,3074203,-2%,"-$2,039,547",,,,,CG
29,,2020-08-05 16:45:27,2020-08-03,CG,Ferguson Jeffrey W.,GC,S - Sale,$27.80,-22861,879522,-3%,"-$635,536",,,,,CG
30,,2020-08-05 16:43:11,2020-08-03,CG,Finn Christopher,COO,S - Sale,$27.80,-60733,915776,-6%,"-$1,688,377",,,,,CG
31,,2020-08-05 16:41:54,2020-08-03,CG,Buser Curtis L.,CFO,S - Sale,$27.80,-58203,851836,-6%,"-$1,618,043",,,,,CG
32,,2020-08-05 16:36:47,2020-08-03,CG,Bentley Pamela L,Chief Accounting Officer,S - Sale,$27.80,-8332,49333,-14%,"-$231,630",,,,,CG
33,,2020-03-06 19:07:30,2020-03-05,CG,Bentley Pamela L,Chief Accounting Officer,S - Sale,$28.44,-20000,57665,-26%,"-$568,800",,,,,CG
34,,2020-02-12 21:24:15,2020-02-10,CG,Buser Curtis L.,CFO,S - Sale,$33.07,-36773,910039,-4%,"-$1,216,083",,,,,CG
35,,2020-02-12 21:21:50,2020-02-10,CG,Ferguson Jeffrey W.,GC,S - Sale,$33.07,-55026,902383,-6%,"-$1,819,710",,,,,CG
36,,2020-02-12 21:21:11,2020-02-10,CG,Finn Christopher,COO,S - Sale,$33.07,-73594,976509,-7%,"-$2,433,754",,,,,CG
37,,2019-09-23 17:58:30,2019-09-20,CG,Bentley Pamela L,Chief Accounting Officer,S - Sale,$26.69,-20000,113660,-15%,"-$533,800",,,,,CG
38,,2019-08-05 20:38:38,2019-08-01,CG,Finn Christopher,COO,S - Sale,$22.85,-55138,624905,-8%,"-$1,259,903",,,,,CG
39,,2019-08-05 20:36:00,2019-08-01,CG,Buser Curtis L.,CFO,S - Sale,$22.85,-80381,530328,-13%,"-$1,836,706",,,,,CG
40,,2019-08-05 20:33:02,2019-08-01,CG,Bentley Pamela L,Chief Accounting Officer,S - Sale,$22.85,-13302,133660,-9%,"-$303,951",,,,,CG
41,,2019-08-05 20:31:43,2019-08-01,CG,Ferguson Jeffrey W.,GC,S - Sale,$22.85,-36008,179868,-17%,"-$822,783",,,,,CG
42,,2019-06-03 18:24:04,2019-05-31,CG,Bentley Pamela L,Chief Accounting Officer,S - Sale,$19.79,-10000,146962,-6%,"-$197,900",,,,,CG
43,,2019-02-14 20:26:37,2019-02-13,CG,Buser Curtis L.,CFO,S - Sale,$18.55,-31200,610709,-5%,"-$578,760",,,,,CG
44,,2018-11-07 16:49:22,2018-11-05,CG,Hill Janet,Dir,P - Purchase,$20.19,"+5,000",41680,+14%,"+$100,954",,,,,CG
45,,2018-08-02 19:54:41,2018-08-01,CG,Buser Curtis L.,CFO,S - Sale,$24.30,-45107,428685,-10%,"-$1,096,100",,,,,CG
46,,2018-08-02 19:53:39,2018-08-01,CG,Bentley Pamela L,Chief Accounting Officer,S - Sale,$24.30,-14179,136585,-9%,"-$344,550",,,,,CG
47,,2018-08-02 19:53:20,2018-08-01,CG,Ferguson Jeffrey W.,GC,S - Sale,$24.30,-19911,215876,-8%,"-$483,837",,,,,CG
48,,2018-05-03 19:02:36,2018-05-02,CG,Bentley Pamela L,Chief Accounting Officer,S - Sale,$20.10,-9396,150764,-6%,"-$188,860",,,,,CG
