,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-01 15:09:55,2021-11-29,CINF,Debbink Dirk J,Dir,P - Purchase,$116.81,+855,41459,+2%,"+$99,873",,,,,CINF
1,,2021-08-11 14:41:28,2021-08-09,CINF,Debbink Dirk J,Dir,P - Purchase,$118.73,+419,40416,+1%,"+$49,749",,,,,CINF
2,,2021-05-18 15:51:56,2021-05-14,CINF,Schiff Charles Odell,Dir,S - Sale,$119.82,-10100,1508937,-1%,"-$1,210,207",,,,,CINF
3,,2021-02-16 15:44:06,2021-02-12,CINF,Debbink Dirk J,Dir,P - Purchase,$91.60,+383,39602,+1%,"+$35,083",,,,,CINF
4,,2020-11-18 14:59:57,2020-11-16,CINF,Aaron Thomas J,Dir,P - Purchase,$79.68,"+2,500",4669,+115%,"+$199,207",,,,,CINF
5,,2020-11-10 15:51:43,2020-11-06,CINF,Debbink Dirk J,Dir,P - Purchase,$74.84,+500,37833,+1%,"+$37,420",,,,,CINF
6,,2020-11-06 15:31:44,2020-11-04,CINF,Debbink Dirk J,Dir,P - Purchase,$71.56,+500,37333,+1%,"+$35,780",,,,,CINF
7,,2020-08-03 14:00:00,2020-07-30,CINF,Aaron Thomas J,Dir,P - Purchase,$79.01,"+1,000",2169,+86%,"+$79,015",,,,,CINF
8,,2020-07-31 14:25:46,2020-07-29,CINF,Cracas Teresa C,"SVP, Chief Risk Officer - Sub",S - Sale,$82.79,-100000,30963,-76%,"-$8,278,824",,,,,CINF
9,,2020-05-01 15:13:24,2020-04-29,CINF,Debbink Dirk J,Dir,P - Purchase,$72.25,"+2,000",36308,+6%,"+$144,500",,,,,CINF
10,,2020-05-01 15:13:10,2020-04-29,CINF,Skidmore Douglas S,Dir,P - Purchase,$72.51,"+3,500",45390,+8%,"+$253,779",,,,,CINF
11,,2020-03-16 14:50:41,2020-03-12,CINF,Debbink Dirk J,Dir,P - Purchase,$85.10,"+1,150",34070,+3%,"+$97,865",,,,,CINF
12,,2020-03-13 10:46:42,2020-03-11,CINF,Skidmore Douglas S,Dir,P - Purchase,$91.00,"+2,745",41890,+7%,"+$249,783",,,,,CINF
13,,2020-03-04 16:05:20,2020-03-02,CINF,Aaron Thomas J,Dir,P - Purchase,$98.56,"+1,010",1169,+635%,"+$99,541",,,,,CINF
14,,2020-03-03 17:15:25,2020-02-28,CINF,Debbink Dirk J,Dir,P - Purchase,$93.24,+268,32920,+1%,"+$25,000",,,,,CINF
15,,2020-02-14 15:22:14,2020-02-12,CINF,Doyle Donald J Jr,SVP - Subsidiary,S - Sale,$114.66,-785,28683,-3%,"-$90,008",,,,,CINF
16,,2019-12-03 14:42:02,2019-11-29,CINF,Debbink Dirk J,Dir,P - Purchase,$107.05,+374,31538,+1%,"+$40,000",,,,,CINF
17,,2019-08-20 16:18:11,2019-08-16,CINF,Debbink Dirk J,Dir,P - Purchase,$109.70,+182,31014,+1%,"+$20,000",,,,,CINF
18,,2019-02-20 15:37:48,2019-02-15,CINF,Debbink Dirk J,Dir,P - Purchase,$85.48,+351,30477,+1%,"+$30,000",,,,,CINF
19,,2018-05-15 14:23:31,2018-05-11,CINF,Debbink Dirk J,Dir,P - Purchase,$71.88,+278,28486,+1%,"+$20,000",,,,,CINF
20,,2018-05-09 14:05:22,2018-05-07,CINF,Osborn David P,Dir,P - Purchase,$70.16,+370,38778,+1%,"+$25,959",,,,,CINF
21,,2018-02-13 15:54:05,2018-02-09,CINF,Skidmore Douglas S,Dir,P - Purchase,$70.65,+650,37180,+2%,"+$45,923",,,,,CINF
