,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-12-08 16:23:50,2021-12-06,FAST,Jansen James C,EVP,S - Sale+OE,$62.02,-25000,43736,-36%,"-$1,550,608",,,,,FAST
1,D,2021-12-08 16:23:04,2021-12-07,FAST,Drazkowski William Joseph,Exec Vice-Pres,S - Sale+OE,$62.99,-6630,11643,-36%,"-$417,622",,,,,FAST
2,D,2021-11-09 09:32:22,2021-11-05,FAST,Soderberg John Lewis,Senior EVP,S - Sale+OE,$59.35,-6886,14418,-32%,"-$408,709",,,,,FAST
3,,2021-10-18 18:13:22,2021-10-15,FAST,Nielsen Sarah N,Dir,P - Purchase,$55.76,"+1,000",1000,New,"+$55,760",,,,,FAST
4,,2021-09-14 16:31:04,2021-09-13,FAST,Hsu Hsenghung Sam,Dir,P - Purchase,$53.20,"+1,000",3000,+50%,"+$53,200",,,,,FAST
5,,2021-09-10 12:55:30,2021-09-08,FAST,Ancius Michael J,Dir,P - Purchase,$54.09,+265,30895,+1%,"+$14,334",,,,,FAST
6,D,2021-09-01 10:16:43,2021-08-31,FAST,Wisecup Reyne K,Senior EVP,S - Sale+OE,$56.02,-21428,20000,-52%,"-$1,200,371",,,,,FAST
7,D,2021-09-01 10:15:55,2021-08-30,FAST,Lundquist Nicholas J,Dir,S - Sale+OE,$56.10,-32980,512070,-6%,"-$1,850,167",,,,,FAST
8,D,2021-08-25 11:11:56,2021-08-23,FAST,Watts Jeffery Michael,Exec Vice-Pres,S - Sale+OE,$55.77,-21434,0,-100%,"-$1,195,430",,,,,FAST
9,D,2021-08-24 09:37:05,2021-08-20,FAST,Drazkowski William Joseph,Exec Vice-Pres,S - Sale+OE,$55.99,-15126,11643,-57%,"-$846,963",,,,,FAST
10,D,2021-08-18 16:31:36,2021-08-16,FAST,Heise Rita J.,Dir,S - Sale+OE,$55.66,-16400,20000,-45%,"-$912,774",,,,,FAST
11,D,2021-08-10 09:00:49,2021-08-06,FAST,Lisowski Sheryl Ann,"CAO, Controller, Treasurer",S - Sale+OE,$55.17,-15980,5859,-73%,"-$881,621",,,,,FAST
12,,2021-08-06 09:57:22,2021-08-04,FAST,Johnson Daniel L.,Dir,P - Purchase,$55.48,"+1,000",9595,+12%,"+$55,475",,,,,FAST
13,D,2021-08-04 15:12:51,2021-08-02,FAST,Miller Charles S.,Senior EVP,S - Sale+OE,$55.10,-35141,19771,-64%,"-$1,936,359",,,,,FAST
14,D,2021-03-17 14:58:12,2021-03-15,FAST,Watts Jeffery Michael,Exec Vice-Pres,S - Sale+OE,$48.20,-31000,0,-100%,"-$1,494,110",,,,,FAST
15,,2021-03-08 18:07:06,2021-03-05,FAST,Eastman Stephen L.,Dir,P - Purchase,$44.63,"+1,000",9000,+13%,"+$44,630",,,,,FAST
16,AM,2021-03-08 18:05:42,2021-03-04,FAST,Ancius Michael J,Dir,P - Purchase,$44.15,"+4,626",30630,+18%,"+$204,245",,,,,FAST
17,M,2021-03-08 16:09:30,2021-03-04,FAST,Ancius Michael J,Dir,P - Purchase,$44.22,"+3,486",29490,+13%,"+$154,154",,,,,FAST
18,,2021-02-08 12:02:22,2021-02-05,FAST,Dolan Michael John,Dir,P - Purchase,$47.31,"+2,500",12500,+25%,"+$118,275",,,,,FAST
19,,2021-02-08 12:01:46,2021-02-04,FAST,Ancius Michael J,Dir,P - Purchase,$46.23,"+1,500",26004,+6%,"+$69,339",,,,,FAST
20,,2021-02-03 09:33:47,2021-02-01,FAST,Johnson Daniel L.,Dir,P - Purchase,$46.50,"+1,080",8595,+14%,"+$50,220",,,,,FAST
21,,2021-01-29 16:50:31,2021-01-28,FAST,Eastman Stephen L.,Dir,P - Purchase,$48.29,"+1,000",8000,+14%,"+$48,290",,,,,FAST
22,,2021-01-29 16:41:03,2021-01-25,FAST,Lundquist Nicholas J,Dir,S - Sale,$47.90,-574,499344,0%,"-$27,495",,,,,FAST
23,,2021-01-27 15:20:33,2021-01-25,FAST,Ancius Michael J,Dir,P - Purchase,$47.50,+770,24504,+3%,"+$36,575",,,,,FAST
24,ADM,2021-01-26 11:26:21,2020-07-17,FAST,Hein Leland J,Senior EVP,S - Sale+OE,$44.36,-13810,20730,-40%,"-$612,666",,,,,FAST
25,,2021-01-25 16:11:24,2021-01-21,FAST,Ancius Michael J,Dir,P - Purchase,$48.42,+600,24430,+3%,"+$29,049",,,,,FAST
26,D,2020-12-17 17:26:42,2020-12-15,FAST,Lisowski Sheryl Ann,"CAO, Controller, Treasurer",S - Sale+OE,$49.62,-7114,5812,-55%,"-$352,993",,,,,FAST
27,D,2020-12-02 11:52:09,2020-11-30,FAST,Jansen James C,EVP,S - Sale+OE,$49.50,-35000,43213,-45%,"-$1,732,577",,,,,FAST
28,,2020-10-22 17:00:02,2020-10-21,FAST,Ancius Michael J,Dir,P - Purchase,$44.30,+550,23830,+2%,"+$24,365",,,,,FAST
29,M,2020-10-19 17:24:00,2020-10-16,FAST,Hsu Hsenghung Sam,Dir,P - Purchase,$44.75,"+2,000",2000,New,"+$89,500",,,,,FAST
30,,2020-09-11 15:06:48,2020-09-10,FAST,Ancius Michael J,Dir,P - Purchase,$44.83,+550,23280,+2%,"+$24,657",,,,,FAST
31,,2020-09-04 16:51:06,2020-09-02,FAST,Soderberg John Lewis,EVP,S - Sale,$49.78,-500,14296,-3%,"-$24,890",,,,,FAST
32,D,2020-09-04 16:50:21,2020-09-02,FAST,Owen Terry Modock,Senior EVP,S - Sale+OE,$49.53,-1250,8579,-13%,"-$61,913",,,,,FAST
33,D,2020-08-24 11:29:27,2020-08-20,FAST,Heise Rita J.,Dir,S - Sale+OE,$48.07,-4000,20000,-17%,"-$192,280",,,,,FAST
34,D,2020-08-14 10:28:30,2020-08-12,FAST,Watts Jeffery Michael,Exec Vice-Pres,S - Sale+OE,$48.20,-5000,0,-100%,"-$241,002",,,,,FAST
35,D,2020-08-05 17:22:02,2020-08-04,FAST,Drazkowski William Joseph,Exec Vice-Pres,S - Sale+OE,$47.51,-11000,11503,-49%,"-$522,609",,,,,FAST
36,D,2020-08-05 17:21:46,2020-08-03,FAST,Hein Leland J,Senior EVP,S - Sale+OE,$47.77,-10000,20730,-33%,"-$477,718",,,,,FAST
37,ADM,2020-07-27 15:26:05,2020-07-23,FAST,Hein Leland J,Senior EVP,S - Sale+OE,$45.83,-12320,20730,-37%,"-$564,659",,,,,FAST
38,D,2020-07-27 15:08:10,2020-07-24,FAST,Drazkowski William Joseph,Exec Vice-Pres,S - Sale+OE,$45.59,-28554,11503,-71%,"-$1,301,845",,,,,FAST
39,DM,2020-07-27 15:07:37,2020-07-23,FAST,Hein Leland J,Senior EVP,S - Sale+OE,$45.83,-12320,20730,-37%,"-$564,659",,,,,FAST
