,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-15 15:23:36,2021-11-12,HELE,Mininberg Julien,CEO,S - Sale,$245.93,-6644,76939,-8%,"-$1,633,943",,,,,HELE
1,D,2021-10-15 14:38:35,2021-10-13,HELE,Grass Brian,CFO,S - Sale+OE,$221.50,-2000,45543,-4%,"-$443,000",,,,,HELE
2,A,2021-09-01 10:04:58,2018-05-01,HELE,Carson Vincent D,GC,S - Sale,$87.10,-9429,11764,-44%,"-$821,266",,,,,HELE
3,A,2021-08-23 16:25:12,2020-07-09,HELE,Mininberg Julien,CEO,S - Sale,$208.96,-1462,130814,-1%,"-$305,500",,,,,HELE
4,,2021-08-13 15:41:01,2021-08-11,HELE,Carson Vincent D,Dir,S - Sale,$234.83,-2525,10314,-20%,"-$592,946",,,,,HELE
5,,2021-08-12 12:12:58,2021-08-10,HELE,Mininberg Julien,CEO,S - Sale,$235.79,-2079,83583,-2%,"-$490,208",,,,,HELE
6,M,2021-07-08 06:44:53,2021-07-06,HELE,Mininberg Julien,CEO,S - Sale,$235.58,-4565,85662,-5%,"-$1,075,436",,,,,HELE
7,,2021-06-14 12:17:27,2021-06-11,HELE,Mininberg Julien,CEO,S - Sale,$226.66,-5344,90227,-6%,"-$1,211,277",,,,,HELE
8,,2021-06-11 15:05:16,2021-06-09,HELE,Mininberg Julien,CEO,S - Sale,$225.12,-1300,95571,-1%,"-$292,656",,,,,HELE
9,M,2020-08-18 17:36:18,2020-08-14,HELE,Mininberg Julien,CEO,S - Sale,$210.69,-3407,109983,-3%,"-$717,834",,,,,HELE
10,M,2020-08-13 17:22:48,2020-08-11,HELE,Mininberg Julien,CEO,S - Sale,$210.17,-3030,113390,-3%,"-$636,825",,,,,HELE
11,,2020-08-11 16:07:44,2020-08-10,HELE,Carson Vincent D,Dir,S - Sale,$203.38,-3590,9299,-28%,"-$730,134",,,,,HELE
12,,2020-07-14 16:33:28,2020-07-13,HELE,Mininberg Julien,CEO,S - Sale,$205.87,-199,116420,0%,"-$40,969",,,,,HELE
13,,2020-07-14 16:16:43,2020-07-13,HELE,Grass Brian,CFO,S - Sale,$206.06,-4310,33014,-12%,"-$888,119",,,,,HELE
14,,2020-07-14 16:09:42,2020-07-13,HELE,Meeker Timothy F,Dir,S - Sale,$205.84,-2000,4929,-29%,"-$411,687",,,,,HELE
15,A,2020-07-14 16:07:42,2020-07-09,HELE,Mininberg Julien,CEO,S - Sale,$208.96,-1121,137592,-1%,"-$234,244",,,,,HELE
16,,2020-07-14 16:05:16,2020-07-13,HELE,Abromovitz Gary B,Dir,S - Sale,$206.00,-2000,6339,-24%,"-$412,000",,,,,HELE
17,M,2020-07-10 14:08:14,2020-07-08,HELE,Mininberg Julien,CEO,S - Sale,$205.52,-17652,121061,-13%,"-$3,627,904",,,,,HELE
18,M,2020-05-20 10:51:07,2020-05-15,HELE,Mininberg Julien,CEO,S - Sale,$169.44,-6158,138713,-4%,"-$1,043,416",,,,,HELE
19,,2019-09-20 12:54:16,2019-09-18,HELE,Mininberg Julien,CEO,S - Sale,$154.03,-8,119584,0%,"-$1,232",,,,,HELE
20,,2019-09-20 12:52:09,2019-09-18,HELE,Grass Brian,CFO,S - Sale,$154.03,-7,28562,0%,"-$1,078",,,,,HELE
21,D,2019-07-16 18:28:23,2019-07-12,HELE,Carson Vincent D,Dir,S - Sale+OE,$146.08,-13415,9199,-59%,"-$1,959,686",,,,,HELE
22,A,2019-05-17 17:36:14,2018-05-01,HELE,Carson Vincent D,GC,S - Sale,$88.62,-22893,3452,-87%,"-$2,028,821",,,,,HELE
23,,2019-05-02 18:46:50,2019-04-30,HELE,Susetka William,Dir,S - Sale,$143.77,-2000,5252,-28%,"-$287,540",,,,,HELE
24,,2019-05-02 18:46:09,2019-04-30,HELE,Meeker Timothy F,Dir,S - Sale,$144.00,-2400,6285,-28%,"-$345,600",,,,,HELE
25,,2018-11-02 16:26:24,2018-11-01,HELE,Abromovitz Gary B,Dir,S - Sale,$125.25,-500,7417,-6%,"-$62,625",,,,,HELE
26,,2018-10-24 19:11:29,2018-10-23,HELE,Abromovitz Gary B,Dir,S - Sale,$123.00,-640,7917,-7%,"-$78,720",,,,,HELE
27,D,2018-07-16 18:52:09,2018-07-12,HELE,Carson Vincent D,GC,S - Sale+OE,$111.28,-6531,13430,-33%,"-$726,770",,,,,HELE
28,D,2018-05-17 19:22:50,2018-05-02,HELE,Grass Brian,CFO,S - Sale+OE,$90.20,-2400,11183,-18%,"-$216,468",,,,,HELE
29,,2018-05-08 19:50:24,2018-05-02,HELE,Abromovitz Gary B,Dir,S - Sale,$90.75,-1000,8218,-11%,"-$90,750",,,,,HELE
30,D,2018-05-03 19:29:22,2018-05-01,HELE,Carson Vincent D,GC,S - Sale+OE,$88.62,-22893,0,-100%,"-$2,028,821",,,,,HELE
