,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-23 16:05:26,2021-11-19,HOLX,Cohn Benjamin Jordan,Principal Accounting Officer,S - Sale,$75.79,-2570,15604,-14%,"-$194,791",,,,,HOLX
1,D,2021-08-12 16:14:09,2021-08-10,HOLX,Cohn Benjamin Jordan,Principal Accounting Officer,S - Sale+OE,$77.49,-5000,16896,-23%,"-$387,425",,,,,HOLX
2,D,2021-08-11 16:08:23,2021-08-09,HOLX,Griffin John M.,GC,S - Sale+OE,$75.62,-26683,123600,-18%,"-$2,017,768",,,,,HOLX
3,,2021-05-12 16:08:57,2021-05-10,HOLX,Daugherty Sean S.,"Group Pres, BSH, Surg.",S - Sale,$65.02,-4001,26613,-13%,"-$260,149",,,,,HOLX
4,,2021-02-09 16:18:41,2021-02-05,HOLX,Bebo Allison P,"SVP, HR",S - Sale,$84.06,-6100,35680,-15%,"-$512,778",,,,,HOLX
5,D,2021-02-08 16:56:59,2021-02-04,HOLX,Cohn Benjamin Jordan,Principal Accounting Officer,S - Sale+OE,$84.31,-8396,16652,-34%,"-$707,867",,,,,HOLX
6,D,2020-12-14 16:44:37,2020-12-10,HOLX,Thornal Kevin R,"Div. Pres, Diagnostics",S - Sale+OE,$73.99,-16869,33216,-34%,"-$1,248,212",,,,,HOLX
7,,2020-12-14 16:41:41,2020-12-10,HOLX,Cohn Benjamin Jordan,Principal Accounting Officer,S - Sale,$73.64,-1477,16575,-8%,"-$108,759",,,,,HOLX
8,D,2020-11-20 16:12:21,2020-11-18,HOLX,Griffin John M.,GC,S - Sale+OE,$71.08,-22900,134486,-15%,"-$1,627,689",,,,,HOLX
9,D,2020-11-19 16:10:44,2020-11-17,HOLX,Cohn Benjamin Jordan,Principal Accounting Officer,S - Sale+OE,$72.58,-5000,18292,-21%,"-$362,900",,,,,HOLX
10,D,2020-11-16 16:24:55,2020-11-12,HOLX,Cohn Benjamin Jordan,Principal Accounting Officer,S - Sale+OE,$70.60,-6542,18292,-26%,"-$461,846",,,,,HOLX
11,D,2020-11-06 16:10:51,2020-11-04,HOLX,Stamoulis Christiana,Dir,S - Sale+OE,$74.00,-11146,39392,-22%,"-$824,804",,,,,HOLX
12,D,2020-09-23 16:21:43,2020-09-21,HOLX,Oberton Karleen Marie,CFO,S - Sale+OE,$62.50,-15000,34417,-30%,"-$937,500",,,,,HOLX
13,D,2020-08-05 17:49:18,2020-08-03,HOLX,Cohn Benjamin Jordan,Principal Accounting Officer,S - Sale+OE,$71.25,-4924,16713,-23%,"-$350,810",,,,,HOLX
14,D,2020-07-02 16:04:30,2020-06-30,HOLX,Valenti Peter J. III,"Division Pres, Breast Health",S - Sale+OE,$54.07,-10493,59991,-15%,"-$567,357",,,,,HOLX
15,D,2020-05-27 16:12:52,2020-05-22,HOLX,Valenti Peter J. III,"Division Pres, Breast Health",S - Sale+OE,$51.82,-10493,59991,-15%,"-$543,779",,,,,HOLX
16,,2020-05-27 16:09:12,2020-05-22,HOLX,Crawford Sally,Dir,S - Sale,$51.99,-31950,126847,-20%,"-$1,661,081",,,,,HOLX
17,D,2020-05-19 16:09:03,2020-05-15,HOLX,Thornal Kevin R,"Div. Pres, Diagnostics",S - Sale+OE,$51.51,-13888,17026,-45%,"-$715,426",,,,,HOLX
18,D,2020-05-15 16:17:33,2020-05-13,HOLX,Macmillan Stephen P,"COB, Pres, CEO",S - Sale+OE,$50.97,-190996,1722442,-10%,"-$9,735,257",,,,,HOLX
19,D,2020-04-30 16:07:45,2020-04-28,HOLX,Griffin John M.,GC,S - Sale+OE,$50.00,-4906,95307,-5%,"-$245,300",,,,,HOLX
20,D,2020-03-11 16:07:18,2020-03-09,HOLX,Crawford Sally,Dir,S - Sale+OE,$44.08,-11146,158797,-7%,"-$491,317",,,,,HOLX
21,D,2020-02-05 16:16:05,2020-02-03,HOLX,Macmillan Stephen P,"COB, Pres, CEO",S - Sale+OE,$53.54,-194396,1697442,-10%,"-$10,407,184",,,,,HOLX
22,D,2020-01-15 17:59:59,2020-01-13,HOLX,Griffin John M.,GC,S - Sale+OE,$52.86,-19624,95307,-17%,"-$1,037,334",,,,,HOLX
