,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-08 18:35:33,2021-12-07,HZNP,Pasternak Andy,"EVP, Chief Business Officer",S - Sale,$100.00,-1525,21830,-7%,"-$152,500",,,,,HZNP
1,D,2021-12-03 17:20:46,2021-12-01,HZNP,McHugh Miles W,"SVP, Princ. Acctg Officer",S - Sale+OE,$106.62,-79484,36521,-69%,"-$8,474,584",,,,,HZNP
2,,2021-12-01 17:58:55,2021-11-30,HZNP,Walbert Timothy P,"COB, Pres, CEO",S - Sale,$102.40,-50000,743717,-6%,"-$5,119,881",,,,,HZNP
3,D,2021-11-05 17:00:26,2021-11-04,HZNP,Pasternak Andy,"EVP, Chief Business Officer",S - Sale+OE,$113.04,-30168,23355,-56%,"-$3,410,181",,,,,HZNP
4,D,2021-11-05 17:00:21,2021-11-04,HZNP,Moze Barry,"EVP, Chief Admin. Officer",S - Sale+OE,$112.28,-75743,75681,-50%,"-$8,504,208",,,,,HZNP
5,,2021-11-03 16:30:57,2021-11-01,HZNP,Walbert Timothy P,"COB, Pres, CEO",S - Sale,$118.49,-25000,793717,-3%,"-$2,962,327",,,,,HZNP
6,,2021-10-01 16:08:42,2021-09-30,HZNP,Walbert Timothy P,"COB, Pres, CEO",S - Sale,$110.30,-50000,818717,-6%,"-$5,515,140",,,,,HZNP
7,D,2021-09-23 17:00:33,2021-09-21,HZNP,Sherman Jeffrey W,"EVP, Chief Medical Officer",S - Sale+OE,$110.00,-46271,208732,-18%,"-$5,089,810",,,,,HZNP
8,,2021-09-17 17:06:11,2021-09-17,HZNP,Beeler Brian K,"EVP, GC",S - Sale,$107.91,-28143,62775,-31%,"-$3,036,911",,,,,HZNP
9,D,2021-09-13 20:00:16,2021-09-09,HZNP,Pasternak Andy,"EVP, Chief Business Officer",S - Sale+OE,$107.84,-23250,23354,-50%,"-$2,507,261",,,,,HZNP
