,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-09 16:32:41,2021-12-08,ILMN,Tousi Susan H,"SVP, Chief Commercial Officer",S - Sale,$375.00,-100,40174,0%,"-$37,500",,,,,ILMN
1,,2021-11-24 16:16:18,2021-11-22,ILMN,Dadswell Charles,"SVP, GC",S - Sale,$377.86,-314,3605,-8%,"-$118,648",,,,,ILMN
2,,2021-11-16 16:52:40,2021-11-12,ILMN,Aravanis Alexander,"SVP, CTO",S - Sale,$386.35,-361,4127,-8%,"-$139,472",,,,,ILMN
3,,2021-11-09 16:59:19,2021-11-08,ILMN,Febbo Phillip G.,SVP Chief Medical Officer,S - Sale,$406.83,-1000,3015,-25%,"-$406,830",,,,,ILMN
4,,2021-11-04 18:11:07,2021-11-02,ILMN,Aravanis Alexander,"SVP, CTO",S - Sale,$412.78,-2926,4679,-38%,"-$1,207,801",,,,,ILMN
5,,2021-11-01 16:33:27,2021-10-28,ILMN,Tousi Susan H,"SVP, Chief Commercial Officer",S - Sale,$414.35,-100,41256,0%,"-$41,435",,,,,ILMN
6,,2021-10-28 17:27:43,2021-10-26,ILMN,Aravanis Alexander,"SVP, CTO",S - Sale,$423.00,-2926,7605,-28%,"-$1,237,698",,,,,ILMN
7,,2021-10-26 16:48:58,2021-10-22,ILMN,Dadswell Charles,"SVP, GC",S - Sale,$411.00,-314,4658,-6%,"-$129,054",,,,,ILMN
8,,2021-10-21 17:50:33,2021-10-19,ILMN,Aravanis Alexander,"SVP, CTO",S - Sale,$411.82,-2926,10531,-22%,"-$1,204,972",,,,,ILMN
9,,2021-10-14 18:29:30,2021-10-12,ILMN,Aravanis Alexander,"SVP, CTO",S - Sale,$409.21,-2926,13457,-18%,"-$1,197,350",,,,,ILMN
10,,2021-09-30 16:04:57,2021-09-28,ILMN,Tousi Susan H,"SVP, Chief Commercial Officer",S - Sale,$418.04,-100,41356,0%,"-$41,804",,,,,ILMN
11,,2021-09-23 16:24:03,2021-09-22,ILMN,Dadswell Charles,"SVP, GC",S - Sale,$436.69,-314,4972,-6%,"-$137,121",,,,,ILMN
12,M,2021-09-08 19:36:11,2021-04-05,ILMN,Hoyt Aimee L,"SVP, Chief People Officer",S - Sale,$432.61,-3372,3757,-47%,"-$1,458,748",,,,,ILMN
13,,2021-09-01 19:15:20,2021-08-30,ILMN,Tousi Susan H,"SVP, Chief Commercial Officer",S - Sale,$463.50,-300,41456,-1%,"-$139,050",,,,,ILMN
14,,2021-08-25 16:40:56,2021-08-23,ILMN,Dadswell Charles,"SVP, GC",S - Sale,$489.10,-314,5286,-6%,"-$153,577",,,,,ILMN
15,,2021-08-05 16:22:05,2021-08-04,ILMN,Tousi Susan H,"SVP, Chief Commercial Officer",S - Sale,$500.00,-1000,41756,-2%,"-$500,000",,,,,ILMN
16,,2021-07-29 16:34:53,2021-07-28,ILMN,Tousi Susan H,"SVP, Chief Commercial Officer",S - Sale,$486.41,-300,42743,-1%,"-$145,923",,,,,ILMN
17,,2021-07-26 16:57:01,2021-07-22,ILMN,Dadswell Charles,"SVP, GC",S - Sale,$482.23,-314,5576,-5%,"-$151,420",,,,,ILMN
18,,2021-07-07 18:26:09,2021-07-07,ILMN,Aravanis Alexander,"SVP, CTO",S - Sale,$477.59,-539,4679,-10%,"-$257,421",,,,,ILMN
19,,2021-06-30 17:27:47,2021-06-28,ILMN,Tousi Susan H,"SVP, Chief Commercial Officer",S - Sale,$478.95,-300,43043,-1%,"-$143,685",,,,,ILMN
20,,2021-06-24 17:41:15,2021-06-22,ILMN,Dadswell Charles,"SVP, GC",S - Sale,$461.01,-314,5890,-5%,"-$144,757",,,,,ILMN
21,,2021-06-14 17:50:56,2021-06-11,ILMN,Febbo Phillip G.,SVP Chief Medical Officer,S - Sale,$447.59,-1000,4461,-18%,"-$447,589",,,,,ILMN
22,,2021-06-14 17:48:39,2021-06-10,ILMN,Dorsa Caroline,Dir,S - Sale,$450.00,-1000,8501,-11%,"-$450,000",,,,,ILMN
23,,2021-05-26 16:50:31,2021-05-24,ILMN,Dadswell Charles,"SVP, GC",S - Sale,$403.04,-314,6204,-5%,"-$126,555",,,,,ILMN
24,,2021-05-24 16:43:11,2021-05-20,ILMN,Tousi Susan H,"SVP, Chief Commercial Officer",S - Sale,$400.00,-500,43343,-1%,"-$200,000",,,,,ILMN
25,,2021-05-20 16:51:35,2021-05-18,ILMN,Flatley Jay T,Dir,S - Sale,$379.53,-4000,152433,-3%,"-$1,518,120",,,,,ILMN
26,,2021-05-06 17:26:08,2021-05-05,ILMN,Tousi Susan H,SVP Product Development,S - Sale,$381.88,-300,43843,-1%,"-$114,564",,,,,ILMN
27,,2021-05-06 17:21:52,2021-05-04,ILMN,Flatley Jay T,Dir,S - Sale,$384.15,-4000,156433,-2%,"-$1,536,600",,,,,ILMN
28,,2021-04-26 19:52:53,2021-04-22,ILMN,Dadswell Charles,"SVP, GC",S - Sale,$402.02,-314,6518,-5%,"-$126,234",,,,,ILMN
29,,2021-04-22 17:05:02,2021-04-20,ILMN,Flatley Jay T,Dir,S - Sale,$401.83,-4000,160433,-2%,"-$1,607,320",,,,,ILMN
30,,2021-04-07 16:41:14,2021-04-06,ILMN,Flatley Jay T,Dir,S - Sale,$423.44,-4000,164433,-2%,"-$1,693,740",,,,,ILMN
31,M,2021-04-07 16:34:21,2021-04-05,ILMN,Tousi Susan H,SVP Product Development,S - Sale,$409.41,-800,44143,-2%,"-$327,527",,,,,ILMN
32,,2021-03-24 16:41:49,2021-03-22,ILMN,Dadswell Charles,"SVP, GC",S - Sale,$416.24,-314,6832,-4%,"-$130,699",,,,,ILMN
33,,2021-03-18 19:20:32,2021-03-16,ILMN,Flatley Jay T,Dir,S - Sale,$421.06,-4000,168433,-2%,"-$1,684,240",,,,,ILMN
34,,2021-03-09 17:29:32,2021-03-05,ILMN,Tousi Susan H,SVP Product Development,S - Sale,$402.24,-800,44943,-2%,"-$321,792",,,,,ILMN
35,,2021-03-04 17:04:17,2021-03-02,ILMN,Flatley Jay T,Dir,S - Sale,$444.61,-4000,172433,-2%,"-$1,778,440",,,,,ILMN
36,,2021-02-22 17:11:06,2021-02-18,ILMN,McGinnis Karen K,"VP, Chief Accounting Officer",S - Sale,$486.75,-666,1538,-30%,"-$324,176",,,,,ILMN
37,,2021-02-18 19:08:29,2021-02-16,ILMN,Flatley Jay T,Dir,S - Sale,$504.13,-4500,176433,-2%,"-$2,268,583",,,,,ILMN
38,,2021-02-09 16:48:47,2021-02-05,ILMN,Tousi Susan H,SVP Product Development,S - Sale,$431.90,-800,39713,-2%,"-$345,520",,,,,ILMN
39,,2021-02-03 17:00:07,2021-02-02,ILMN,Hoyt Aimee L,"SVP, Chief People Officer",S - Sale,$444.84,-57,2359,-2%,"-$25,356",,,,,ILMN
40,,2021-02-03 16:58:27,2021-02-02,ILMN,Flatley Jay T,Dir,S - Sale,$444.84,-4000,180933,-2%,"-$1,779,360",,,,,ILMN
41,,2021-02-03 16:57:12,2021-02-02,ILMN,McGinnis Karen K,"VP, Chief Accounting Officer",S - Sale,$444.84,-72,1538,-4%,"-$32,028",,,,,ILMN
42,,2021-02-03 16:56:02,2021-02-01,ILMN,Desouza Francis A,"Pres, CEO",S - Sale,$439.78,-3000,52603,-5%,"-$1,319,330",,,,,ILMN
43,,2021-01-21 16:40:35,2021-01-20,ILMN,Tousi Susan H,SVP Product Development,S - Sale,$400.00,-2500,40447,-6%,"-$1,000,000",,,,,ILMN
44,,2021-01-21 16:38:48,2021-01-19,ILMN,Flatley Jay T,Dir,S - Sale,$382.48,-4000,184933,-2%,"-$1,529,920",,,,,ILMN
45,,2021-01-12 16:41:54,2021-01-11,ILMN,Hoyt Aimee L,"SVP, Chief People Officer",S - Sale,$379.65,-271,2359,-10%,"-$102,885",,,,,ILMN
46,,2021-01-06 19:20:51,2021-01-05,ILMN,Tousi Susan H,SVP Product Development,S - Sale,$365.27,-300,42947,-1%,"-$109,581",,,,,ILMN
47,,2021-01-06 19:19:30,2021-01-05,ILMN,Flatley Jay T,Dir,S - Sale,$365.27,-4000,188933,-2%,"-$1,461,080",,,,,ILMN
48,,2021-01-06 19:17:16,2021-01-04,ILMN,Desouza Francis A,"Pres, CEO",S - Sale,$370.51,-3000,55540,-5%,"-$1,111,537",,,,,ILMN
49,,2020-12-16 18:07:47,2020-12-15,ILMN,Flatley Jay T,Dir,S - Sale,$348.84,-4000,192933,-2%,"-$1,395,360",,,,,ILMN
50,,2020-12-16 18:05:41,2020-12-14,ILMN,Hoyt Aimee L,"SVP, Chief People Officer",S - Sale,$345.00,-354,2744,-11%,"-$122,130",,,,,ILMN
51,,2020-12-14 16:12:26,2020-12-10,ILMN,Ronaghi Mostafa,"SVP, Entrepreneurial Devlopmt",S - Sale,$338.58,-5000,80162,-6%,"-$1,692,922",,,,,ILMN
52,M,2020-12-08 17:34:56,2020-12-04,ILMN,Tousi Susan H,SVP Product Development,S - Sale,$349.61,-500,43247,-1%,"-$174,803",,,,,ILMN
