,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-15 17:04:51,2021-12-13,ON,Hopkin Vince Craig,"EVP, GM, ASG",S - Sale,$65.56,-5000,118200,-4%,"-$327,800",,,,,ON
1,,2021-11-05 18:02:40,2021-11-03,ON,Hopkin Vince Craig,"EVP, GM, ASG",S - Sale,$57.47,-4000,123200,-3%,"-$229,880",,,,,ON
2,,2021-11-04 18:11:34,2021-11-02,ON,Keeton Simon,"EVP, GM, PSG",S - Sale,$55.81,-4352,114827,-4%,"-$242,885",,,,,ON
3,,2021-11-03 18:01:53,2021-11-01,ON,Colpitts Bernard Raymond Jr,Chief Accounting Officer,S - Sale,$53.57,-3134,17298,-15%,"-$167,888",,,,,ON
4,,2021-09-10 18:03:47,2021-09-08,ON,Cave George H,"EVP, Gen Cnsl, CCO, Sec",S - Sale,$45.20,-11210,200975,-5%,"-$506,735",,,,,ON
5,,2021-09-09 18:04:03,2021-09-07,ON,Waters Gregory L,Dir,P - Purchase,$45.26,"+17,000",25175,+208%,"+$769,420",,,,,ON
6,,2021-08-12 18:04:46,2021-08-10,ON,Cave George H,"EVP, Gen Cnsl, CCO, Sec",S - Sale,$45.15,-10000,212185,-5%,"-$451,516",,,,,ON
7,,2021-08-05 17:59:44,2021-08-03,ON,Keeton Simon,"EVP, GM, PSG",S - Sale,$43.74,-4300,120295,-3%,"-$188,082",,,,,ON
8,,2021-08-04 18:02:17,2021-08-02,ON,Hopkin Vince Craig,"EVP, GM, ASG",S - Sale,$42.94,-4000,128316,-3%,"-$171,760",,,,,ON
9,,2021-08-04 18:00:59,2021-08-02,ON,Colpitts Bernard Raymond Jr,Chief Accounting Officer,S - Sale,$42.94,-490,19046,-3%,"-$21,041",,,,,ON
10,,2021-06-30 18:02:18,2021-06-28,ON,Delfassy Gilles,Dir,S - Sale,$37.86,-2075,52043,-4%,"-$78,560",,,,,ON
11,,2021-06-29 18:02:52,2021-06-25,ON,Colpitts Bernard Raymond Jr,Chief Accounting Officer,S - Sale,$38.00,-500,19390,-3%,"-$19,000",,,,,ON
12,,2021-06-23 18:03:06,2021-06-21,ON,Colpitts Bernard Raymond Jr,Chief Accounting Officer,S - Sale,$36.00,-2483,19890,-11%,"-$89,388",,,,,ON
13,,2021-06-15 18:03:09,2021-06-11,ON,Hopkin Vince Craig,"EVP, GM, ASG",S - Sale,$38.11,-1300,131114,-1%,"-$49,543",,,,,ON
14,,2021-06-04 18:04:15,2021-06-02,ON,Cave George H,"EVP, Gen Cnsl, CCO, Sec",S - Sale,$39.50,-10000,222039,-4%,"-$395,011",,,,,ON
15,,2021-06-03 18:03:49,2021-06-01,ON,Keeton Simon,"EVP, GM, Pwr Sol Grp",S - Sale,$40.50,-3857,122866,-3%,"-$156,209",,,,,ON
16,,2021-05-06 18:02:44,2021-05-04,ON,Cave George H,"EVP, Gen Cnsl, CCO, Sec",S - Sale,$37.70,-9000,232039,-4%,"-$339,325",,,,,ON
17,,2021-04-14 18:01:31,2021-04-12,ON,Cave George H,"EVP, Gen Cnsl, CCO, Sec",S - Sale,$42.38,-8987,241039,-4%,"-$380,842",,,,,ON
18,,2021-04-13 18:08:30,2021-04-09,ON,Rolls Paul E,"EVP Sales, Marketing",S - Sale,$42.58,-29261,179446,-14%,"-$1,245,860",,,,,ON
19,,2021-03-23 18:02:08,2021-03-19,ON,Hopkin Vince Craig,"EVP, GM, ASG",S - Sale,$39.26,-1000,133924,-1%,"-$39,260",,,,,ON
20,M,2021-03-10 17:03:27,2021-03-08,ON,Hernandez Emmanuel T,Dir,S - Sale,$37.75,-88211,25000,-78%,"-$3,330,253",,,,,ON
21,,2020-11-17 17:00:39,2020-11-13,ON,Schromm William A.,"EVP, COO",S - Sale,$27.96,-104462,489025,-18%,"-$2,921,144",,,,,ON
22,,2020-11-13 17:17:15,2020-11-11,ON,Rolls Paul E,"EVP Sales, Marketing",S - Sale,$27.93,-27818,210880,-12%,"-$776,887",,,,,ON
23,,2020-11-13 17:16:07,2020-11-10,ON,Gutmann Bernard,"EVP, CFO",S - Sale,$27.06,-99144,555242,-15%,"-$2,683,114",,,,,ON
24,,2020-11-12 17:21:36,2020-11-09,ON,Keeton Simon,"EVP, GM, Pwr Sol Grp",S - Sale,$28.50,-7705,124295,-6%,"-$219,593",,,,,ON
25,,2020-11-10 17:04:30,2020-11-06,ON,Cave George H,"EVP, Gen Cnsl, CCO, Sec",S - Sale,$27.00,-10000,253961,-4%,"-$270,000",,,,,ON
26,,2020-11-10 17:04:23,2020-11-06,ON,Hopkin Vince Craig,"EVP, GM, ASG",S - Sale,$26.49,-1300,129033,-1%,"-$34,437",,,,,ON
27,,2020-10-19 18:02:22,2020-10-15,ON,Jackson Keith D,"CEO, Pres",S - Sale,$25.76,-600000,2518458,-19%,"-$15,455,580",,,,,ON
28,,2020-10-13 18:11:22,2020-10-09,ON,Schromm William A.,"EVP, COO",S - Sale,$25.89,-95285,593487,-14%,"-$2,466,614",,,,,ON
29,M,2020-10-13 18:11:17,2020-10-08,ON,Keeton Simon,"EVP, GM, Pwr Sol Grp",S - Sale,$25.88,-8132,132000,-6%,"-$210,450",,,,,ON
