,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-19 16:17:54,2021-11-17,PCTY,Rost Nicholas,"VP, Chief Accounting Officer",S - Sale,$267.85,-68,3237,-2%,"-$18,214",,,,,PCTY
1,M,2021-11-12 15:59:24,2021-11-09,PCTY,Sarowitz Steven I,"Dir, 10%",S - Sale,$275.09,-96555,11871477,-1%,"-$26,561,215",,,,,PCTY
2,,2021-11-10 16:40:46,2021-11-08,PCTY,Sarowitz Steven I,"Dir, 10%",S - Sale,$277.58,-128445,11968032,-1%,"-$35,654,255",,,,,PCTY
3,D,2021-11-10 16:36:24,2021-11-08,PCTY,Haske Michael R,"Pres, COO",S - Sale+OE,$278.43,-16419,775885,-2%,"-$4,571,600",,,,,PCTY
4,,2021-11-03 16:10:07,2021-11-01,PCTY,Kinsey Mark S,SVP - Operations,S - Sale,$308.00,-5000,48443,-9%,"-$1,540,000",,,,,PCTY
5,,2021-10-27 16:08:02,2021-10-25,PCTY,Kinsey Mark S,SVP - Operations,S - Sale,$295.03,-5000,53443,-9%,"-$1,475,126",,,,,PCTY
6,,2021-09-21 16:10:08,2021-09-17,PCTY,Diehl Jeffrey T,Dir,S - Sale,$276.95,-15861,617149,-3%,"-$4,392,644",,,,,PCTY
7,,2021-09-21 16:05:41,2021-09-17,PCTY,Diehl Jeffrey T,Dir,S - Sale,$274.08,-10317,633010,-2%,"-$2,827,671",,,,,PCTY
8,,2021-09-20 16:15:02,2021-09-16,PCTY,Diehl Jeffrey T,Dir,S - Sale,$277.66,-27404,643327,-4%,"-$7,608,930",,,,,PCTY
9,,2021-09-20 16:11:48,2021-09-16,PCTY,Diehl Jeffrey T,Dir,S - Sale,$274.71,-15318,670731,-2%,"-$4,207,955",,,,,PCTY
10,,2021-09-20 16:09:08,2021-09-16,PCTY,Diehl Jeffrey T,Dir,S - Sale,$271.51,-1100,686049,0%,"-$298,660",,,,,PCTY
11,,2021-09-17 16:04:11,2021-09-15,PCTY,Diehl Jeffrey T,Dir,S - Sale,$274.81,-200,687149,0%,"-$54,962",,,,,PCTY
12,,2021-09-17 16:03:29,2021-09-15,PCTY,Diehl Jeffrey T,Dir,S - Sale,$272.90,-96680,687349,-12%,"-$26,383,837",,,,,PCTY
13,,2021-09-17 16:02:45,2021-09-15,PCTY,Diehl Jeffrey T,Dir,S - Sale,$270.01,-64044,784029,-8%,"-$17,292,543",,,,,PCTY
14,,2021-09-15 16:06:07,2021-09-13,PCTY,Kenneth Bernard Robinson,Dir,S - Sale,$258.18,-330,2360,-12%,"-$85,199",,,,,PCTY
15,,2021-09-14 16:33:58,2021-09-10,PCTY,Diehl Jeffrey T,Dir,S - Sale,$268.70,-10303,848073,-1%,"-$2,768,400",,,,,PCTY
16,,2021-09-13 16:21:08,2021-09-09,PCTY,Diehl Jeffrey T,Dir,S - Sale,$268.78,-5878,858376,-1%,"-$1,579,896",,,,,PCTY
17,,2021-09-10 16:16:34,2021-09-08,PCTY,Diehl Jeffrey T,Dir,S - Sale,$270.94,-9026,864254,-1%,"-$2,445,500",,,,,PCTY
18,,2021-09-09 16:47:03,2021-09-07,PCTY,Diehl Jeffrey T,Dir,S - Sale,$273.09,-202,873280,0%,"-$55,164",,,,,PCTY
19,,2021-09-09 16:44:32,2021-09-07,PCTY,Diehl Jeffrey T,Dir,S - Sale,$271.44,-13667,873482,-2%,"-$3,709,795",,,,,PCTY
20,M,2021-09-09 16:44:11,2021-09-07,PCTY,Waters Ronald V,Dir,S - Sale,$271.28,-6000,11667,-34%,"-$1,627,653",,,,,PCTY
21,,2021-08-31 16:07:36,2021-08-27,PCTY,Sarowitz Steven I,"Dir, 10%",S - Sale,$263.98,-6543,12096477,0%,"-$1,727,203",,,,,PCTY
22,,2021-08-30 16:06:43,2021-08-26,PCTY,Sarowitz Steven I,"Dir, 10%",S - Sale,$258.00,-28784,12103020,0%,"-$7,426,333",,,,,PCTY
23,,2021-08-27 16:06:52,2021-08-25,PCTY,Sarowitz Steven I,"Dir, 10%",S - Sale,$261.09,-34081,12131804,0%,"-$8,898,128",,,,,PCTY
24,,2021-08-26 16:06:34,2021-08-24,PCTY,Sarowitz Steven I,"Dir, 10%",S - Sale,$260.82,-27343,12165885,0%,"-$7,131,671",,,,,PCTY
25,,2021-08-25 16:06:20,2021-08-23,PCTY,Sarowitz Steven I,"Dir, 10%",S - Sale,$256.40,-22704,12193228,0%,"-$5,821,371",,,,,PCTY
26,,2021-08-24 16:06:21,2021-08-20,PCTY,Sarowitz Steven I,"Dir, 10%",S - Sale,$249.79,-27860,12215932,0%,"-$6,959,135",,,,,PCTY
27,,2021-08-23 16:08:57,2021-08-19,PCTY,Sarowitz Steven I,"Dir, 10%",S - Sale,$246.92,-38281,12243792,0%,"-$9,452,467",,,,,PCTY
28,,2021-08-20 16:06:29,2021-08-18,PCTY,Sarowitz Steven I,"Dir, 10%",S - Sale,$250.92,-39404,12282073,0%,"-$9,887,264",,,,,PCTY
29,,2021-08-20 16:06:13,2021-08-18,PCTY,Kinsey Mark S,SVP - Operations,S - Sale,$251.63,-4000,58443,-6%,"-$1,006,522",,,,,PCTY
30,D,2021-08-18 16:14:01,2021-08-16,PCTY,Cappotelli Andrew,Chief Accounting Officer,S - Sale+OE,$248.28,-734,11536,-6%,"-$182,238",,,,,PCTY
31,D,2021-08-18 16:13:43,2021-08-16,PCTY,Kinsey Mark S,SVP - Operations,S - Sale+OE,$248.28,-909,62443,-1%,"-$225,687",,,,,PCTY
32,D,2021-08-18 16:13:25,2021-08-16,PCTY,Williams Toby J.,CFO,S - Sale+OE,$248.18,-4000,113983,-3%,"-$992,729",,,,,PCTY
33,D,2021-08-16 16:49:36,2021-08-12,PCTY,Beauchamp Steven R,CEO,S - Sale+OE,$252.21,-38234,1958645,-2%,"-$9,643,151",,,,,PCTY
34,,2021-08-12 16:08:46,2021-08-10,PCTY,Gaty Edward W,"SVP of Product, Technology",S - Sale,$246.64,-10000,50060,-17%,"-$2,466,436",,,,,PCTY
35,D,2021-08-12 16:08:40,2021-08-10,PCTY,Haske Michael R,"Pres, COO",S - Sale+OE,$246.67,-16378,760998,-2%,"-$4,039,935",,,,,PCTY
36,,2021-06-03 16:03:28,2021-06-01,PCTY,Cappotelli Andrew,Chief Accounting Officer,S - Sale,$167.74,-2257,9116,-20%,"-$378,592",,,,,PCTY
37,,2021-05-19 16:02:57,2021-05-17,PCTY,Beauchamp Steven R,CEO,S - Sale,$159.65,-10000,1958645,-1%,"-$1,596,527",,,,,PCTY
38,,2021-05-18 16:25:38,2021-05-14,PCTY,Sarowitz Steven I,"Dir, 10%",S - Sale,$162.54,-127362,12320538,-1%,"-$20,701,507",,,,,PCTY
39,,2021-05-17 16:12:03,2021-05-13,PCTY,Sarowitz Steven I,"Dir, 10%",S - Sale,$158.00,-61155,12447900,0%,"-$9,662,332",,,,,PCTY
40,,2021-05-14 16:06:34,2021-05-12,PCTY,Sarowitz Steven I,"Dir, 10%",S - Sale,$157.42,-36483,12509055,0%,"-$5,742,960",,,,,PCTY
