,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-15 17:10:02,2021-12-13,PEGA,Kouninis Efstathios A,"VP of Finance, CAO",S - Sale,$116.00,-250,2471,-9%,"-$29,000",,,,,PEGA
1,D,2021-12-10 16:39:29,2021-12-08,PEGA,Kouninis Efstathios A,"VP of Finance, CAO",S - Sale+OE,$115.00,-181,2721,-6%,"-$20,815",,,,,PEGA
2,,2021-12-03 16:42:41,2021-12-01,PEGA,Stillwell Kenneth,"COO, CFO",S - Sale,$112.50,-1000,7847,-11%,"-$112,500",,,,,PEGA
3,,2021-12-03 16:39:03,2021-12-01,PEGA,Pyle Michael R,Chief Technology Strategist,S - Sale,$113.18,-1000,7185,-12%,"-$113,182",,,,,PEGA
4,,2021-11-02 17:13:08,2021-11-01,PEGA,Stillwell Kenneth,"COO, CFO",S - Sale,$118.66,-1000,7826,-11%,"-$118,660",,,,,PEGA
5,,2021-11-02 16:55:16,2021-11-01,PEGA,Pyle Michael R,Chief Technology Strategist,S - Sale,$118.66,-1000,8185,-11%,"-$118,660",,,,,PEGA
6,,2021-10-05 16:31:19,2021-10-01,PEGA,Stillwell Kenneth,"COO, CFO",S - Sale,$127.41,-1000,8826,-10%,"-$127,409",,,,,PEGA
7,,2021-10-05 16:24:27,2021-10-01,PEGA,Pyle Michael R,Chief Technology Strategist,S - Sale,$127.39,-1000,9185,-10%,"-$127,389",,,,,PEGA
8,,2021-09-20 16:31:25,2021-09-16,PEGA,Kouninis Efstathios A,"VP of Finance, CAO",S - Sale,$132.50,-500,2365,-17%,"-$66,250",,,,,PEGA
9,D,2021-09-03 17:00:42,2021-09-01,PEGA,Stillwell Kenneth,"COO, CFO",S - Sale+OE,$139.98,-1000,9308,-10%,"-$139,976",,,,,PEGA
10,,2021-09-03 16:55:36,2021-09-01,PEGA,Pyle Michael R,Chief Technology Strategist,S - Sale,$139.94,-1000,9966,-9%,"-$139,943",,,,,PEGA
11,D,2021-09-03 16:41:57,2021-09-01,PEGA,Akgonul Rifat Kerim,Chief Product Officer,S - Sale+OE,$140.81,-2010,45895,-4%,"-$283,028",,,,,PEGA
12,D,2021-08-30 16:17:58,2021-08-26,PEGA,Kouninis Efstathios A,"VP of Finance, CAO",S - Sale+OE,$135.00,-673,2438,-22%,"-$90,855",,,,,PEGA
13,D,2021-08-26 16:42:09,2021-08-24,PEGA,Stillwell Kenneth,"COO, CFO",S - Sale+OE,$133.10,-1101,9800,-10%,"-$146,543",,,,,PEGA
14,D,2021-08-10 16:40:24,2021-08-06,PEGA,Stillwell Kenneth,"COO, CFO",S - Sale+OE,$128.33,-1090,7344,-13%,"-$139,880",,,,,PEGA
15,D,2021-08-04 16:35:30,2021-08-02,PEGA,Stillwell Kenneth,"COO, CFO",S - Sale+OE,$127.16,-1000,7344,-12%,"-$127,158",,,,,PEGA
16,,2021-08-04 16:27:55,2021-08-02,PEGA,Pyle Michael R,Chief Technology Strategist,S - Sale,$127.18,-1000,10966,-8%,"-$127,180",,,,,PEGA
17,,2021-07-06 16:56:11,2021-07-01,PEGA,Stillwell Kenneth,"COO, CFO",S - Sale,$138.44,-1000,7127,-12%,"-$138,441",,,,,PEGA
18,,2021-07-06 16:35:43,2021-07-01,PEGA,Pyle Michael R,Chief Technology Strategist,S - Sale,$138.50,-1000,11966,-8%,"-$138,504",,,,,PEGA
19,D,2021-06-16 16:46:55,2021-06-16,PEGA,Kouninis Efstathios A,"VP of Finance, CAO",S - Sale+OE,$132.89,-293,2438,-11%,"-$38,937",,,,,PEGA
20,D,2021-06-09 17:04:07,2021-06-09,PEGA,Stillwell Kenneth,"COO, CFO",S - Sale+OE,$129.06,-992,8127,-11%,"-$128,028",,,,,PEGA
21,D,2021-06-09 16:52:35,2021-06-09,PEGA,Akgonul Rifat Kerim,Chief Product Officer,S - Sale+OE,$127.72,-2470,45409,-5%,"-$315,468",,,,,PEGA
22,,2021-06-03 17:12:54,2021-06-01,PEGA,Stillwell Kenneth,"COO, CFO",S - Sale,$118.01,-1000,7185,-12%,"-$118,006",,,,,PEGA
23,,2021-06-03 17:08:09,2021-06-01,PEGA,Pyle Michael R,Chief Technology Strategist,S - Sale,$117.99,-1000,12746,-7%,"-$117,987",,,,,PEGA
24,D,2021-05-05 16:42:31,2021-05-03,PEGA,Stillwell Kenneth,"COO, CFO",S - Sale+OE,$124.61,-5582,8185,-41%,"-$695,559",,,,,PEGA
25,D,2021-04-05 17:06:25,2021-04-01,PEGA,Trefler Leon,"SVP, Global Client Success",S - Sale+OE,$118.52,-968,13190,-7%,"-$114,727",,,,,PEGA
26,,2021-04-05 16:40:20,2021-04-01,PEGA,Stillwell Kenneth,"COO, CFO",S - Sale,$118.15,-1000,7968,-11%,"-$118,154",,,,,PEGA
27,D,2021-03-09 16:33:39,2021-03-08,PEGA,Stillwell Kenneth,"CFO, SVP",S - Sale+OE,$117.33,-908,8968,-9%,"-$106,536",,,,,PEGA
28,D,2021-03-03 17:17:08,2021-03-01,PEGA,Trefler Leon,"SVP, Global Customer Success",S - Sale+OE,$134.04,-1312,10664,-11%,"-$175,863",,,,,PEGA
29,,2021-03-03 17:13:29,2021-03-01,PEGA,Stillwell Kenneth,"CFO, SVP",S - Sale,$133.52,-1000,5692,-15%,"-$133,520",,,,,PEGA
30,D,2021-03-03 17:08:55,2021-03-01,PEGA,Kra Douglas I,"SVP, Global Customer Success",S - Sale+OE,$135.00,-14932,41164,-27%,"-$2,015,820",,,,,PEGA
31,D,2021-02-23 17:12:59,2021-02-19,PEGA,Stillwell Kenneth,"CFO, SVP",S - Sale+OE,$143.72,-5757,6692,-46%,"-$827,396",,,,,PEGA
32,D,2021-02-23 17:11:36,2021-02-22,PEGA,Kouninis Efstathios A,"VP of Finance, CAO",S - Sale+OE,$147.00,-533,690,-44%,"-$78,351",,,,,PEGA
33,,2021-02-09 17:19:58,2021-02-05,PEGA,Trefler Leon,"SVP, Global Customer Success",S - Sale,$140.00,-180,10731,-2%,"-$25,200",,,,,PEGA
34,D,2021-02-03 18:22:47,2021-02-01,PEGA,Trefler Leon,"SVP, Global Customer Success",S - Sale+OE,$129.15,-1307,10911,-11%,"-$168,794",,,,,PEGA
35,D,2021-02-03 18:14:10,2021-02-01,PEGA,Stillwell Kenneth,"CFO, SVP",S - Sale+OE,$129.06,-1000,6692,-13%,"-$129,064",,,,,PEGA
36,,2021-01-22 17:22:55,2021-01-20,PEGA,Trefler Leon,"SVP, Global Customer Success",S - Sale,$140.00,-90,10978,-1%,"-$12,600",,,,,PEGA
37,D,2021-01-06 17:32:18,2021-01-04,PEGA,Trefler Leon,"SVP, Global Customer Success",S - Sale+OE,$133.06,-1260,11068,-10%,"-$167,653",,,,,PEGA
38,,2021-01-06 17:20:25,2021-01-04,PEGA,Stillwell Kenneth,"CFO, SVP",S - Sale,$132.29,-1000,6203,-14%,"-$132,287",,,,,PEGA
39,DM,2020-12-18 16:51:23,2020-12-16,PEGA,Kouninis Efstathios A,"VP of Finance, CAO",S - Sale+OE,$129.91,-524,690,-43%,"-$68,072",,,,,PEGA
40,D,2020-12-03 17:55:26,2020-12-02,PEGA,Trefler Leon,"SVP, Global Customer Success",S - Sale+OE,$127.92,-1759,10382,-14%,"-$225,011",,,,,PEGA
41,D,2020-12-03 17:53:07,2020-12-01,PEGA,Stillwell Kenneth,"CFO, SVP",S - Sale+OE,$130.63,-1000,5787,-15%,"-$130,630",,,,,PEGA
42,D,2020-11-25 17:26:05,2020-11-23,PEGA,Kouninis Efstathios A,"VP of Finance, CAO",S - Sale+OE,$131.00,-442,491,-47%,"-$57,902",,,,,PEGA
43,D,2020-11-19 16:35:54,2020-11-17,PEGA,Kra Douglas I,"SVP, Global Customer Success",S - Sale+OE,$123.50,-14102,40255,-26%,"-$1,741,597",,,,,PEGA
44,,2020-11-19 16:30:43,2020-11-17,PEGA,Jones Richard H,Dir,S - Sale,$124.00,-984,632165,0%,"-$122,016",,,,,PEGA
45,,2020-11-16 16:30:15,2020-11-12,PEGA,Jones Richard H,Dir,S - Sale,$124.00,-4016,633149,-1%,"-$497,984",,,,,PEGA
46,D,2020-11-04 17:10:48,2020-11-02,PEGA,Trefler Leon,"SVP, Global Customer Success",S - Sale+OE,$116.17,-654,11936,-5%,"-$75,975",,,,,PEGA
47,D,2020-11-04 17:04:01,2020-11-02,PEGA,Stillwell Kenneth,"CFO, SVP",S - Sale+OE,$117.76,-5505,6708,-45%,"-$648,256",,,,,PEGA
48,D,2020-10-05 16:43:16,2020-10-01,PEGA,Trefler Leon,"SVP, Global Customer Success",S - Sale+OE,$122.43,-658,11936,-5%,"-$80,559",,,,,PEGA
49,,2020-10-05 16:37:47,2020-10-01,PEGA,Stillwell Kenneth,"CFO, SVP",S - Sale,$123.22,-1000,6491,-13%,"-$123,221",,,,,PEGA
50,D,2020-09-03 16:34:09,2020-09-01,PEGA,Trefler Leon,"SVP, Global Customer Success",S - Sale+OE,$130.88,-661,11182,-6%,"-$86,512",,,,,PEGA
51,DM,2020-09-03 16:28:59,2020-09-01,PEGA,Stillwell Kenneth,"CFO, SVP",S - Sale+OE,$132.52,-3000,6066,-33%,"-$397,573",,,,,PEGA
52,,2020-09-03 16:26:53,2020-09-01,PEGA,Pyle Michael R,"SVP, Engineering",S - Sale,$131.05,-7500,10576,-41%,"-$982,895",,,,,PEGA
