,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-12-16 17:18:22,2021-12-15,ROKU,Wood Anthony J.,"CEO, COB BOD, 10%",S - Sale+OE,$200.64,-80000,61000,-57%,"-$16,050,877",,,,,ROKU
1,D,2021-12-03 16:24:41,2021-12-01,ROKU,Wood Anthony J.,"CEO, COB BOD, 10%",S - Sale+OE,$217.73,-85000,61000,-58%,"-$18,507,198",,,,,ROKU
2,D,2021-11-23 16:27:42,2021-11-22,ROKU,Rosenberg Scott A.,"GM, SVP Platform Business",S - Sale+OE,$233.56,-7500,15121,-33%,"-$1,751,700",,,,,ROKU
3,DM,2021-11-17 19:34:20,2021-11-16,ROKU,Kay Stephen H,"SVP GC, Secretary",S - Sale+OE,$267.91,-2637,77312,-3%,"-$706,477",,,,,ROKU
4,DM,2021-11-17 19:33:16,2021-11-16,ROKU,Rosenberg Scott A.,"GM, SVP Platform Business",S - Sale+OE,$268.39,-4848,41374,-10%,"-$1,301,142",,,,,ROKU
5,DM,2021-11-17 19:31:41,2021-11-16,ROKU,Ozgen Mustafa,"SVP, GM of Account Acquisit",S - Sale+OE,$267.91,-9990,0,-100%,"-$2,676,383",,,,,ROKU
6,D,2021-11-17 19:29:05,2021-11-15,ROKU,Wood Anthony J.,"CEO, COB BOD, 10%",S - Sale+OE,$273.78,-80000,61000,-57%,"-$21,902,336",,,,,ROKU
7,D,2021-11-02 19:07:43,2021-11-01,ROKU,Wood Anthony J.,"CEO, COB BOD, 10%",S - Sale+OE,$314.70,-85000,61000,-58%,"-$26,749,118",,,,,ROKU
8,D,2021-10-19 17:46:05,2021-10-15,ROKU,Wood Anthony J.,"CEO, COB BOD, 10%",S - Sale+OE,$325.95,-80000,61000,-57%,"-$26,076,134",,,,,ROKU
9,D,2021-10-05 17:47:18,2021-10-01,ROKU,Wood Anthony J.,"CEO, COB BOD, 10%",S - Sale+OE,$310.22,-85000,61000,-58%,"-$26,368,445",,,,,ROKU
10,D,2021-09-17 17:13:29,2021-09-15,ROKU,Wood Anthony J.,"CEO, COB BOD, 10%",S - Sale+OE,$316.00,-80000,61000,-57%,"-$25,280,257",,,,,ROKU
11,DM,2021-09-03 18:08:03,2021-09-02,ROKU,Rosenberg Scott A.,"GM, SVP Platform Business",S - Sale+OE,$347.78,-9420,41374,-19%,"-$3,276,081",,,,,ROKU
12,DM,2021-09-03 17:49:26,2021-09-02,ROKU,Ozgen Mustafa,"SVP, GM of Account Acquisit",S - Sale+OE,$346.38,-9989,0,-100%,"-$3,459,965",,,,,ROKU
13,DM,2021-09-03 17:31:04,2021-09-02,ROKU,Kay Stephen H,"SVP GC, Secretary",S - Sale+OE,$346.38,-2636,77312,-3%,"-$913,061",,,,,ROKU
14,D,2021-09-03 17:29:17,2021-09-01,ROKU,Wood Anthony J.,"CEO, COB BOD, 10%",S - Sale+OE,$368.40,-85000,61000,-58%,"-$31,314,335",,,,,ROKU
15,D,2021-08-25 19:06:23,2021-08-23,ROKU,Rosenberg Scott A.,"GM, SVP Platform Business",S - Sale+OE,$354.72,-7500,15121,-33%,"-$2,660,400",,,,,ROKU
16,D,2021-08-18 19:00:27,2021-08-16,ROKU,Wood Anthony J.,"CEO, COB BOD, 10%",S - Sale+OE,$353.02,-80000,61000,-57%,"-$28,241,846",,,,,ROKU
17,,2021-08-11 17:54:18,2021-08-09,ROKU,Rosenberg Scott A.,"GM, SVP Platform Business",S - Sale,$389.77,-16807,15121,-53%,"-$6,550,820",,,,,ROKU
18,D,2021-08-03 18:31:24,2021-08-02,ROKU,Wood Anthony J.,"CEO, COB BOD, 10%",S - Sale+OE,$424.37,-85000,61000,-58%,"-$36,071,602",,,,,ROKU
19,D,2021-07-19 19:04:25,2021-07-15,ROKU,Wood Anthony J.,"CEO, COB BOD, 10%",S - Sale+OE,$407.82,-80000,61000,-57%,"-$32,625,464",,,,,ROKU
20,D,2021-07-06 19:37:12,2021-07-01,ROKU,Wood Anthony J.,"CEO, COB BOD, 10%",S - Sale+OE,$440.03,-85000,61000,-58%,"-$37,402,874",,,,,ROKU
21,D,2021-06-16 17:41:37,2021-06-15,ROKU,Wood Anthony J.,"CEO, COB BOD, 10%",S - Sale+OE,$345.30,-80000,61000,-57%,"-$27,623,978",,,,,ROKU
22,D,2021-06-14 20:27:42,2021-06-11,ROKU,Fyfield Mai,Dir,S - Sale+OE,$348.00,-265,613,-30%,"-$92,220",,,,,ROKU
