,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-11-16 20:49:59,2021-11-15,TXN,Bahai Ahmad,SVP,S - Sale+OE,$189.49,-4250,23971,-15%,"-$805,316",,,,,TXN
1,D,2021-11-08 17:26:04,2021-11-04,TXN,Gary Mark,SVP,S - Sale+OE,$190.00,-4991,21886,-19%,"-$948,290",,,,,TXN
2,D,2021-11-02 16:54:10,2021-10-29,TXN,Ilan Haviv,SVP,S - Sale+OE,$187.89,-48000,73369,-40%,"-$9,018,744",,,,,TXN
3,D,2021-08-09 16:24:56,2021-08-05,TXN,Knecht Julie C.,"VP, Chief Accounting Officer",S - Sale+OE,$192.17,-7399,9073,-45%,"-$1,421,836",,,,,TXN
4,,2021-08-09 16:19:40,2021-08-05,TXN,Hobby Jean M.,Dir,S - Sale,$192.04,-900,4081,-18%,"-$172,839",,,,,TXN
5,,2021-08-03 17:01:22,2021-07-29,TXN,Bahai Ahmad,SVP,S - Sale,$189.71,-3682,23939,-13%,"-$698,527",,,,,TXN
6,D,2021-05-18 16:43:00,2021-05-14,TXN,Roberts Mark T.,SVP,S - Sale+OE,$183.30,-6630,22586,-23%,"-$1,215,243",,,,,TXN
7,D,2021-02-12 17:42:34,2021-02-11,TXN,Whitaker Darla H,SVP,S - Sale+OE,$177.41,-30658,42646,-42%,"-$5,439,054",,,,,TXN
8,D,2021-02-12 17:20:22,2021-02-10,TXN,Flessner Kyle M,SVP,S - Sale+OE,$174.32,-30329,57483,-35%,"-$5,287,074",,,,,TXN
9,D,2021-02-12 17:11:19,2021-02-10,TXN,Ron Amichai,SVP,S - Sale+OE,$173.83,-2844,31046,-8%,"-$494,385",,,,,TXN
10,D,2021-02-10 18:34:43,2021-02-08,TXN,Lizardi Rafael R,"SVP, CFO",S - Sale+OE,$174.28,-45090,82135,-35%,"-$7,858,191",,,,,TXN
11,D,2021-02-10 17:53:30,2021-02-08,TXN,Gary Mark,SVP,S - Sale+OE,$173.76,-12715,21886,-37%,"-$2,209,315",,,,,TXN
12,D,2021-02-10 17:25:36,2021-02-08,TXN,Whitaker Darla H,SVP,S - Sale+OE,$173.00,-39040,42646,-48%,"-$6,753,920",,,,,TXN
13,D,2021-02-05 17:46:14,2021-02-03,TXN,Lizardi Rafael R,"SVP, CFO",S - Sale+OE,$171.96,-27665,82135,-25%,"-$4,757,258",,,,,TXN
14,D,2021-02-05 17:30:48,2021-02-04,TXN,Trochu Cynthia Hoff,"SVP, Secretary, GC",S - Sale+OE,$170.92,-12890,41263,-24%,"-$2,203,114",,,,,TXN
15,DM,2021-02-04 19:39:49,2021-02-02,TXN,Templeton Richard K,"COB, Pres, CEO",S - Sale+OE,$171.65,-337500,570506,-37%,"-$57,930,336",,,,,TXN
16,D,2021-02-03 19:29:04,2021-02-02,TXN,Patsley Pamela H,Dir,S - Sale+OE,$173.05,-14749,31516,-32%,"-$2,552,362",,,,,TXN
17,D,2021-02-03 19:19:53,2021-02-01,TXN,Kozanian Hagop H,SVP,S - Sale+OE,$171.88,-37538,46575,-45%,"-$6,451,853",,,,,TXN
18,D,2021-02-03 19:03:43,2021-02-01,TXN,Lizardi Rafael R,"SVP, CFO",S - Sale+OE,$170.02,-15165,82135,-16%,"-$2,578,368",,,,,TXN
19,,2021-02-03 18:59:19,2021-02-01,TXN,Gary Mark,SVP,S - Sale,$169.91,-1250,23791,-5%,"-$212,384",,,,,TXN
20,,2021-02-03 18:54:18,2021-02-01,TXN,Ron Amichai,SVP,S - Sale,$169.92,-2366,31046,-7%,"-$402,027",,,,,TXN
21,,2021-02-03 18:47:11,2021-02-01,TXN,Flessner Kyle M,SVP,S - Sale,$169.79,-6309,57483,-10%,"-$1,071,230",,,,,TXN
22,,2021-02-03 18:42:26,2021-02-01,TXN,Van Haren Julie,SVP,S - Sale,$169.67,-6309,18094,-26%,"-$1,070,425",,,,,TXN
23,,2021-02-03 18:35:39,2021-02-01,TXN,Ilan Haviv,SVP,S - Sale,$169.59,-22080,73369,-23%,"-$3,744,571",,,,,TXN
24,,2021-02-03 18:30:06,2021-02-01,TXN,Trochu Cynthia Hoff,"SVP, Secretary, GC",S - Sale,$169.81,-10725,41263,-21%,"-$1,821,259",,,,,TXN
25,D,2021-02-01 20:12:36,2021-01-28,TXN,Van Haren Julie,SVP,S - Sale+OE,$169.73,-23733,24403,-49%,"-$4,028,121",,,,,TXN
