,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-23 20:04:21,2021-11-19,WBA,Schlichting Nancy M,Dir,S - Sale,$47.16,-2725,16570,-14%,"-$128,497",,,,,WBA
1,,2020-11-13 09:15:04,2020-11-11,WBA,Pagni Marco Patrick Anthony,"EVP, Global CAO, GC",S - Sale,$41.55,-5000,34700,-13%,"-$207,725",,,,,WBA
2,,2019-11-07 17:30:57,2019-11-05,WBA,Pagni Marco Patrick Anthony,"EVP, Global CAO, GC",S - Sale,$63.16,-234355,13844,-94%,"-$14,801,862",,,,,WBA
3,M,2019-08-16 18:40:39,2019-08-14,WBA,Pagni Marco Patrick Anthony,"EVP, Global CAO, GC",S - Sale,$50.48,-215323,234355,-48%,"-$10,868,505",,,,,WBA
4,,2019-05-09 16:44:10,2019-05-09,WBA,Pagni Marco Patrick Anthony,"EVP, Global CAO, GC",S - Sale,$53.05,-20000,449678,-4%,"-$1,061,000",,,,,WBA
5,D,2019-04-04 21:42:06,2019-04-03,WBA,Barra Ornella,Co-COO,P - Purchase,$54.56,"+18,000",1744425,+1%,"+$982,080",,,,,WBA
6,,2018-11-23 16:01:35,2018-11-20,WBA,Schlichting Nancy M,Dir,S - Sale,$78.81,-7050,5709,-55%,"-$555,611",,,,,WBA
7,D,2018-11-02 17:03:17,2018-11-01,WBA,Scardino Kimberly R,"SVP, Global Controller, CAO",S - Sale+OE,$79.79,-11970,0,-100%,"-$955,079",,,,,WBA
8,D,2018-11-02 17:02:23,2018-10-31,WBA,Wilson-Thompson Kathleen,"EVP, Global Chief HRO",S - Sale+OE,$78.77,-52000,55926,-48%,"-$4,096,006",,,,,WBA
9,D,2018-11-02 16:58:32,2018-11-01,WBA,Foote William C,Dir,S - Sale+OE,$79.48,-2736,8207,-25%,"-$217,457",,,,,WBA
10,,2018-08-03 17:30:23,2018-08-02,WBA,Foote William C,Dir,S - Sale,$65.99,-2736,10943,-20%,"-$180,549",,,,,WBA
11,D,2018-07-17 17:39:29,2018-07-16,WBA,Pessina Stefano,"Exec Vice COB, CEO, 10%",P - Purchase,$63.92,"+1,697,438",144788821,+1%,"+$108,500,237",,,,,WBA
12,D,2018-07-17 17:12:50,2018-07-16,WBA,Barra Ornella,Co-COO,P - Purchase,$65.15,"+1,700,000",1700000,New,"+$110,755,000",,,,,WBA
13,D,2018-07-17 17:12:50,2018-07-16,WBA,Barra Ornella,Co-COO,S - Sale+OE,$63.92,-1697438,1700000,-50%,"-$108,500,237",,,,,WBA
14,,2018-05-03 17:19:47,2018-05-02,WBA,Foote William C,Dir,S - Sale,$65.56,-2736,13679,-17%,"-$179,372",,,,,WBA
15,D,2018-01-17 18:01:31,2018-01-15,WBA,Pessina Stefano,"Exec Vice COB, CEO, 10%",P - Purchase,$76.07,"+98,858",143091383,0%,"+$7,520,128",,,,,WBA
16,D,2018-01-17 18:01:31,2018-01-15,WBA,Pessina Stefano,"Exec Vice COB, CEO, 10%",S - Sale+OE,$76.07,-98858,143091383,0%,"-$7,520,128",,,,,WBA
