,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-22 17:52:01,2021-11-18,KLAC,Khan Ahmad A.,"Pres, Semi Proc. Control",S - Sale,$422.59,-885,79586,-1%,"-$373,992",,,,,KLAC
1,,2021-11-22 17:51:40,2021-11-18,KLAC,Higgins Bren D.,"EVP, CFO",S - Sale,$422.59,-3883,73544,-5%,"-$1,640,917",,,,,KLAC
2,,2021-11-03 16:13:40,2021-11-02,KLAC,Donzella Oreste,EVP,S - Sale,$381.04,-590,40277,-1%,"-$224,814",,,,,KLAC
3,,2021-09-23 16:23:14,2021-09-22,KLAC,Wilkinson Mary Beth,"EVP, CLO, Secretary",S - Sale,$359.13,-3505,16808,-17%,"-$1,258,751",,,,,KLAC
4,,2021-09-13 16:21:41,2021-09-09,KLAC,Higgins Bren D.,"EVP, CFO",S - Sale,$335.92,-6617,77427,-8%,"-$2,222,783",,,,,KLAC
5,,2021-09-10 16:23:56,2021-09-08,KLAC,Donzella Oreste,EVP,S - Sale,$341.16,-1129,41448,-3%,"-$385,170",,,,,KLAC
6,,2021-08-27 16:58:30,2021-08-25,KLAC,Khan Ahmad A.,"Pres, Semi Proc. Control",S - Sale,$325.70,-12806,81343,-14%,"-$4,170,914",,,,,KLAC
7,,2021-08-12 16:09:28,2021-08-10,KLAC,Wallace Richard P,"Pres, CEO",S - Sale,$343.74,-41790,260878,-14%,"-$14,364,762",,,,,KLAC
8,,2021-08-11 19:57:18,2021-08-09,KLAC,Donzella Oreste,EVP,S - Sale,$352.98,-1182,42577,-3%,"-$417,222",,,,,KLAC
9,,2021-08-11 19:56:46,2021-08-09,KLAC,Lorig Brian,EVP,S - Sale,$352.98,-510,35748,-1%,"-$180,020",,,,,KLAC
10,,2021-08-11 19:56:28,2021-08-09,KLAC,Kirloskar Virendra A,"SVP, Chief Accounting Officer",S - Sale,$352.98,-204,6294,-3%,"-$72,008",,,,,KLAC
11,,2021-08-11 19:25:28,2021-08-06,KLAC,Kirloskar Virendra A,"SVP, Chief Accounting Officer",S - Sale,$351.54,-932,6498,-13%,"-$327,635",,,,,KLAC
12,,2021-08-11 19:24:41,2021-08-06,KLAC,Lorig Brian,EVP,S - Sale,$351.54,-1864,36258,-5%,"-$655,271",,,,,KLAC
13,,2021-08-06 16:26:02,2021-08-04,KLAC,Donzella Oreste,EVP,S - Sale,$346.89,-472,36034,-1%,"-$163,732",,,,,KLAC
14,,2021-08-06 16:25:43,2021-08-04,KLAC,Lorig Brian,EVP,S - Sale,$346.89,-1654,28668,-5%,"-$573,756",,,,,KLAC
15,,2021-08-06 16:25:25,2021-08-04,KLAC,Kirloskar Virendra A,"SVP, Chief Accounting Officer",S - Sale,$346.89,-1103,3890,-22%,"-$382,620",,,,,KLAC
16,,2021-08-05 16:35:49,2021-08-03,KLAC,Kirloskar Virendra A,"SVP, Chief Accounting Officer",S - Sale,$347.23,-451,4993,-8%,"-$156,601",,,,,KLAC
17,,2021-08-05 16:34:18,2021-08-03,KLAC,Donzella Oreste,EVP,S - Sale,$347.23,-940,36506,-3%,"-$326,396",,,,,KLAC
18,,2021-08-05 16:29:20,2021-08-03,KLAC,Lorig Brian,EVP,S - Sale,$347.23,-695,30322,-2%,"-$241,325",,,,,KLAC
19,,2021-08-03 17:26:02,2021-08-02,KLAC,Kirloskar Virendra A,"SVP, Chief Accounting Officer",S - Sale,$348.16,-420,6530,-6%,"-$146,227",,,,,KLAC
20,,2021-08-03 17:24:46,2021-08-02,KLAC,Lorig Brian,EVP,S - Sale,$348.16,-875,32646,-3%,"-$304,640",,,,,KLAC
21,,2021-08-03 17:22:47,2021-08-02,KLAC,Donzella Oreste,EVP,S - Sale,$348.16,-876,39075,-2%,"-$304,988",,,,,KLAC
22,,2021-07-06 16:56:19,2021-07-01,KLAC,Donzella Oreste,EVP,S - Sale,$324.15,-136,41128,0%,"-$44,084",,,,,KLAC
23,,2021-07-06 16:55:44,2021-07-02,KLAC,Lorig Brian,EVP,S - Sale,$313.73,-96,34724,0%,"-$30,118",,,,,KLAC
24,,2021-07-06 16:55:04,2021-07-02,KLAC,Kirloskar Virendra A,"SVP, Chief Accounting Officer",S - Sale,$313.73,-96,7412,-1%,"-$30,118",,,,,KLAC
25,,2021-05-26 18:25:44,2021-05-24,KLAC,Wallace Richard P,"Pres, CEO",S - Sale,$315.00,-5000,277491,-2%,"-$1,575,000",,,,,KLAC
