,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-29 20:56:56,2021-11-24,AIRG,Sims James K,Dir,P - Purchase,$9.54,"+6,000",304933,+2%,"+$57,240",,,,,AIRG
1,M,2021-11-16 21:19:25,2021-11-12,AIRG,Sims James K,Dir,P - Purchase,$10.50,"+10,000",298933,+3%,"+$104,971",,,,,AIRG
2,,2021-03-17 21:59:24,2021-03-17,AIRG,Suen Jacob,"Pres, CEO",P - Purchase,$23.14,"+2,000",117598,+2%,"+$46,280",,,,,AIRG
3,,2021-03-15 18:35:43,2021-03-12,AIRG,Sims James K,Dir,S - Sale,$23.30,-20000,288933,-6%,"-$466,046",,,,,AIRG
4,,2021-03-11 16:54:11,2021-03-10,AIRG,Sbahi Morad,"SVP, Global Prod., Marketing",P - Purchase,$21.23,"+3,000",16000,+23%,"+$63,682",,,,,AIRG
5,D,2021-02-24 21:09:04,2021-02-23,AIRG,Thill Kevin,"SVP, Engineering",S - Sale+OE,$23.35,-64436,59499,-52%,"-$1,504,697",,,,,AIRG
6,D,2020-08-13 18:55:36,2020-08-12,AIRG,Thill Kevin,"SVP, Engineering",S - Sale+OE,$13.63,-75000,59499,-56%,"-$1,021,943",,,,,AIRG
7,M,2020-05-20 17:03:32,2020-05-18,AIRG,Lyle David,CFO,P - Purchase,$8.33,"+12,000",47000,+34%,"+$99,975",,,,,AIRG
8,,2020-03-02 20:43:39,2020-02-28,AIRG,Sims James K,Dir,P - Purchase,$7.89,"+5,000",302761,+2%,"+$39,433",,,,,AIRG
9,,2019-11-27 19:38:52,2019-11-27,AIRG,Doradla Anil,CFO,P - Purchase,$9.32,"+2,000",22244,+10%,"+$18,633",,,,,AIRG
10,M,2019-07-17 19:21:39,2019-06-10,AIRG,Sims James K,CEO,S - Sale,$14.20,-22464,307347,-7%,"-$319,087",,,,,AIRG
11,DM,2019-05-15 19:12:18,2019-05-13,AIRG,Suen Jacob,Pres,S - Sale+OE,$15.00,-3000,45570,-6%,"-$45,002",,,,,AIRG
12,D,2019-04-12 18:42:12,2019-04-11,AIRG,Suen Jacob,Pres,S - Sale+OE,$15.00,-3000,45570,-6%,"-$45,000",,,,,AIRG
13,M,2019-03-21 18:23:49,2019-03-19,AIRG,Toscanini Arthur M.,Dir,S - Sale,$13.00,-23492,66952,-26%,"-$305,498",,,,,AIRG
14,,2019-03-15 19:50:21,2019-03-15,AIRG,Toscanini Arthur M.,Dir,S - Sale,$13.04,-1508,90444,-2%,"-$19,658",,,,,AIRG
15,D,2019-03-07 18:44:42,2019-03-05,AIRG,Suen Jacob,Pres,S - Sale+OE,$14.00,-8000,45570,-15%,"-$112,000",,,,,AIRG
16,,2019-03-06 19:27:09,2019-03-04,AIRG,"Gen3 Capital Partners, LLC",10%,S - Sale,$12.77,-4964,1048428,0%,"-$63,410",,,,,AIRG
17,,2019-03-01 17:09:17,2019-02-27,AIRG,Suen Jacob,Pres,S - Sale,$12.73,-10000,45570,-18%,"-$127,302",,,,,AIRG
18,,2018-05-14 09:12:42,2018-05-11,AIRG,Suen Jacob,"SVP, Worldwide Sales",P - Purchase,$8.20,"+10,000",20000,+100%,"+$82,000",,,,,AIRG
19,,2018-05-10 18:33:01,2018-05-10,AIRG,Doradla Anil,CFO,P - Purchase,$8.19,"+5,000",5000,New,"+$40,950",,,,,AIRG
20,D,2018-03-09 19:59:10,2018-03-09,AIRG,Myers Charles A.,"Pres, CEO",S - Sale+OE,$9.00,-18229,195924,-9%,"-$164,061",,,,,AIRG
21,M,2018-03-07 17:30:50,2018-03-05,AIRG,Sims James K,"Dir, 10%",S - Sale,$9.25,-8000,1279342,-1%,"-$74,000",,,,,AIRG
22,M,2018-03-07 17:30:50,2018-03-05,AIRG,Toscanini Arthur M.,Dir,S - Sale,$9.25,-8000,82871,-9%,"-$74,000",,,,,AIRG
23,M,2018-03-07 16:31:08,2018-03-05,AIRG,"Gen3 Capital Partners, LLC",10%,S - Sale,$9.25,-8000,1054748,-1%,"-$74,000",,,,,AIRG
24,D,2018-01-19 21:06:56,2018-01-19,AIRG,Myers Charles A.,"Pres, CEO",S - Sale+OE,$10.00,-15000,195924,-7%,"-$150,000",,,,,AIRG
25,,2017-12-22 21:30:46,2017-12-11,AIRG,Toscanini Arthur M.,Dir,S - Sale,$9.34,-8023,90871,-8%,"-$74,972",,,,,AIRG
26,,2017-12-22 21:28:45,2017-12-11,AIRG,Sims James K,"Dir, 10%",S - Sale,$9.34,-8023,1287342,-1%,"-$74,972",,,,,AIRG
27,,2017-12-22 21:26:29,2017-12-11,AIRG,"Gen3 Capital Partners, LLC",10%,S - Sale,$9.34,-8023,1062748,-1%,"-$74,972",,,,,AIRG
