,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-17 13:45:10,2021-12-15,APTO,Platzer Erich,Dir,P - Purchase,$1.17,"+270,000",405000,+200%,"+$316,340",,,,,APTO
1,,2021-12-17 13:38:57,2021-12-16,APTO,Rice William G.,"Chair, Pres, CEO",P - Purchase,$1.52,"+13,183",343252,+4%,"+$20,038",,,,,APTO
2,,2021-12-15 13:48:29,2021-12-15,APTO,Rice William G.,"Chair, Pres, CEO",P - Purchase,$1.12,"+17,822",330069,+6%,"+$19,961",,,,,APTO
3,,2021-11-29 11:53:26,2021-11-26,APTO,Rice William G.,"Chair, Pres, CEO",P - Purchase,$2.31,"+8,643",312247,+3%,"+$19,965",,,,,APTO
4,,2021-11-19 20:36:23,2021-11-19,APTO,Bejar Rafael,"SVP, Chief Medical Officer",P - Purchase,$2.56,"+10,000",10000,New,"+$25,600",,,,,APTO
5,,2021-08-05 21:54:19,2021-08-05,APTO,Wilson Donald R. Jr.,10%,S - Sale,$2.62,-60000,8892437,-1%,"-$157,200",,,,,APTO
6,,2021-08-05 21:54:19,2021-08-03,APTO,Wilson Donald R. Jr.,10%,P - Purchase,$2.65,"+57,199",8892437,+1%,"+$151,406",,,,,APTO
7,,2021-07-06 17:07:24,2021-07-02,APTO,Rice William G.,"Chair, Pres, CEO",P - Purchase,$3.29,"+6,081",303604,+2%,"+$19,998",,,,,APTO
8,M,2021-06-23 17:08:16,2021-06-21,APTO,Whitehead Warren,Dir,S - Sale,$3.31,-25000,15000,-63%,"-$82,694",,,,,APTO
9,D,2020-12-28 18:00:59,2020-12-22,APTO,Whitehead Warren,Dir,S - Sale+OE,$4.06,-20000,40000,-33%,"-$81,200",,,,,APTO
10,,2020-07-10 18:57:10,2020-07-10,APTO,Chow Gregory K.,"EVP, CFO",S - Sale,$6.05,-126668,232846,-35%,"-$766,341",,,,,APTO
11,,2020-07-10 18:55:16,2020-07-10,APTO,Rice William G.,"Chair, Pres, CEO",S - Sale,$6.05,-168891,297523,-36%,"-$1,021,791",,,,,APTO
12,,2020-07-10 18:53:21,2020-07-10,APTO,Marango Jotin,"SVP, Chief Bus. Officer",S - Sale,$6.05,-62835,116219,-35%,"-$380,152",,,,,APTO
13,,2020-07-02 20:08:26,2020-07-02,APTO,Marango Jotin,"SVP, Chief Bus. Officer",S - Sale,$6.34,-20946,179054,-10%,"-$132,793",,,,,APTO
14,DM,2020-06-25 18:38:24,2020-06-23,APTO,Whitehead Warren,Dir,S - Sale+OE,$6.93,-35000,40000,-47%,"-$242,550",,,,,APTO
15,,2020-03-26 13:10:52,2020-03-25,APTO,Rice William G.,"Chair, Pres, CEO",P - Purchase,$5.82,"+3,400",466414,+1%,"+$19,803",,,,,APTO
16,,2019-10-28 13:59:45,2019-10-24,APTO,Rice William G.,"COB, Pres, CEO",P - Purchase,$1.92,"+10,000",163014,+7%,"+$19,200",,,,,APTO
17,,2019-06-07 14:03:02,2019-06-05,APTO,Chow Gregory K.,"SVP, CFO",P - Purchase,$1.84,"+7,500",134514,+6%,"+$13,815",,,,,APTO
18,,2019-04-19 14:35:47,2019-04-18,APTO,Rice William G.,"Chair, Pres, CEO",P - Purchase,$1.85,"+10,000",153014,+7%,"+$18,507",,,,,APTO
19,A,2019-03-21 09:15:50,2019-03-19,APTO,Platzer Erich,Dir,P - Purchase,$2.19,"+20,000",135000,+17%,"+$43,805",,,,,APTO
20,,2019-03-20 14:19:12,2019-03-19,APTO,Platzer Erich,Dir,S - Sale,$2.19,-20000,135000,-13%,"-$43,805",,,,,APTO
21,,2019-03-15 16:35:31,2019-03-14,APTO,Rice William G.,"Chair, Pres, CEO",P - Purchase,$1.90,"+10,000",143014,+8%,"+$18,993",,,,,APTO
22,,2019-03-14 17:32:59,2019-03-13,APTO,Chow Gregory K.,"SVP, CFO",P - Purchase,$1.75,"+15,000",127014,+13%,"+$26,322",,,,,APTO
