,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,DM,2021-11-24 16:18:29,2021-11-22,ASYS,Averick Robert M,"Dir, 10%",P - Purchase,$10.60,"+15,000",2525000,+1%,"+$159,000",,,,,ASYS
1,D,2021-09-10 16:32:21,2021-09-08,ASYS,Whang Jong S,COB,S - Sale+OE,$10.24,-36667,70681,-34%,"-$375,580",,,,,ASYS
2,D,2021-08-12 16:02:09,2021-08-11,ASYS,Averick Robert M,"Dir, 10%",P - Purchase,$9.96,"+2,500",2510000,0%,"+$24,900",,,,,ASYS
3,DM,2021-08-10 17:01:40,2021-08-06,ASYS,Averick Robert M,"Dir, 10%",P - Purchase,$9.83,"+7,500",2507500,0%,"+$73,750",,,,,ASYS
4,D,2020-12-04 16:51:04,2020-12-03,ASYS,King Robert F,Dir,S - Sale+OE,$6.87,-30200,2000,-94%,"-$207,450",,,,,ASYS
5,D,2020-08-12 16:03:49,2020-08-10,ASYS,Averick Robert M,"Dir, 10%",P - Purchase,$5.00,"+50,000",2500000,+2%,"+$250,000",,,,,ASYS
6,,2020-03-16 17:02:35,2020-03-13,ASYS,Whang Jong S,Exec COB,P - Purchase,$3.90,"+5,115",70681,+8%,"+$19,927",,,,,ASYS
7,,2020-03-03 16:45:18,2020-03-02,ASYS,Gibbs Lisa,"VP, CFO",P - Purchase,$4.95,"+2,000",2000,New,"+$9,900",,,,,ASYS
8,,2020-03-03 16:44:07,2020-03-02,ASYS,Whang Michael,CEO,P - Purchase,$5.00,"+2,000",2000,New,"+$10,000",,,,,ASYS
9,D,2020-02-27 16:01:40,2020-02-25,ASYS,Averick Robert M,"Dir, 10%",P - Purchase,$5.11,"+8,500",2450000,0%,"+$43,435",,,,,ASYS
10,DM,2020-02-12 16:30:22,2020-02-10,ASYS,Averick Robert M,"Dir, 10%",P - Purchase,$5.54,"+21,500",2441500,+1%,"+$119,117",,,,,ASYS
11,DM,2019-08-30 16:03:09,2019-08-28,ASYS,Averick Robert M,"Dir, 10%",P - Purchase,$5.27,"+20,000",2420000,+1%,"+$105,350",,,,,ASYS
12,D,2018-12-07 18:33:52,2018-12-06,ASYS,Hass Robert T,CFO,S - Sale+OE,$5.10,-3884,1582,-71%,"-$19,804",,,,,ASYS
13,D,2018-06-04 16:20:33,2018-06-01,ASYS,Whang Michael,VP of Operations,S - Sale+OE,$10.01,-5000,0,-100%,"-$50,050",,,,,ASYS
14,D,2018-06-01 18:42:03,2018-06-01,ASYS,Pentinga Fokko,"Pres, CEO",S - Sale+OE,$9.92,-16830,15000,-53%,"-$166,878",,,,,ASYS
15,D,2018-06-01 16:23:35,2018-05-31,ASYS,Pentinga Fokko,"Pres, CEO",S - Sale+OE,$10.22,-1920,15000,-11%,"-$19,622",,,,,ASYS
16,D,2018-01-19 17:39:03,2018-01-18,ASYS,King Robert F,Dir,S - Sale+OE,$11.25,-17699,8200,-68%,"-$199,114",,,,,ASYS
