,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-16 17:00:10,2021-12-16,ATNF,Vu Quan Anh,"COO , Chief Business Officer",P - Purchase,$3.98,"+8,000",20500,+64%,"+$31,840",,,,,ATNF
1,D,2021-12-13 16:18:55,2021-12-09,ATNF,Feldmann Marc,Dir,P - Purchase,$4.07,"+50,000",2809930,+2%,"+$203,500",,,,,ATNF
2,,2021-12-13 08:35:21,2021-12-09,ATNF,Deluca Teresa,Dir,P - Purchase,$3.98,"+12,500",10000,-500%,"+$49,800",,,,,ATNF
3,,2021-12-13 08:31:58,2021-12-10,ATNF,Pamir Ozan,Interim CFO,P - Purchase,$3.87,"+3,800",76408,+5%,"+$14,706",,,,,ATNF
4,,2021-12-10 18:39:32,2021-12-10,ATNF,Marrone Pamela G,Dir,P - Purchase,$4.10,"+1,000",1000,New,"+$4,100",,,,,ATNF
5,,2021-12-10 18:04:31,2021-12-10,ATNF,Vu Quan Anh,"COO , Chief Business Officer",P - Purchase,$3.90,"+4,500",12500,+56%,"+$17,550",,,,,ATNF
6,,2021-12-10 08:24:31,2021-12-09,ATNF,Woody James N.,CEO,P - Purchase,$4.27,"+12,500",37752,+50%,"+$53,375",,,,,ATNF
7,D,2021-12-10 08:22:39,2021-12-09,ATNF,Steinman Lawrence,Dir,P - Purchase,$4.27,"+5,000",602574,+1%,"+$21,350",,,,,ATNF
8,,2021-12-09 21:58:55,2021-12-09,ATNF,McGovern Jr. Donald A.,Dir,P - Purchase,$4.13,"+25,000",32628,+328%,"+$103,250",,,,,ATNF
9,M,2020-12-17 17:29:59,2020-12-17,ATNF,Krauss Marlene,10%,S - Sale,$2.44,-44383,2896161,-2%,"-$108,285",,,,,ATNF
10,M,2020-12-01 19:00:38,2020-11-25,ATNF,Krauss Marlene,10%,S - Sale,$2.80,-116260,2684516,-4%,"-$325,247",,,,,ATNF
11,,2020-11-12 15:28:50,2020-11-09,ATNF,Woody James N.,CEO,P - Purchase,$3.29,"+1,000",25252,+4%,"+$3,290",,,,,ATNF
12,,2019-10-10 11:50:43,2019-10-09,KBLM,Oxford Asset Management LLP,10%,S - Sale,$10.51,-699900,132285,-84%,"-$7,352,950",,,,,ATNF
13,,2019-10-07 10:17:30,2019-10-03,KBLM,Oxford Asset Management LLP,10%,S - Sale,$10.52,-100,832185,0%,"-$1,052",,,,,ATNF
14,,2019-09-26 09:29:01,2019-09-24,KBLM,Oxford Asset Management LLP,10%,S - Sale,$10.50,-113937,832285,-12%,"-$1,196,339",,,,,ATNF
15,,2019-09-13 08:47:38,2019-09-12,KBLM,Oxford Asset Management LLP,10%,S - Sale,$10.50,-25260,946222,-3%,"-$265,230",,,,,ATNF
16,,2019-09-11 07:04:45,2019-09-09,KBLM,Oxford Asset Management LLP,10%,S - Sale,$10.51,-3999,971482,0%,"-$42,029",,,,,ATNF
17,,2019-09-03 11:36:31,2019-08-30,KBLM,Oxford Asset Management LLP,10%,S - Sale,$10.50,-5900,975481,-1%,"-$61,950",,,,,ATNF
18,,2019-08-20 15:17:13,2019-08-16,KBLM,Mizuho Securities USA LLC,10%,S - Sale,$10.48,-200000,764000,-21%,"-$2,096,000",,,,,ATNF
19,,2019-08-15 11:22:44,2019-08-14,KBLM,Oxford Asset Management LLP,10%,S - Sale,$10.49,-150004,981381,-13%,"-$1,573,542",,,,,ATNF
20,,2019-08-08 09:39:54,2019-08-07,KBLM,Oxford Asset Management LLP,10%,S - Sale,$10.53,-6800,1131385,-1%,"-$71,604",,,,,ATNF
21,,2019-08-07 06:57:09,2019-08-05,KBLM,Oxford Asset Management LLP,10%,S - Sale,$10.53,-200,1138185,0%,"-$2,106",,,,,ATNF
22,,2019-07-25 10:27:23,2019-07-24,KBLM,Oxford Asset Management LLP,10%,S - Sale,$10.49,-100,1138385,0%,"-$1,049",,,,,ATNF
23,,2019-06-24 10:58:10,2019-06-20,KBLM,Oxford Asset Management LLP,10%,S - Sale,$10.48,-600,1138485,0%,"-$6,288",,,,,ATNF
24,,2019-06-18 08:38:16,2019-06-14,KBLM,Oxford Asset Management LLP,10%,S - Sale,$10.48,-300,1139085,0%,"-$3,144",,,,,ATNF
25,,2019-06-12 08:33:45,2019-06-10,KBLM,Oxford Asset Management LLP,10%,S - Sale,$10.48,-435,1139385,0%,"-$4,559",,,,,ATNF
26,,2019-05-31 10:01:42,2019-05-29,KBLM,Oxford Asset Management LLP,10%,S - Sale,$10.48,-500,1139820,0%,"-$5,240",,,,,ATNF
