,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2020-12-15 19:17:57,2020-12-11,AYTU,"Armistice Capital, LLC",Dir,P - Purchase,$6.00,"+1,333,334",2666668,+100%,"+$8,000,004",,,,,AYTU
1,D,2020-04-29 20:22:33,2020-04-27,AYTU,"Armistice Capital, LLC",Dir,S - Sale+OE,$1.82,-5108921,0,-100%,"-$9,298,236",,,,,AYTU
2,D,2020-04-27 09:30:50,2020-04-15,AYTU,Cerecor Inc.,10%,S - Sale+OE,$1.55,-92777,9713068,-1%,"-$144,092",,,,,AYTU
3,D,2020-03-12 19:49:23,2020-03-10,AYTU,"Armistice Capital, LLC",Dir,S - Sale+OE,$1.42,-22026801,2,-100%,"-$31,200,123",,,,,AYTU
4,M,2019-12-23 10:10:07,2019-12-19,AYTU,"Armistice Capital, LLC","Dir, 10%",P - Purchase,$0.86,"+78,788",15900000,0%,"+$67,750",,,,,AYTU
5,,2019-12-19 15:10:33,2019-12-19,AYTU,Disbrow Joshua R.,CEO,P - Purchase,$0.89,"+55,000",525048,+12%,"+$48,824",,,,,AYTU
6,,2018-12-26 16:00:33,2018-12-21,AYTU,Green David A,CFO,S - Sale,$0.81,-3330,266250,-1%,"-$2,711",,,,,AYTU
7,D,2018-03-07 16:39:33,2018-03-06,AYTU,Disbrow Joshua R.,CEO,P - Purchase,$0.45,"+226,105",490949,+85%,"+$101,747",,,,,AYTU
8,D,2018-03-07 16:38:00,2018-03-06,AYTU,Green David A,CFO,P - Purchase,$0.45,"+66,600",141600,+89%,"+$29,970",,,,,AYTU
9,D,2018-03-07 16:36:19,2018-03-06,AYTU,Disbrow Jarrett,COO,P - Purchase,$0.45,"+226,105",439490,+106%,"+$101,747",,,,,AYTU
