,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2021-12-16 15:28:44,2021-12-14,BELFB,Tuweiq Farouq Salem Ali,CFO,P - Purchase,$11.93,"+1,500",15000,+11%,"+$17,895",,,,,BELFA
1,,2021-12-02 07:54:23,2021-11-30,BELFB,Tuweiq Farouq Salem Ali,CFO,P - Purchase,$12.83,+893,13500,+7%,"+$11,462",,,,,BELFA
2,M,2021-11-29 16:20:33,2021-11-24,BELFB,Tuweiq Farouq Salem Ali,CFO,P - Purchase,$12.54,+607,12607,+5%,"+$7,612",,,,,BELFA
3,,2021-11-17 17:26:10,2021-11-16,BELFB,Bernstein Daniel,"Pres, CEO",S - Sale,$14.03,-3000,418724,-1%,"-$42,090",,,,,BELFA
4,,2021-09-14 12:03:35,2021-09-13,BELFB,Tuweiq Farouq Salem Ali,CFO,P - Purchase,$14.22,"+1,250",12000,+12%,"+$17,772",,,,,BELFA
5,,2021-08-13 13:41:31,2021-08-11,BELFB,Urban Sherry L.,VP of HR,S - Sale,$14.52,-500,3567,-12%,"-$7,260",,,,,BELFA
6,A,2021-08-11 12:58:52,2021-08-09,BELFB,Tuweiq Farouq Salem Ali,CFO,P - Purchase,$15.40,+750,750,New,"+$11,547",,,,,BELFA
7,,2020-12-15 15:21:39,2020-12-14,BELFB,Brosious Craig,VP of Finance,S - Sale,$15.00,-1500,8778,-15%,"-$22,500",,,,,BELFA
8,,2020-11-19 16:38:15,2020-11-17,BELFB,Bernstein Daniel,"Pres, CEO",S - Sale,$14.29,-3000,522812,-1%,"-$42,870",,,,,BELFA
9,,2020-06-16 16:16:48,2020-06-12,BELFB,Bernstein Daniel,"Pres, CEO",P - Purchase,$9.69,"+55,074",524908,+12%,"+$533,667",,,,,BELFA
10,,2020-06-16 16:16:48,2020-06-12,BELFB,Bernstein Daniel,"Pres, CEO",S - Sale,$9.54,-55939,524908,-10%,"-$533,658",,,,,BELFA
11,,2020-05-21 17:11:37,2020-05-20,BELFB,Eden Avi D,Dir,S - Sale,$9.35,-1000,13000,-7%,"-$9,350",,,,,BELFA
12,,2020-03-18 16:16:22,2020-03-16,BELFB,Bernstein Daniel,"Pres, CEO",P - Purchase,$7.94,"+1,672",525773,0%,"+$13,276",,,,,BELFA
13,M,2020-03-13 16:44:33,2020-03-11,BELFB,Bernstein Daniel,"Pres, CEO",P - Purchase,$7.93,"+13,762",524101,+3%,"+$109,143",,,,,BELFA
14,,2020-03-11 15:06:17,2020-03-10,BELFB,Brosious Craig,VP of Finance,P - Purchase,$9.01,"+2,000",8757,+30%,"+$18,020",,,,,BELFA
15,,2020-03-09 20:12:08,2020-03-05,BELFB,Bernstein Daniel,"Pres, CEO",P - Purchase,$9.99,"+5,040",510339,+1%,"+$50,350",,,,,BELFA
16,,2020-03-05 15:33:18,2020-03-03,BELFB,Bernstein Daniel,"Pres, CEO",P - Purchase,$9.97,"+2,700",496959,+1%,"+$26,919",,,,,BELFA
17,,2020-03-03 11:10:53,2020-02-28,BELFB,Bernstein Daniel,"Pres, CEO",P - Purchase,$9.81,"+1,300",494259,0%,"+$12,758",,,,,BELFA
18,,2019-08-14 13:02:19,2019-08-12,BELFB,Gilbert Peter E,Dir,P - Purchase,$10.52,"+5,000",25500,+24%,"+$52,600",,,,,BELFA
19,,2019-05-22 17:15:51,2019-05-21,BELFB,Eden Avi D,Dir,S - Sale,$19.56,-1000,14000,-7%,"-$19,560",,,,,BELFA
20,,2019-05-22 17:13:40,2019-05-20,BELFB,Brosious Craig,VP of Finance,S - Sale,$20.07,-400,6757,-6%,"-$8,028",,,,,BELFA
21,,2018-11-13 13:40:58,2018-11-09,BELFB,Brosious Craig,VP of Finance,S - Sale,$25.00,-1600,6886,-19%,"-$40,000",,,,,BELFA
22,,2018-11-09 16:27:14,2018-11-07,BELFB,Bernstein Daniel,"Pres, CEO",S - Sale,$24.83,-3000,491152,-1%,"-$74,500",,,,,BELFA
23,M,2018-11-08 14:58:29,2018-11-06,BELFB,Ackerman Dennis,VP - Operations,S - Sale,$25.44,-2500,17783,-12%,"-$63,595",,,,,BELFA
