,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-15 19:34:14,2021-12-09,CCLP,Gill Stephen R.,Dir,P - Purchase,$1.20,"+98,100",200612,+96%,"+$117,691",,,,,CCLP
1,,2021-12-10 19:43:34,2021-12-08,CCLP,Gill Stephen R.,Dir,P - Purchase,$1.20,"+1,900",102512,+2%,"+$2,280",,,,,CCLP
2,,2021-06-08 16:33:26,2021-06-04,CCLP,Byers Jonathan W.,CFO,P - Purchase,$1.85,"+31,130",490314,+7%,"+$57,591",,,,,CCLP
3,,2021-05-27 16:45:22,2021-05-26,CCLP,Price Robert Wesley,COO,P - Purchase,$1.55,"+25,000",484184,+5%,"+$38,750",,,,,CCLP
4,M,2021-05-27 16:44:54,2021-05-25,CCLP,Jackson John Earl,CEO,P - Purchase,$1.52,"+50,000",509184,+11%,"+$75,835",,,,,CCLP
5,,2021-05-26 16:38:32,2021-05-25,CCLP,Gill Stephen R.,Dir,P - Purchase,$1.52,"+70,000",100612,+229%,"+$106,463",,,,,CCLP
6,,2021-05-26 16:37:28,2021-05-25,CCLP,Gardner Ted A,Dir,P - Purchase,$1.55,"+65,000",95612,+212%,"+$100,744",,,,,CCLP
7,M,2020-08-20 16:17:52,2020-08-19,CCLP,Larson James R,Dir,P - Purchase,$1.18,"+50,000",123457,+68%,"+$59,037",,,,,CCLP
8,,2020-06-24 16:30:09,2020-06-23,CCLP,Moscoso Michael E,"VP, Finance",P - Purchase,$0.85,"+5,000",55698,+10%,"+$4,250",,,,,CCLP
9,,2018-12-28 16:35:38,2018-12-27,CCLP,Serjeant Owen,Pres,P - Purchase,$2.14,"+22,700",165168,+16%,"+$48,578",,,,,CCLP
10,,2018-12-28 16:34:39,2018-12-28,CCLP,Liddle Christopher,VP Manufacturing,P - Purchase,$2.28,"+34,403",34403,New,"+$78,439",,,,,CCLP
11,,2018-12-28 16:33:45,2018-12-28,CCLP,Luna Miguel A,VP,P - Purchase,$2.20,"+11,500",29144,+65%,"+$25,300",,,,,CCLP
12,,2018-12-28 16:33:22,2018-12-28,CCLP,Moscoso Michael E,"VP, Finance",P - Purchase,$2.28,"+4,000",11701,+52%,"+$9,100",,,,,CCLP
13,,2018-12-27 16:27:39,2018-12-27,CCLP,McNiven Roy,VP of Operations,P - Purchase,$2.30,"+4,350",23768,+22%,"+$10,005",,,,,CCLP
