,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-12-16 13:04:51,2021-12-15,CXDO,Wang David Tzat-Kin,CTO,S - Sale+OE,$5.22,-2000,422597,0%,"-$10,442",,,,,CXDO
1,,2021-12-14 18:37:36,2021-12-14,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$5.20,"+75,000",10422393,+1%,"+$390,250",,,,,CXDO
2,,2021-12-10 14:08:33,2021-12-09,CXDO,Brinton Jon,Chief Revenue Officer,P - Purchase,$5.00,"+2,500",5000,+100%,"+$12,500",,,,,CXDO
3,,2021-12-10 13:49:00,2021-12-09,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$5.00,"+5,000",10347393,0%,"+$25,000",,,,,CXDO
4,D,2021-12-09 13:16:18,2021-12-08,CXDO,Wang David Tzat-Kin,CTO,S - Sale+OE,$4.85,-2000,422597,0%,"-$9,700",,,,,CXDO
5,,2021-12-09 11:38:57,2021-12-08,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$4.80,"+5,000",10342393,0%,"+$24,000",,,,,CXDO
6,,2021-12-08 14:03:52,2021-12-07,CXDO,Gaylor Douglas Walter,COO,P - Purchase,$4.94,"+1,000",14497,+7%,"+$4,940",,,,,CXDO
7,,2021-12-02 17:58:23,2021-12-02,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$4.85,"+5,000",10337393,0%,"+$24,250",,,,,CXDO
8,D,2021-12-02 13:42:17,2021-12-01,CXDO,Wang David Tzat-Kin,CTO,S - Sale+OE,$5.04,-2000,422597,0%,"-$10,080",,,,,CXDO
9,,2021-12-01 16:06:23,2021-11-30,CXDO,Brinton Jon,Chief Revenue Officer,P - Purchase,$5.10,"+2,500",2500,New,"+$12,750",,,,,CXDO
10,,2021-11-29 14:31:12,2021-11-26,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$5.15,"+4,061",10332393,0%,"+$20,914",,,,,CXDO
11,D,2021-11-29 14:06:40,2021-11-24,CXDO,Wang David Tzat-Kin,CTO,S - Sale+OE,$5.02,-2000,422597,0%,"-$10,045",,,,,CXDO
12,,2021-11-24 18:37:18,2021-11-24,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$5.08,"+10,939",10328332,0%,"+$55,586",,,,,CXDO
13,,2021-11-24 18:27:42,2021-11-23,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$5.22,"+19,000",10317393,0%,"+$99,263",,,,,CXDO
14,,2021-11-24 17:18:42,2021-11-22,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$5.23,"+1,500",10298393,0%,"+$7,845",,,,,CXDO
15,D,2021-11-19 11:40:56,2021-11-17,CXDO,Wang David Tzat-Kin,CTO,S - Sale+OE,$4.93,-2000,422597,0%,"-$9,860",,,,,CXDO
16,D,2021-11-15 12:49:50,2021-11-10,CXDO,Wang David Tzat-Kin,CTO,S - Sale+OE,$5.65,-2000,422597,0%,"-$11,306",,,,,CXDO
17,D,2021-11-04 16:48:30,2021-11-03,CXDO,Wang David Tzat-Kin,CTO,S - Sale+OE,$5.42,-2000,422597,0%,"-$10,840",,,,,CXDO
18,D,2021-10-28 21:13:51,2021-10-27,CXDO,Wang David Tzat-Kin,CTO,S - Sale+OE,$5.55,-2000,422597,0%,"-$11,090",,,,,CXDO
19,D,2021-10-22 12:47:03,2021-10-20,CXDO,Wang David Tzat-Kin,CTO,S - Sale+OE,$5.95,-2000,422597,0%,"-$11,900",,,,,CXDO
20,D,2021-10-14 16:28:01,2021-10-13,CXDO,Wang David Tzat-Kin,CTO,S - Sale+OE,$5.52,-2000,422597,0%,"-$11,040",,,,,CXDO
21,D,2021-10-07 20:28:39,2021-10-06,CXDO,Wang David Tzat-Kin,CTO,S - Sale+OE,$5.62,-2000,422597,0%,"-$11,240",,,,,CXDO
22,,2021-09-09 15:09:26,2021-09-08,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$5.87,"+6,000",10304468,0%,"+$35,220",,,,,CXDO
23,,2020-09-28 20:39:33,2020-09-28,CXDO,Mihaylo Steven G,"CEO, 10%",S - Sale,$5.12,-360000,9998504,-3%,"-$1,841,400",,,,,CXDO
24,D,2020-09-28 20:37:39,2020-09-28,CXDO,Puri Anil K.,Dir,S - Sale+OE,$5.12,-40000,13501,-75%,"-$204,600",,,,,CXDO
25,D,2020-09-28 20:33:12,2020-09-28,CXDO,Williams David Roy,Dir,S - Sale+OE,$5.12,-50000,20000,-71%,"-$255,750",,,,,CXDO
26,D,2020-09-28 20:29:56,2020-09-28,CXDO,Gaylor Douglas Walter,COO,S - Sale+OE,$5.12,-200000,6499,-97%,"-$1,023,000",,,,,CXDO
27,D,2020-09-28 20:27:37,2020-09-28,CXDO,Vincent Ron,CFO,S - Sale+OE,$5.12,-200000,10163,-95%,"-$1,023,000",,,,,CXDO
28,D,2020-06-15 12:21:41,2020-06-12,CXDO,Puri Anil K.,Dir,S - Sale+OE,$5.23,-10000,13501,-43%,"-$52,250",,,,,CXDO
29,D,2020-06-09 21:06:33,2020-06-08,CXDO,Williams David Roy,Dir,S - Sale+OE,$5.65,-10000,20000,-33%,"-$56,456",,,,,CXDO
30,D,2020-06-05 20:22:59,2020-06-05,CXDO,Gaylor Douglas Walter,COO,S - Sale+OE,$5.75,-10000,4999,-67%,"-$57,500",,,,,CXDO
31,,2019-10-03 12:06:09,2019-10-02,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$3.00,+40,10268182,0%,+$120,,,,,CXDO
32,,2019-10-01 12:11:47,2019-09-30,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$3.00,"+1,721",10268442,0%,"+$5,163",,,,,CXDO
33,,2019-09-30 14:27:39,2019-09-27,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$3.00,"+1,021",10266421,0%,"+$3,063",,,,,CXDO
34,,2019-09-09 11:54:08,2019-09-06,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$3.00,+400,10265400,0%,"+$1,200",,,,,CXDO
35,,2019-08-23 13:43:57,2019-08-22,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$3.15,"+8,282",10265000,0%,"+$26,088",,,,,CXDO
36,,2019-08-21 13:33:37,2019-08-20,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$3.15,+200,10256718,0%,+$630,,,,,CXDO
37,,2019-08-20 12:35:24,2019-08-19,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$3.15,"+1,518",10256518,0%,"+$4,782",,,,,CXDO
38,,2019-07-23 12:01:48,2019-07-22,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$3.15,"+2,025",10255000,0%,"+$6,379",,,,,CXDO
39,,2019-07-18 12:20:14,2019-07-17,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$3.15,+500,10252975,0%,"+$1,575",,,,,CXDO
40,,2019-07-11 18:02:25,2019-07-11,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$3.15,"+16,920",10252475,0%,"+$53,298",,,,,CXDO
41,,2019-06-12 12:20:02,2019-06-10,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$3.23,"+5,555",10235555,0%,"+$17,951",,,,,CXDO
42,,2019-06-10 13:29:54,2019-06-07,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$3.25,"+6,946",10230000,0%,"+$22,575",,,,,CXDO
43,,2019-06-04 11:49:04,2019-05-31,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$3.25,"+3,054",10223054,0%,"+$9,926",,,,,CXDO
44,,2019-05-29 11:54:04,2019-05-28,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$3.33,"+20,000",10220000,0%,"+$66,608",,,,,CXDO
45,,2019-05-28 21:31:49,2019-05-24,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$3.45,"+10,277",10200000,0%,"+$35,456",,,,,CXDO
46,,2019-05-24 11:24:06,2019-05-22,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$3.15,+511,10189723,0%,"+$1,610",,,,,CXDO
47,,2019-05-22 13:22:37,2019-05-21,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$3.30,"+10,000",10189212,0%,"+$33,000",,,,,CXDO
48,,2019-05-21 13:06:44,2019-05-20,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$3.36,"+10,000",10179212,0%,"+$33,600",,,,,CXDO
49,,2019-05-13 16:59:15,2019-05-10,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$3.38,"+8,659",10169212,0%,"+$29,267",,,,,CXDO
50,,2019-05-09 15:28:41,2019-05-08,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$3.29,"+21,341",10160553,0%,"+$70,243",,,,,CXDO
51,,2019-05-09 12:09:41,2019-04-26,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$2.60,+950,10139212,0%,"+$2,470",,,,,CXDO
52,,2019-03-18 15:29:08,2019-03-15,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$2.85,+700,10138262,0%,"+$1,995",,,,,CXDO
53,,2019-03-15 14:56:52,2019-03-14,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$2.55,+300,10137562,0%,+$765,,,,,CXDO
54,,2019-03-13 17:22:32,2019-03-13,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$2.80,"+1,900",10137262,0%,"+$5,320",,,,,CXDO
55,,2019-03-08 13:09:47,2019-03-07,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$2.75,"+14,100",10135362,0%,"+$38,747",,,,,CXDO
56,,2019-01-03 20:55:18,2019-01-02,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$1.99,+100,10121262,0%,+$199,,,,,CXDO
57,,2019-01-02 13:28:55,2018-12-31,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$2.00,+100,10121162,0%,+$200,,,,,CXDO
58,,2018-12-14 12:32:13,2018-12-12,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$2.00,+200,10121062,0%,+$400,,,,,CXDO
59,,2018-12-12 18:36:42,2018-12-11,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$2.10,+100,10120862,0%,+$210,,,,,CXDO
60,,2018-12-11 15:09:32,2018-12-10,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$2.10,+200,10120762,0%,+$420,,,,,CXDO
61,,2018-12-10 16:15:01,2018-12-07,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$2.09,+675,10120562,0%,"+$1,411",,,,,CXDO
62,,2018-12-07 12:26:26,2018-12-06,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$2.10,"+1,333",10119887,0%,"+$2,799",,,,,CXDO
63,,2018-11-26 08:13:45,2018-11-23,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$2.09,"+2,300",10118554,0%,"+$4,807",,,,,CXDO
64,,2018-11-26 08:01:44,2018-11-21,CXDO,Mihaylo Steven G,"CEO, 10%",P - Purchase,$1.94,"+2,100",10116254,0%,"+$4,078",,,,,CXDO
