,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2020-12-21 08:09:08,2020-12-17,DLHC,Johnbull Kathryn M.,CFO,P - Purchase,$9.80,"+7,346",150000,+5%,"+$71,991",,,,,DLHC
1,,2020-12-21 08:07:41,2020-12-17,DLHC,Zelkowicz Stephen,Dir,P - Purchase,$9.76,"+2,500",11284,+28%,"+$24,400",,,,,DLHC
2,,2020-12-16 16:48:59,2020-12-14,DLHC,Parker Zachary,"CEO, Pres",P - Purchase,$10.38,"+9,200",435059,+2%,"+$95,496",,,,,DLHC
3,M,2020-08-12 16:15:38,2020-08-10,DLHC,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,$8.73,"+15,000",3871260,0%,"+$130,913",,,,,DLHC
4,M,2020-06-16 16:54:22,2020-06-12,DLHC,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,$7.46,"+10,000",3856260,0%,"+$74,614",,,,,DLHC
5,,2020-05-28 16:30:48,2020-05-27,DLHC,Wilson Kevin,"Pres, DLH Solutions",S - Sale,$8.00,-15000,270006,-5%,"-$120,000",,,,,DLHC
6,M,2020-02-26 16:19:29,2020-02-24,DLHC,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,$4.56,"+6,624",3846260,0%,"+$30,199",,,,,DLHC
7,M,2020-02-24 16:15:27,2020-02-20,DLHC,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,$4.53,"+103,382",3839636,+3%,"+$468,520",,,,,DLHC
8,M,2020-02-20 16:19:44,2020-02-18,DLHC,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,$4.57,"+52,865",3736254,+1%,"+$241,484",,,,,DLHC
9,M,2020-02-18 16:20:25,2020-02-13,DLHC,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,$4.38,"+25,859",3683389,+1%,"+$113,220",,,,,DLHC
10,,2019-12-26 16:15:06,2019-12-19,DLHC,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,$4.00,"+31,897",3657530,+1%,"+$127,588",,,,,DLHC
11,D,2019-12-19 14:49:30,2019-12-19,DLHC,Johnbull Kathryn M.,CFO,P - Purchase,$4.00,"+10,000",142654,+8%,"+$40,000",,,,,DLHC
12,,2019-12-19 14:48:31,2019-12-19,DLHC,Delaney Martin J,Dir,P - Purchase,$4.00,"+10,000",298146,+3%,"+$40,000",,,,,DLHC
13,,2019-12-19 14:47:42,2019-12-19,DLHC,Alderman William H,Dir,S - Sale,$4.00,-51897,0,-100%,"-$207,588",,,,,DLHC
14,M,2019-08-12 17:53:28,2019-08-08,DLHC,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,$4.25,"+10,000",3625633,0%,"+$42,500",,,,,DLHC
15,,2019-03-18 17:23:46,2019-03-15,DLHC,Wilson Kevin,"Pres, DLH Solutions",S - Sale,$6.01,-20000,285006,-7%,"-$120,200",,,,,DLHC
16,M,2019-03-18 16:15:20,2019-03-14,DLHC,Wynnefield Partners Small Cap Value LP,10%,S - Sale,$6.02,-116850,3615633,-3%,"-$703,722",,,,,DLHC
17,M,2019-03-12 16:20:03,2019-03-08,DLHC,Wynnefield Partners Small Cap Value LP,10%,S - Sale,$6.03,-219500,3732483,-6%,"-$1,324,078",,,,,DLHC
18,,2019-03-07 16:15:35,2019-03-05,DLHC,Wynnefield Partners Small Cap Value LP,10%,S - Sale,$6.30,-25000,3951983,-1%,"-$157,500",,,,,DLHC
19,,2019-02-27 17:03:42,2019-02-25,DLHC,Wynnefield Partners Small Cap Value LP,10%,S - Sale,$6.30,-26000,3976983,-1%,"-$163,800",,,,,DLHC
20,,2018-09-13 16:37:13,2018-09-12,DLHC,Wilson Kevin,"Pres, DLH Solutions",S - Sale,$5.00,-30000,305006,-9%,"-$150,000",,,,,DLHC
21,,2018-06-08 16:49:55,2018-06-06,DLHC,Wasserman Frederick Gerald,Dir,S - Sale,$5.35,-13000,192414,-6%,"-$69,580",,,,,DLHC
22,,2018-06-05 18:34:12,2018-06-04,DLHC,Alderman William H,Dir,S - Sale,$5.35,-18890,37536,-33%,"-$101,067",,,,,DLHC
23,M,2018-06-04 16:07:18,2018-05-31,DLHC,Alderman William H,Dir,S - Sale,$5.50,-18574,56426,-25%,"-$102,157",,,,,DLHC
24,,2018-03-14 18:37:49,2018-03-12,DLHC,Alderman William H,Dir,S - Sale,$5.70,-7150,75000,-9%,"-$40,755",,,,,DLHC
25,M,2018-03-12 17:55:31,2018-03-08,DLHC,Alderman William H,Dir,S - Sale,$5.76,-2706,82150,-3%,"-$15,590",,,,,DLHC
26,M,2018-03-07 17:38:30,2018-03-05,DLHC,Alderman William H,Dir,S - Sale,$5.81,-7710,84856,-8%,"-$44,820",,,,,DLHC
27,M,2018-03-05 14:11:44,2018-03-01,DLHC,Alderman William H,Dir,S - Sale,$5.80,-2487,92566,-3%,"-$14,426",,,,,DLHC
28,DM,2018-03-02 16:02:16,2018-02-28,DLHC,Johnbull Kathryn M.,CFO,P - Purchase,$5.84,"+13,000",102654,+15%,"+$75,946",,,,,DLHC
29,,2018-02-20 16:33:29,2018-02-15,DLHC,Wynnefield Partners Small Cap Value LP,10%,S - Sale,$6.00,-200000,2918015,-6%,"-$1,200,000",,,,,DLHC
