,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,EM,2021-08-16 14:11:23,2021-07-27,DYAI,"Francisco Trust Under Agreement Dated February 28, 1996",10%,S - Sale,$5.00,-175000,3548528,-5%,"-$874,949",,,,,DYAI
1,DM,2021-06-09 17:56:56,2021-06-07,DYAI,Emalfarb Mark A,"Pres, CEO, 10%",S - Sale+OE,$3.86,-97000,12827751,-1%,"-$373,960",,,,,DYAI
2,M,2021-06-04 20:26:10,2021-06-03,DYAI,Rawson Ping Wang,CFO,P - Purchase,$3.73,"+11,000",45500,+32%,"+$41,066",,,,,DYAI
3,DM,2021-06-04 20:25:24,2021-06-02,DYAI,Emalfarb Mark A,"Pres, CEO, 10%",S - Sale+OE,$3.79,-235070,12327751,-2%,"-$890,208",,,,,DYAI
4,,2021-06-03 16:33:28,2021-06-02,DYAI,Rawson Ping Wang,CFO,P - Purchase,$3.70,"+16,000",34500,+86%,"+$59,200",,,,,DYAI
5,DM,2019-12-12 20:48:31,2019-12-10,DYAI,Tchelet Ronen,"VP of Research, Bus. Dvlpmt",S - Sale+OE,$5.82,-10000,0,-100%,"-$58,217",,,,,DYAI
6,D,2019-12-05 20:10:52,2019-12-03,DYAI,Buckland Barry,Dir,S - Sale+OE,$6.18,-15000,0,-100%,"-$92,700",,,,,DYAI
7,D,2019-11-12 15:35:01,2019-11-11,DYAI,Tchelet Ronen,"VP of Research, Bus. Dvlpmt",S - Sale+OE,$5.99,-10000,0,-100%,"-$59,900",,,,,DYAI
8,DM,2019-10-11 16:17:25,2019-10-10,DYAI,Tchelet Ronen,"VP of Research, Bus. Dvlpmt",S - Sale+OE,$6.06,-10000,0,-100%,"-$60,609",,,,,DYAI
9,D,2019-09-12 21:32:51,2019-09-10,DYAI,Tchelet Ronen,"VP of Research, Bus. Dvlpmt",S - Sale+OE,$5.27,-10000,0,-100%,"-$52,700",,,,,DYAI
10,DM,2019-08-14 17:22:24,2019-08-12,DYAI,Tchelet Ronen,"VP of Research, Bus. Dvlpmt",S - Sale+OE,$5.74,-10000,0,-100%,"-$57,389",,,,,DYAI
11,D,2019-07-11 21:37:44,2019-07-10,DYAI,Tchelet Ronen,"VP of Research, Bus. Dvlpmt",S - Sale+OE,$5.87,-10000,0,-100%,"-$58,700",,,,,DYAI
12,D,2019-06-20 17:11:47,2019-06-18,DYAI,Tchelet Ronen,"VP of Research, Bus. Dvlpmt",S - Sale+OE,$6.44,-20000,0,-100%,"-$128,800",,,,,DYAI
13,D,2019-06-19 15:47:24,2019-06-17,DYAI,Tchelet Ronen,"VP of Research, Bus. Dvlpmt",S - Sale+OE,$6.11,-20000,0,-100%,"-$122,200",,,,,DYAI
