,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-09-10 13:22:50,2021-09-09,FNCB,Bracey William G.,Dir,P - Purchase,$7.99,"+11,900",145091,+9%,"+$95,123",,,,,FNCB
1,,2021-08-24 07:33:55,2021-08-20,FNCB,Denaples Louis A Jr,Dir,P - Purchase,$7.94,"+5,038",282865,+2%,"+$40,002",,,,,FNCB
2,,2021-05-19 16:07:46,2021-05-18,FNCB,Drust Richard D,"SVP, RETAIL BANKING OFFICER",S - Sale,$7.22,-544,12362,-4%,"-$3,925",,,,,FNCB
3,,2021-05-19 16:04:30,2021-05-18,FNCB,Westington Stephanie A.,"SVP, CONTROLLER",S - Sale,$7.22,-615,15784,-4%,"-$4,438",,,,,FNCB
4,,2021-05-19 15:57:58,2021-05-18,FNCB,Honick Ronald S. Jr.,"SVP, OPS, TECH SVS OFFICER",S - Sale,$7.22,-1635,10587,-13%,"-$11,798",,,,,FNCB
5,,2021-05-19 15:55:53,2021-05-18,FNCB,McGuigan William,"SVP, AUDIT OFFICER",S - Sale,$7.22,-1290,5302,-20%,"-$9,308",,,,,FNCB
6,A,2021-02-23 15:51:50,2020-05-13,FNCB,Dhaduk Vithalbhai D,Dir,P - Purchase,$5.49,"+6,666",108257,+7%,"+$36,584",,,,,FNCB
7,,2020-07-30 08:36:14,2020-07-29,FNCB,McGuigan William,"SVP, AUDIT OFFICER",S - Sale,$5.71,-1495,5187,-22%,"-$8,530",,,,,FNCB
8,,2020-06-01 16:37:16,2020-05-28,FNCB,Drust Richard D,"SVP, RETAIL BANKING OFFICER",S - Sale,$6.11,-387,10528,-4%,"-$2,366",,,,,FNCB
9,,2020-06-01 16:36:07,2020-05-28,FNCB,Westington Stephanie A.,"SVP, CONTROLLER",S - Sale,$6.11,-437,13693,-3%,"-$2,672",,,,,FNCB
10,,2020-06-01 16:34:42,2020-05-28,FNCB,McGuigan William,"SVP, AUDIT OFFICER",S - Sale,$6.11,-304,6176,-5%,"-$1,858",,,,,FNCB
11,,2020-05-15 15:15:09,2020-05-13,FNCB,Dhaduk Vithalbhai D,Dir,P - Purchase,$5.49,"+6,666",108257,+7%,"+$36,584",,,,,FNCB
12,,2020-05-15 11:32:28,2020-05-13,FNCB,Eckel Keith W.,Dir,P - Purchase,$5.50,"+2,000",10270,+24%,"+$11,000",,,,,FNCB
