,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,A,2021-12-15 16:34:24,2021-12-15,GALT,Freeman Kevin D,Dir,P - Purchase,$2.28,"+5,000",89469,+6%,"+$11,400",,,,,GALT
1,,2021-12-15 16:25:30,2021-12-06,GALT,Freeman Kevin D,Dir,P - Purchase,$2.28,"+5,000",89469,+6%,"+$11,400",,,,,GALT
2,,2021-12-06 14:09:52,2021-12-06,GALT,Freeman Kevin D,Dir,P - Purchase,$2.34,"+5,000",84469,+6%,"+$11,700",,,,,GALT
3,,2021-12-06 12:42:51,2021-12-02,GALT,"10X Fund, L.P.",10%,S - Sale,$2.37,-10000,6198940,0%,"-$23,700",,,,,GALT
4,,2021-11-04 11:55:59,2021-11-01,GALT,"10X Fund, L.P.",10%,S - Sale,$3.19,-10000,6208940,0%,"-$31,900",,,,,GALT
5,,2021-11-01 12:51:05,2021-10-29,GALT,Freeman Kevin D,Dir,P - Purchase,$3.17,"+2,000",79469,+3%,"+$6,340",,,,,GALT
6,,2021-10-21 12:52:37,2021-10-21,GALT,Freeman Kevin D,Dir,P - Purchase,$3.19,"+2,000",77469,+3%,"+$6,380",,,,,GALT
7,,2021-10-19 15:18:14,2021-10-15,GALT,"10X Fund, L.P.",10%,S - Sale,$3.37,-10000,6218940,0%,"-$33,700",,,,,GALT
8,,2021-10-19 14:14:29,2021-10-19,GALT,Freeman Kevin D,Dir,P - Purchase,$3.37,"+3,000",75469,+4%,"+$10,107",,,,,GALT
9,,2021-10-06 12:00:47,2021-10-04,GALT,"10X Fund, L.P.",10%,S - Sale,$3.62,-10000,6228940,0%,"-$36,200",,,,,GALT
10,,2021-09-23 16:14:52,2021-09-23,GALT,Freeman Kevin D,Dir,P - Purchase,$3.88,"+3,000",72469,+4%,"+$11,631",,,,,GALT
11,,2021-09-03 09:00:28,2021-09-01,GALT,"10X Fund, L.P.",10%,S - Sale,$3.91,-10000,6238940,0%,"-$39,100",,,,,GALT
12,,2021-08-03 15:48:36,2021-08-02,GALT,"10X Fund, L.P.",10%,S - Sale,$3.25,-10000,6248940,0%,"-$32,500",,,,,GALT
13,,2021-07-15 14:27:45,2021-07-09,GALT,"10X Fund, L.P.",10%,S - Sale,$3.54,-10000,6258940,0%,"-$35,400",,,,,GALT
14,,2021-06-03 17:27:17,2021-06-01,GALT,"10X Fund, L.P.",10%,S - Sale,$3.91,-10000,6268940,0%,"-$39,100",,,,,GALT
15,AM,2021-05-05 12:05:49,2021-04-22,GALT,"10X Fund, L.P.",10%,S - Sale,$4.25,-37500,6278940,-1%,"-$159,475",,,,,GALT
16,M,2021-05-04 16:52:48,2021-04-22,GALT,"10X Fund, L.P.",10%,S - Sale,$3.97,-27500,6288940,0%,"-$109,275",,,,,GALT
17,,2021-04-06 09:00:35,2021-04-05,GALT,Freeman Kevin D,Dir,P - Purchase,$2.04,"+5,000",69469,+8%,"+$10,200",,,,,GALT
18,,2021-04-05 13:48:57,2021-04-01,GALT,"10X Fund, L.P.",10%,S - Sale,$2.16,-10000,6316440,0%,"-$21,600",,,,,GALT
19,,2021-03-04 16:06:22,2021-03-01,GALT,"10X Fund, L.P.",10%,S - Sale,$2.31,-10000,6326440,0%,"-$23,100",,,,,GALT
20,,2021-02-05 10:47:48,2021-02-02,GALT,"10X Fund, L.P.",10%,S - Sale,$2.04,-10000,6336440,0%,"-$20,400",,,,,GALT
21,,2021-01-19 09:00:36,2021-01-11,GALT,Amelio Gilbert F,Dir,S - Sale,$2.17,-60000,60614,-50%,"-$130,200",,,,,GALT
22,,2021-01-05 17:36:46,2021-01-04,GALT,"10X Fund, L.P.",10%,S - Sale,$2.23,-10000,6346440,0%,"-$22,300",,,,,GALT
23,,2020-10-15 17:03:34,2020-10-13,GALT,"10X Fund, L.P.",10%,S - Sale,$2.97,-10000,6356440,0%,"-$29,700",,,,,GALT
24,,2020-09-09 08:00:26,2020-09-04,GALT,Freeman Kevin D,Dir,P - Purchase,$2.57,"+5,000",64469,+8%,"+$12,848",,,,,GALT
25,,2020-09-09 08:00:22,2020-09-04,GALT,Uihlein Richard E,"Dir, 10%",P - Purchase,$2.55,"+10,000",7920901,0%,"+$25,500",,,,,GALT
26,,2020-03-20 08:30:26,2020-03-19,GALT,Freeman Kevin D,Dir,P - Purchase,$1.64,"+6,000",59469,+11%,"+$9,844",,,,,GALT
27,,2020-01-21 16:54:09,2020-01-17,GALT,"10X Fund, L.P.",10%,S - Sale,$2.97,-10000,6375790,0%,"-$29,700",,,,,GALT
28,,2019-11-18 10:01:32,2019-11-15,GALT,Freeman Kevin D,Dir,P - Purchase,$3.36,"+3,000",53469,+6%,"+$10,076",,,,,GALT
29,,2019-10-15 06:56:18,2019-10-10,GALT,"10X Fund, L.P.",10%,S - Sale,$3.73,-17000,6385790,0%,"-$63,325",,,,,GALT
30,,2019-09-09 15:00:22,2019-09-05,GALT,Amelio Gilbert F,Dir,S - Sale,$3.30,-30000,124614,-19%,"-$99,000",,,,,GALT
31,,2019-09-09 13:30:33,2019-09-06,GALT,Freeman Kevin D,Dir,P - Purchase,$3.71,"+1,290",50469,+3%,"+$4,786",,,,,GALT
32,AD,2019-06-03 18:10:17,2019-05-31,GALT,Uihlein Richard E,"Dir, 10%",P - Purchase,$4.28,"+4,680,606",7829095,+149%,"+$20,032,994",,,,,GALT
33,D,2019-06-03 17:45:02,2019-05-31,GALT,Callicutt Jack W,CFO,P - Purchase,$4.28,"+2,354",3614,+187%,"+$10,075",,,,,GALT
34,D,2019-06-03 17:42:19,2019-05-31,GALT,Eldred Kary,Dir,P - Purchase,$4.28,"+3,033",48840,+7%,"+$12,981",,,,,GALT
35,D,2019-06-03 17:31:51,2019-05-31,GALT,Freeman Kevin D,Dir,P - Purchase,$4.28,"+9,136",49179,+23%,"+$39,102",,,,,GALT
36,D,2019-06-03 17:29:46,2019-05-31,GALT,Omenn Gilbert S,Dir,P - Purchase,$4.28,"+18,578",66769,+39%,"+$79,514",,,,,GALT
37,D,2019-06-03 17:29:05,2019-05-31,GALT,Lewis Joel,Dir,P - Purchase,$4.28,"+12,849",78649,+20%,"+$54,994",,,,,GALT
38,D,2019-06-03 17:28:22,2019-05-31,GALT,Uihlein Richard E,"Dir, 10%",P - Purchase,$4.28,"+4,680,606",7829095,+149%,"+$20,032,994",,,,,GALT
39,,2019-04-09 16:02:57,2019-04-09,GALT,Uihlein Richard E,"Dir, 10%",P - Purchase,$4.82,"+20,700",2648489,+1%,"+$99,851",,,,,GALT
40,,2019-04-08 16:32:52,2019-04-05,GALT,Lewis Joel,Dir,P - Purchase,$4.82,+667,65800,+1%,"+$3,214",,,,,GALT
41,,2019-04-08 16:31:14,2019-04-05,GALT,Uihlein Richard E,"Dir, 10%",P - Purchase,$4.81,"+21,000",2627789,+1%,"+$100,972",,,,,GALT
42,,2019-04-08 16:30:09,2019-04-05,GALT,Freeman Kevin D,Dir,P - Purchase,$4.73,+500,40043,+1%,"+$2,365",,,,,GALT
43,DM,2019-02-25 16:38:27,2019-02-21,GALT,Rubin Marc,Dir,S - Sale+OE,$6.02,-51185,13581,-79%,"-$308,201",,,,,GALT
44,,2019-02-11 16:24:08,2019-02-07,GALT,Lewis Joel,Dir,P - Purchase,$4.48,"+1,000",65133,+2%,"+$4,484",,,,,GALT
45,,2019-02-11 16:23:30,2019-02-08,GALT,Freeman Kevin D,Dir,P - Purchase,$4.29,"+1,500",39543,+4%,"+$6,428",,,,,GALT
46,M,2019-02-04 16:30:21,2019-01-30,GALT,Amelio Gilbert F,Dir,S - Sale,$5.00,-30000,154614,-16%,"-$150,000",,,,,GALT
47,AM,2019-01-31 10:55:03,2019-01-28,GALT,Uihlein Richard E,"Dir, 10%",P - Purchase,$4.87,"+51,500",2586789,+2%,"+$250,559",,,,,GALT
48,,2019-01-30 17:31:34,2019-01-29,GALT,Lewis Joel,Dir,P - Purchase,$4.81,"+1,000",64133,+2%,"+$4,805",,,,,GALT
