,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-29 16:32:39,2021-11-26,GCBC,Gibson Donald E,"Pres, CEO",P - Purchase,$33.01,+200,95336,0%,"+$6,602",,,,,GCBC
1,,2021-02-18 17:37:03,2021-02-17,GCBC,Cahalan Jay P.,Dir,P - Purchase,$24.25,+610,14655,+4%,"+$14,793",,,,,GCBC
2,,2021-02-01 14:20:03,2021-01-29,GCBC,Hogan Peter W.,Dir,P - Purchase,$23.97,"+1,000",36000,+3%,"+$23,974",,,,,GCBC
3,,2021-02-01 12:08:07,2021-01-28,GCBC,Cahalan Jay P.,Dir,P - Purchase,$24.47,"+1,150",14045,+9%,"+$28,135",,,,,GCBC
4,,2020-09-21 15:32:56,2020-09-18,GCBC,Gibson Donald E,"Pres, CEO",P - Purchase,$22.28,"+1,000",94862,+1%,"+$22,280",,,,,GCBC
5,,2020-08-27 14:22:24,2020-08-25,GCBC,Cahalan Jay P.,Dir,P - Purchase,$22.70,"+1,038",12895,+9%,"+$23,563",,,,,GCBC
6,,2020-08-20 14:16:07,2020-08-19,GCBC,Cahalan Jay P.,Dir,P - Purchase,$22.00,"+1,447",11842,+14%,"+$31,834",,,,,GCBC
7,,2020-08-12 16:19:47,2020-08-11,GCBC,Gibson Donald E,"Pres, CEO",P - Purchase,$22.00,+500,93862,+1%,"+$10,999",,,,,GCBC
8,,2020-06-22 16:55:24,2020-06-22,GCBC,Gibson Donald E,"Pres, CEO",P - Purchase,$22.05,+362,93362,0%,"+$7,982",,,,,GCBC
9,,2020-06-12 17:22:18,2020-06-11,GCBC,Slutzky Paul,Dir,P - Purchase,$21.05,+500,94905,+1%,"+$10,525",,,,,GCBC
10,,2020-06-12 17:20:51,2020-06-11,GCBC,Gibson Donald E,"Pres, CEO",P - Purchase,$22.01,"+1,000",93000,+1%,"+$22,010",,,,,GCBC
