,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-08-12 18:00:41,2021-08-12,GEOS,Adams Robbin B.,EVP,S - Sale,$10.50,-2500,47661,-5%,"-$26,250",,,,,GEOS
1,,2020-12-11 09:48:16,2020-12-09,GEOS,Adams Robbin B.,EVP,S - Sale,$8.28,-3500,45161,-7%,"-$28,980",,,,,GEOS
2,,2020-05-15 14:13:00,2020-05-14,GEOS,Wheeler Walter R.,"Pres, CEO",P - Purchase,$5.92,"+5,000",117306,+4%,"+$29,600",,,,,GEOS
3,M,2020-05-14 16:27:46,2020-05-13,GEOS,Langtry Tina M,Dir,P - Purchase,$6.11,"+3,500",12475,+39%,"+$21,390",,,,,GEOS
4,,2020-05-14 10:03:21,2020-05-13,GEOS,Davis Thomas L,Dir,P - Purchase,$6.04,"+4,100",31054,+15%,"+$24,764",,,,,GEOS
5,,2020-05-13 10:04:32,2020-05-12,GEOS,Moody William H,Dir,P - Purchase,$6.29,"+2,000",19794,+11%,"+$12,580",,,,,GEOS
6,,2020-04-06 17:51:56,2020-04-06,GEOS,Miles Richard F,Dir,P - Purchase,$6.55,"+10,000",20600,+94%,"+$65,500",,,,,GEOS
7,M,2019-12-05 10:42:08,2019-12-03,GEOS,Adams Robbin B.,EVP,S - Sale,$14.40,-6000,39161,-13%,"-$86,425",,,,,GEOS
8,,2018-12-07 10:32:38,2018-12-06,GEOS,Adams Robbin B.,EVP,S - Sale,$15.00,-3800,32850,-10%,"-$57,015",,,,,GEOS
9,ADM,2018-09-11 11:42:57,2018-09-07,GEOS,Adams Robbin B.,EVP,S - Sale+OE,$13.20,-3500,28000,-11%,"-$46,186",,,,,GEOS
10,DM,2018-09-11 11:05:40,2018-09-07,GEOS,Adams Robbin B.,EVP,S - Sale+OE,$13.20,-3500,29000,-11%,"-$46,186",,,,,GEOS
