,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2021-11-22 17:57:22,2021-11-19,GSIT,Yau Robert,"VP, Engin., Sect., Dir",S - Sale,$5.96,-40000,1994878,-2%,"-$238,388",,,,,GSIT
1,D,2021-08-27 18:23:11,2021-08-26,GSIT,Wu Ping Tak,"VP, U.S. Operations",S - Sale+OE,$5.31,-30000,285210,-10%,"-$159,264",,,,,GSIT
2,D,2021-02-23 18:17:11,2021-02-22,GSIT,Shu Lee-Lean,"Pres, CEO, COB, 10%",S - Sale+OE,$8.00,-24793,2526956,-1%,"-$198,354",,,,,GSIT
3,D,2021-02-18 17:54:59,2021-02-16,GSIT,Shu Lee-Lean,"Pres, CEO, COB, 10%",S - Sale+OE,$8.01,-13017,2526956,-1%,"-$104,260",,,,,GSIT
4,D,2021-02-12 17:04:40,2021-02-11,GSIT,Yau Robert,"VP, Engin., Sect., Dir",S - Sale+OE,$8.00,-20000,1017439,-2%,"-$160,000",,,,,GSIT
5,,2020-08-10 18:09:43,2020-08-10,GSIT,Schirle Douglas,CFO,P - Purchase,$6.09,"+4,000",54625,+8%,"+$24,360",,,,,GSIT
6,D,2020-05-05 18:08:23,2020-05-04,GSIT,Yau Robert,"VP, Engin., Sect., Dir",S - Sale+OE,$7.02,-40000,1021439,-4%,"-$280,760",,,,,GSIT
7,DM,2020-04-06 18:35:04,2020-04-03,GSIT,Wu Bor-Tay,"VP, Taiwan Operations",S - Sale+OE,$8.10,-40000,1825000,-2%,"-$324,036",,,,,GSIT
8,DM,2020-02-07 18:37:07,2020-02-05,GSIT,Lasserre Didier,"VP, Sales",S - Sale+OE,$7.84,-11802,562667,-2%,"-$92,475",,,,,GSIT
9,M,2019-11-06 17:15:02,2019-11-05,GSIT,Yau Robert,"VP, Engin., Sect., Dir",S - Sale,$8.00,-8354,1021439,-1%,"-$66,832",,,,,GSIT
10,,2019-09-20 18:52:12,2019-09-19,GSIT,Yau Robert,"VP, Engin., Sect., Dir",S - Sale,$9.00,-4592,1029793,0%,"-$41,328",,,,,GSIT
