,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-06-10 16:10:16,2021-06-08,GTIM,Lefever Scott,VP of Operations,S - Sale+OE,$4.00,-19616,0,-100%,"-$78,464",,,,,GTIM
1,D,2021-06-04 16:10:36,2021-06-02,GTIM,Lefever Scott,VP of Operations,S - Sale+OE,$4.16,-7783,19616,-28%,"-$32,377",,,,,GTIM
2,D,2021-05-19 16:10:58,2021-05-17,GTIM,Lefever Scott,VP of Operations,S - Sale+OE,$4.10,-35346,60255,-37%,"-$145,068",,,,,GTIM
3,D,2021-05-12 16:10:23,2021-05-10,GTIM,Lefever Scott,VP of Operations,S - Sale+OE,$4.75,-24768,62745,-28%,"-$117,709",,,,,GTIM
4,D,2021-03-31 16:00:30,2021-03-29,GTIM,Jobson Charles E,Dir,P - Purchase,$4.00,"+6,189",2274228,0%,"+$24,756",,,,,GTIM
5,D,2021-03-29 16:00:25,2021-03-25,GTIM,Jobson Charles E,Dir,P - Purchase,$4.00,"+16,757",2268039,+1%,"+$67,028",,,,,GTIM
6,D,2021-03-26 16:00:19,2021-03-24,GTIM,Jobson Charles E,Dir,P - Purchase,$4.00,"+18,821",2251282,+1%,"+$75,284",,,,,GTIM
7,D,2021-03-25 16:04:17,2021-03-23,GTIM,Jobson Charles E,Dir,P - Purchase,$4.00,"+8,483",2232461,0%,"+$33,932",,,,,GTIM
8,D,2021-03-18 15:00:19,2021-03-16,GTIM,Jobson Charles E,Dir,P - Purchase,$4.00,+668,2223978,0%,"+$2,672",,,,,GTIM
9,D,2021-03-15 15:00:22,2021-03-05,GTIM,Jobson Charles E,Dir,P - Purchase,$4.00,"+37,850",2223310,+2%,"+$151,400",,,,,GTIM
10,D,2021-03-09 14:00:17,2021-03-05,GTIM,Jobson Charles E,Dir,P - Purchase,$3.33,"+11,551",2185460,+1%,"+$38,465",,,,,GTIM
11,D,2021-03-09 11:29:25,2021-03-05,GTIM,Stetson Robert J,Dir,P - Purchase,$3.40,"+1,500",574380,0%,"+$5,100",,,,,GTIM
12,D,2021-03-02 06:00:22,2021-02-26,GTIM,Stetson Robert J,Dir,P - Purchase,$3.40,"+2,200",572880,0%,"+$7,480",,,,,GTIM
13,D,2021-02-18 15:20:18,2021-02-16,GTIM,Jobson Charles E,Dir,P - Purchase,$3.33,"+20,949",2173909,+1%,"+$69,718",,,,,GTIM
14,D,2021-02-11 11:00:19,2021-02-09,GTIM,Lefever Scott,VP of Operations,S - Sale+OE,$3.65,-7984,52167,-13%,"-$29,142",,,,,GTIM
15,D,2021-02-11 11:00:16,2021-02-09,GTIM,Jobson Charles E,Dir,P - Purchase,$3.49,"+5,498",2152960,0%,"+$19,188",,,,,GTIM
16,D,2021-01-06 10:43:16,2020-12-21,GTIM,Stetson Robert J,Dir,P - Purchase,$2.10,"+3,300",570743,+1%,"+$6,930",,,,,GTIM
17,DM,2020-12-30 09:22:04,2020-12-28,GTIM,Zink Ryan M,CEO,P - Purchase,$2.89,"+19,888",109507,+22%,"+$57,495",,,,,GTIM
18,D,2020-12-23 17:23:57,2020-12-21,GTIM,Stetson Robert J,Dir,P - Purchase,$2.10,"+3,300",809158,0%,"+$6,930",,,,,GTIM
19,DM,2020-12-23 17:23:38,2020-12-21,GTIM,Zink Ryan M,CEO,P - Purchase,$2.18,"+12,258",89619,+16%,"+$26,722",,,,,GTIM
20,D,2020-12-22 16:18:58,2020-12-18,GTIM,Knutson Susan M,"Controller, Corp Secretary",S - Sale+OE,$2.28,-26237,0,-100%,"-$59,861",,,,,GTIM
21,D,2020-12-21 18:45:11,2020-12-17,GTIM,Jobson Charles E,Dir,P - Purchase,$2.25,"+42,514",2144225,+2%,"+$95,657",,,,,GTIM
22,D,2020-10-01 16:04:45,2020-09-29,GTIM,Stetson Robert J,Dir,P - Purchase,$1.43,"+3,300",804945,0%,"+$4,719",,,,,GTIM
23,D,2020-09-18 18:14:40,2020-09-16,GTIM,Stetson Robert J,Dir,P - Purchase,$1.45,"+3,300",801645,0%,"+$4,785",,,,,GTIM
24,D,2020-09-03 16:43:06,2020-09-01,GTIM,Stetson Robert J,Dir,P - Purchase,$1.52,"+3,300",797445,0%,"+$5,000",,,,,GTIM
25,DM,2020-09-02 16:57:26,2020-08-31,GTIM,Jobson Charles E,Dir,P - Purchase,$1.50,"+35,689",2100798,+2%,"+$53,540",,,,,GTIM
26,D,2020-08-27 17:56:07,2020-08-25,GTIM,Stetson Robert J,Dir,P - Purchase,$1.57,"+3,300",794145,0%,"+$5,183",,,,,GTIM
27,DM,2020-08-25 16:10:17,2020-08-21,GTIM,Stetson Robert J,Dir,P - Purchase,$1.67,"+7,682",790845,+1%,"+$12,796",,,,,GTIM
28,DM,2020-08-20 17:36:55,2020-08-18,GTIM,Stetson Robert J,Dir,P - Purchase,$1.69,"+17,901",783163,+2%,"+$30,289",,,,,GTIM
29,D,2020-06-29 18:01:27,2020-06-25,GTIM,Stetson Robert J,Dir,P - Purchase,$1.21,"+4,400",757359,+1%,"+$5,324",,,,,GTIM
30,DM,2020-06-29 18:01:09,2020-06-25,GTIM,Jobson Charles E,Dir,P - Purchase,$1.19,"+21,481",2065109,+1%,"+$25,669",,,,,GTIM
31,DM,2020-06-25 13:35:33,2020-06-23,GTIM,Jobson Charles E,Dir,P - Purchase,$1.11,"+20,392",2043628,+1%,"+$22,635",,,,,GTIM
32,D,2020-06-15 11:36:06,2020-06-11,GTIM,Stetson Robert J,Dir,P - Purchase,$1.06,"+8,800",625671,+1%,"+$9,328",,,,,GTIM
33,DM,2020-06-08 13:30:57,2020-06-04,GTIM,Stetson Robert J,Dir,P - Purchase,$1.23,"+20,788",616871,+3%,"+$25,633",,,,,GTIM
34,DM,2020-05-21 15:27:54,2020-05-19,GTIM,Stetson Robert J,Dir,P - Purchase,$1.14,"+28,815",596083,+5%,"+$32,803",,,,,GTIM
35,,2020-03-30 15:22:02,2020-03-27,GTIM,Maceda Jason,Dir,P - Purchase,$0.57,"+9,000",36413,+33%,"+$5,130",,,,,GTIM
36,,2020-03-13 18:29:21,2020-03-12,GTIM,Zink Ryan M,"Acting CEO, CFO, Treasurer",P - Purchase,$0.88,+330,55676,+1%,+$290,,,,,GTIM
37,,2020-03-02 14:33:09,2020-02-28,GTIM,Zink Ryan M,"Acting CEO, CFO, Treasurer",P - Purchase,$1.41,"+6,000",60346,+11%,"+$8,472",,,,,GTIM
38,M,2020-02-27 11:06:03,2020-02-25,GTIM,Maceda Jason,Dir,P - Purchase,$1.53,"+7,500",27413,+38%,"+$11,483",,,,,GTIM
39,D,2020-01-02 11:35:26,2019-12-27,GTIM,Bailey Geoffrey R,Dir,P - Purchase,$1.57,"+20,000",35334,+130%,"+$31,352",,,,,GTIM
40,D,2019-12-26 13:01:58,2019-12-23,GTIM,Zink Ryan M,"Acting CEO, CFO, Treasurer",P - Purchase,$1.50,"+5,000",54346,+10%,"+$7,500",,,,,GTIM
41,D,2019-12-26 13:01:37,2019-12-23,GTIM,Maceda Jason,Dir,P - Purchase,$1.49,"+7,000",12913,+118%,"+$10,430",,,,,GTIM
42,DM,2019-12-23 16:40:04,2019-12-20,GTIM,Stetson Robert J,Dir,P - Purchase,$1.52,"+29,700",567268,+6%,"+$45,136",,,,,GTIM
43,DM,2019-12-20 12:42:53,2019-12-18,GTIM,Stetson Robert J,Dir,P - Purchase,$1.51,"+28,251",537568,+6%,"+$42,649",,,,,GTIM
44,,2018-08-22 17:00:15,2018-08-20,GTIM,Knutson Susan M,Controller,S - Sale,$4.61,-1200,14847,-7%,"-$5,531",,,,,GTIM
45,DM,2018-05-17 18:30:43,2018-05-16,GTIM,Hoback Boyd E,"Pres, CEO",P - Purchase,$3.19,"+3,610",94537,+4%,"+$11,503",,,,,GTIM
46,D,2018-03-15 17:45:55,2018-03-14,GTIM,Zink Ryan M,CFO,P - Purchase,$2.70,"+10,000",25000,+67%,"+$27,000",,,,,GTIM
47,DM,2018-02-26 15:51:20,2018-02-21,GTIM,Stetson Robert J,See Remarks,P - Purchase,$2.59,+601,616711,0%,"+$1,557",,,,,GTIM
48,DM,2018-02-20 18:21:41,2018-02-13,GTIM,Stetson Robert J,See Remarks,P - Purchase,$2.60,"+26,014",616110,+4%,"+$67,575",,,,,GTIM
49,DM,2018-02-13 16:49:01,2018-02-08,GTIM,Stetson Robert J,See Remarks,P - Purchase,$2.34,"+2,102",590096,0%,"+$4,926",,,,,GTIM
50,DM,2018-02-08 18:11:05,2018-02-05,GTIM,Stetson Robert J,See Remarks,P - Purchase,$2.37,"+8,600",587994,+1%,"+$20,345",,,,,GTIM
51,DM,2018-02-08 18:10:03,2017-12-12,GTIM,Stetson Robert J,Dir,P - Purchase,$2.35,"+11,500",579394,+2%,"+$27,021",,,,,GTIM
52,D,2018-02-08 18:09:15,2017-09-14,GTIM,Stetson Robert J,Dir,P - Purchase,$2.70,"+3,500",464000,+1%,"+$9,450",,,,,GTIM
