,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,A,2021-05-06 09:29:06,2021-04-26,HMNF,Krehbiel Bradley,"CEO, Pres",P - Purchase,$20.26,+415,132884,0%,"+$8,409",,,,,HMNF
1,,2021-03-19 12:32:27,2021-03-18,HMNF,Eberle Jon J,"SVP, CFO, Treasurer",S - Sale,$20.42,-27181,59277,-31%,"-$555,036",,,,,HMNF
2,M,2021-03-18 11:08:33,2021-03-16,HMNF,Eberle Jon J,"SVP, CFO, Treasurer",S - Sale,$20.27,-9044,86458,-9%,"-$183,323",,,,,HMNF
3,M,2021-03-16 13:39:35,2021-03-12,HMNF,Eberle Jon J,"SVP, CFO, Treasurer",S - Sale,$20.29,-2613,95502,-3%,"-$53,015",,,,,HMNF
4,,2021-03-15 18:53:42,2021-03-11,HMNF,Eberle Jon J,"SVP, CFO, Treasurer",S - Sale,$20.28,-1162,98114,-1%,"-$23,565",,,,,HMNF
5,D,2020-11-12 10:12:32,2020-11-09,HMNF,Krehbiel Bradley,"CEO, Pres",P - Purchase,$15.10,+975,142010,+1%,"+$14,719",,,,,HMNF
6,,2020-05-22 09:55:11,2020-05-21,HMNF,Shannon Wendy S,Dir,P - Purchase,$14.50,+791,5338,+17%,"+$11,470",,,,,HMNF
7,D,2020-05-19 16:39:51,2020-05-14,HMNF,Krehbiel Bradley,"CEO, Pres",P - Purchase,$14.00,"+3,600",141035,+3%,"+$50,398",,,,,HMNF
8,,2020-05-11 13:49:15,2020-05-08,HMNF,Utz Mark E,Dir,P - Purchase,$15.15,+518,4574,+13%,"+$7,848",,,,,HMNF
9,,2020-05-11 13:45:55,2020-05-07,HMNF,Smith Hugh C,COB,P - Purchase,$15.40,"+1,000",25591,+4%,"+$15,400",,,,,HMNF
10,,2020-03-23 16:48:03,2020-03-18,HMNF,Smith Hugh C,COB,P - Purchase,$17.94,"+1,000",24333,+4%,"+$17,940",,,,,HMNF
11,D,2020-03-17 10:18:11,2020-03-13,HMNF,Krehbiel Bradley,"CEO, Pres",P - Purchase,$18.39,+470,137435,0%,"+$8,643",,,,,HMNF
12,,2018-09-07 11:47:29,2018-09-06,HMNF,Shannon Wendy S,Dir,P - Purchase,$20.70,+200,3842,+5%,"+$4,140",,,,,HMNF
