,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-02-25 17:08:01,2021-02-23,HURC,Polar Asset Management Partners Inc.,10%,S - Sale,$32.11,-1731,659968,0%,"-$55,582",,,,,HURC
1,M,2020-09-21 18:12:37,2020-09-17,HURC,Porter Richard R.,Dir,S - Sale,$29.44,-3233,6195,-34%,"-$95,189",,,,,HURC
2,,2018-11-29 16:24:46,2018-11-27,HURC,Sivanesan Janaki,Dir,P - Purchase,$38.41,34,17066,0%,"+$1,306",,,,,HURC
3,D,2018-10-12 15:25:12,2018-10-10,HURC,Doar Michael,"COB, CEO",S - Sale+OE,$44.36,-890,95283,-1%,"-$39,483",,,,,HURC
4,DM,2018-10-10 11:12:54,2018-10-08,HURC,Doar Michael,"COB, CEO",S - Sale+OE,$44.61,-5372,95283,-5%,"-$239,656",,,,,HURC
5,M,2018-04-16 16:45:02,2018-04-12,HURC,Niner Andrew Sheeley,Dir,S - Sale,$45.86,-1500,170731,-1%,"-$68,789",,,,,HURC
6,M,2018-04-12 15:56:00,2018-04-10,HURC,Niner Andrew Sheeley,Dir,S - Sale,$46.98,-1194,172231,-1%,"-$56,092",,,,,HURC
7,M,2018-04-02 15:59:02,2018-03-26,HURC,Niner Andrew Sheeley,Dir,S - Sale,$45.38,-9071,173425,-5%,"-$411,616",,,,,HURC
8,,2018-01-30 12:04:30,2018-01-26,HURC,Strackbein Ronald G.,Dir,S - Sale,$47.42,-6000,3893,-61%,"-$284,516",,,,,HURC
9,,2018-01-19 13:22:39,2018-01-18,HURC,Doar Michael,"COB, CEO",S - Sale,$48.06,-4100,95283,-4%,"-$197,028",,,,,HURC
10,D,2018-01-19 13:22:02,2018-01-17,HURC,Volovic Gregory S,Pres,S - Sale+OE,$47.18,-5103,36139,-12%,"-$240,767",,,,,HURC
11,D,2018-01-18 12:59:05,2018-01-17,HURC,Doar Michael,"COB, CEO",S - Sale+OE,$47.48,-13900,99383,-12%,"-$659,996",,,,,HURC
12,DM,2018-01-17 13:50:24,2018-01-12,HURC,Volovic Gregory S,Pres,S - Sale+OE,$48.04,-8115,36139,-18%,"-$389,869",,,,,HURC
13,DM,2018-01-17 13:47:21,2018-01-12,HURC,McClelland Sonja K,CFO,S - Sale+OE,$48.01,-5000,22699,-18%,"-$240,047",,,,,HURC
