,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-18 15:12:10,2021-11-18,HYRE,Allan Brian,Pres,P - Purchase,$5.80,"+5,000",112000,+5%,"+$29,000",,,,,HYRE
1,,2021-08-12 19:33:14,2021-08-09,HYRE,Vijayan Jayaprakash,Dir,S - Sale,$19.00,-20000,17500,-53%,"-$380,000",,,,,HYRE
2,AEM,2021-07-23 20:41:06,2021-07-21,HYRE,Furnari Michael,Chief Business-Dev. Officer,S - Sale,$17.30,-299900,369907,-45%,"-$5,189,053",,,,,HYRE
3,AEM,2021-07-23 20:38:42,2021-07-21,HYRE,Furnari Joseph,CEO,S - Sale,$17.37,-300000,393207,-43%,"-$5,210,222",,,,,HYRE
4,EM,2021-07-23 18:12:10,2021-07-21,HYRE,Furnari Michael,Chief Business-Dev. Officer,S - Sale,$17.30,-299900,369907,-45%,"-$5,189,053",,,,,HYRE
5,EM,2021-07-23 18:11:25,2021-07-21,HYRE,Furnari Joseph,CEO,S - Sale,$17.37,-300000,393207,-43%,"-$5,210,222",,,,,HYRE
6,,2021-06-04 17:01:06,2021-06-03,HYRE,Mellis Grace,Dir,S - Sale,$17.61,-17652,236000,-7%,"-$310,891",,,,,HYRE
7,,2021-05-26 16:01:31,2021-05-24,HYRE,Mellis Grace,Dir,S - Sale,$17.42,-32348,253652,-11%,"-$563,509",,,,,HYRE
8,M,2021-05-24 16:01:49,2021-05-20,HYRE,Brogi Robert Scott,CFO,S - Sale,$17.17,-72329,130400,-36%,"-$1,241,877",,,,,HYRE
9,M,2021-05-21 16:33:56,2021-05-19,HYRE,Park Henry,COO,S - Sale,$16.53,-35000,167365,-17%,"-$578,447",,,,,HYRE
10,,2021-05-20 16:02:34,2021-05-18,HYRE,Root Michael,Dir,S - Sale,$14.20,-10000,27500,-27%,"-$141,980",,,,,HYRE
11,,2020-09-30 16:01:10,2020-09-28,HYRE,Brogi Robert Scott,CFO,P - Purchase,$3.20,"+3,750",162365,+2%,"+$12,000",,,,,HYRE
12,,2019-12-06 08:00:33,2019-12-05,HYRE,Furnari Joseph,CEO,P - Purchase,$1.97,"+4,000",563207,+1%,"+$7,880",,,,,HYRE
13,,2019-11-22 16:22:47,2019-11-22,HYRE,Furnari Michael,Chief Bus. Devel. Ofcr.,P - Purchase,$2.54,"+1,600",590807,0%,"+$4,064",,,,,HYRE
14,,2019-11-22 07:11:23,2019-11-20,HYRE,Furnari Joseph,CEO,P - Purchase,$2.20,"+5,000",559207,+1%,"+$11,000",,,,,HYRE
15,,2019-05-29 16:05:14,2019-05-29,HYRE,Brogi Robert Scott,CFO,P - Purchase,$4.00,"+22,365",27365,+447%,"+$89,460",,,,,HYRE
16,,2019-05-15 16:18:46,2019-05-14,HYRE,Brogi Robert Scott,CFO,P - Purchase,$4.65,"+5,000",5000,New,"+$23,241",,,,,HYRE
17,,2018-12-28 17:23:36,2018-12-26,HYRE,Bansal Anshu,"Dir, 10%",S - Sale,$1.50,-400000,640643,-38%,"-$600,000",,,,,HYRE
18,,2018-09-20 17:01:10,2018-09-14,HYRE,Furnari Michael,CHIEF BUSINESS DEVEL. OFFICER,P - Purchase,$2.95,"+5,000",589207,+1%,"+$14,749",,,,,HYRE
19,,2018-09-12 16:35:39,2018-09-10,HYRE,Furnari Joseph,CEO,P - Purchase,$2.89,"+5,000",594207,+1%,"+$14,440",,,,,HYRE
20,,2018-08-31 16:53:05,2018-08-29,HYRE,Furnari Joseph,CEO,P - Purchase,$3.27,"+5,000",589207,+1%,"+$16,325",,,,,HYRE
