,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-07-14 16:05:06,2021-07-12,IIN,Geraci Michael,"VP Sales, Marketing",S - Sale,$21.64,-5345,35417,-13%,"-$115,691",,,,,IIN
1,,2021-06-24 17:06:16,2021-06-22,IIN,Geraci Michael,"VP Sales, Marketing",S - Sale,$20.42,-6890,40513,-15%,"-$140,697",,,,,IIN
2,,2021-04-02 15:29:11,2021-04-01,IIN,Gonsior Dennis,"VP, Operations",S - Sale,$24.47,-22852,45909,-33%,"-$559,190",,,,,IIN
3,,2021-01-13 12:20:43,2021-01-12,IIN,Geraci Michael,"VP Sales, Marketing",S - Sale,$17.49,-8600,33248,-21%,"-$150,381",,,,,IIN
4,,2020-12-15 14:13:38,2020-12-14,IIN,Geraci Michael,"VP Sales, Marketing",S - Sale,$16.83,-7500,43385,-15%,"-$126,254",,,,,IIN
5,D,2019-04-04 13:37:42,2019-04-02,IIN,Gruenhagen Greg,"VP, Corp. Qlty., Reg. Affairs",S - Sale+OE,$26.87,-4500,2237,-67%,"-$120,906",,,,,IIN
6,D,2019-03-05 09:40:17,2019-03-04,IIN,Gruenhagen Greg,"VP, Corp. Qlty., Reg. Affairs",S - Sale+OE,$25.33,-1500,2237,-40%,"-$38,001",,,,,IIN
7,D,2019-02-05 13:24:02,2019-02-04,IIN,Gruenhagen Greg,"VP, Corp. Qlty., Reg. Affairs",S - Sale+OE,$26.21,-1500,2237,-40%,"-$39,321",,,,,IIN
8,D,2019-01-04 12:10:17,2019-01-03,IIN,Gruenhagen Greg,"VP, Corp. Qlty., Reg. Affairs",S - Sale+OE,$25.37,-1500,635,-70%,"-$38,050",,,,,IIN
9,D,2018-09-05 15:01:16,2018-08-31,IIN,Smith Philip Irving,Dir,S - Sale+OE,$74.18,-10000,0,-100%,"-$741,782",,,,,IIN
