,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2020-12-09 16:22:38,2020-12-08,KINS,Yankus William L,Dir,P - Purchase,$6.07,"+2,500",23791,+12%,"+$15,172",,,,,KINS
1,,2020-12-08 17:26:15,2020-12-07,KINS,McFadden Timothy P,Dir,P - Purchase,$6.11,"+1,500",21586,+7%,"+$9,165",,,,,KINS
2,,2020-11-27 17:49:58,2020-11-24,KINS,Yankus William L,Dir,P - Purchase,$6.66,"+2,500",21291,+13%,"+$16,650",,,,,KINS
3,,2020-09-25 16:13:13,2020-09-25,KINS,McFadden Timothy P,Dir,P - Purchase,$5.91,"+5,000",20086,+33%,"+$29,550",,,,,KINS
4,,2020-09-15 18:25:32,2020-09-11,KINS,Swartz Richard Jason,Chief Accounting Officer,P - Purchase,$5.91,+500,2914,+21%,"+$2,955",,,,,KINS
5,,2020-08-13 16:22:58,2020-08-13,KINS,McFadden Timothy P,Dir,P - Purchase,$5.65,"+2,000",15086,+15%,"+$11,300",,,,,KINS
6,,2020-03-18 15:25:58,2020-03-18,KINS,Tupper Floyd R,Dir,P - Purchase,$4.68,+330,73422,0%,"+$1,544",,,,,KINS
7,,2019-12-31 11:38:32,2019-12-30,KINS,Tupper Floyd R,Dir,P - Purchase,$7.50,+705,68054,+1%,"+$5,286",,,,,KINS
8,,2019-12-18 17:23:22,2019-12-18,KINS,Goldstein Barry,"Pres, COB, CEO",P - Purchase,$7.02,"+5,258",712058,+1%,"+$36,911",,,,,KINS
9,,2019-12-17 16:29:04,2019-12-13,KINS,McFadden Timothy P,Dir,P - Purchase,$7.62,"+1,000",8048,+14%,"+$7,620",,,,,KINS
10,A,2019-12-17 16:27:23,2019-08-13,KINS,McFadden Timothy P,Dir,P - Purchase,$8.00,"+1,000",7048,+17%,"+$8,000",,,,,KINS
11,A,2019-12-17 16:25:31,2019-05-13,KINS,McFadden Timothy P,Dir,P - Purchase,$9.03,"+1,000",6048,+20%,"+$9,030",,,,,KINS
12,,2019-11-20 16:38:34,2019-11-19,KINS,Goldstein Barry,"Pres, COB, CEO",P - Purchase,$7.91,"+3,000",706800,0%,"+$23,730",,,,,KINS
13,M,2019-11-15 16:46:16,2019-11-14,KINS,Goldstein Barry,"Pres, COB, CEO",P - Purchase,$7.84,"+4,756",703800,+1%,"+$37,299",,,,,KINS
14,,2019-08-22 17:15:11,2019-08-22,KINS,Goldstein Barry,"Pres, COB, CEO",P - Purchase,$8.16,"+5,950",699044,+1%,"+$48,532",,,,,KINS
15,M,2019-08-19 17:13:14,2019-08-16,KINS,Goldstein Barry,"Pres, COB, CEO",P - Purchase,$8.22,"+4,500",693094,+1%,"+$36,985",,,,,KINS
16,,2019-08-15 17:37:31,2019-08-15,KINS,Goldstein Barry,"Pres, COB, CEO",P - Purchase,$7.72,"+1,500",688594,0%,"+$11,580",,,,,KINS
17,,2019-08-14 12:19:36,2019-08-13,KINS,McFadden Timothy P,Dir,P - Purchase,$8.00,"+1,000",6048,+20%,"+$8,000",,,,,KINS
18,,2019-06-27 16:53:55,2019-06-25,KINS,Haft Jay M,Dir,P - Purchase,$8.50,"+2,000",98676,+2%,"+$17,000",,,,,KINS
19,,2019-06-11 10:54:04,2019-06-07,KINS,Tupper Floyd R,Dir,P - Purchase,$8.18,"+2,000",67349,+3%,"+$16,350",,,,,KINS
20,,2019-05-22 15:43:57,2019-05-20,KINS,Haft Jay M,Dir,P - Purchase,$9.00,"+2,000",96676,+2%,"+$18,000",,,,,KINS
21,,2019-05-15 10:30:58,2019-05-13,KINS,D'Andre Carla,Dir,P - Purchase,$8.95,"+2,000",10000,+25%,"+$17,900",,,,,KINS
22,,2019-05-15 10:20:53,2019-05-13,KINS,Thatcher Dale A,"Pres, CEO",P - Purchase,$9.00,"+25,000",101803,+33%,"+$225,000",,,,,KINS
23,,2019-05-15 10:00:47,2019-05-13,KINS,Tupper Floyd R,Dir,P - Purchase,$9.05,"+2,000",65349,+3%,"+$18,100",,,,,KINS
24,,2019-05-14 17:03:30,2019-05-13,KINS,Yankus William L,Dir,P - Purchase,$9.03,"+2,000",13753,+17%,"+$18,068",,,,,KINS
25,,2019-05-14 16:01:23,2019-05-13,KINS,McFadden Timothy P,Dir,P - Purchase,$9.03,"+1,000",5048,+25%,"+$9,030",,,,,KINS
26,,2019-01-25 16:53:35,2019-01-25,KINS,Goldstein Barry,COB,S - Sale,$16.33,-28030,687094,-4%,"-$457,618",,,,,KINS
27,,2019-01-23 17:04:34,2019-01-18,KINS,Goldstein Barry,COB,S - Sale,$16.00,-24,715124,0%,-$384,,,,,KINS
28,M,2019-01-18 16:13:32,2019-01-16,KINS,Goldstein Barry,COB,S - Sale,$16.01,-1771,715148,0%,"-$28,350",,,,,KINS
29,M,2019-01-16 16:31:48,2019-01-14,KINS,Goldstein Barry,COB,S - Sale,$16.17,-6061,716919,-1%,"-$98,022",,,,,KINS
30,M,2019-01-14 16:07:05,2019-01-10,KINS,Goldstein Barry,COB,S - Sale,$16.66,-8717,722980,-1%,"-$145,229",,,,,KINS
31,M,2019-01-10 16:03:17,2019-01-08,KINS,Goldstein Barry,COB,S - Sale,$17.17,-10620,731697,-1%,"-$182,300",,,,,KINS
32,M,2019-01-08 16:02:18,2019-01-04,KINS,Goldstein Barry,COB,S - Sale,$17.31,-11211,742317,-1%,"-$194,098",,,,,KINS
33,M,2019-01-04 16:03:39,2019-01-02,KINS,Goldstein Barry,COB,S - Sale,$17.66,-12852,753528,-2%,"-$226,916",,,,,KINS
34,,2018-12-04 10:59:18,2018-11-30,KINS,Yankus William L,Dir,P - Purchase,$16.07,"+2,000",9500,+27%,"+$32,140",,,,,KINS
35,,2018-11-14 14:21:23,2018-11-13,KINS,McFadden Timothy P,Dir,P - Purchase,$16.96,"+1,000",2795,+56%,"+$16,960",,,,,KINS
36,,2018-08-23 16:17:07,2018-08-13,KINS,McFadden Timothy P,Dir,P - Purchase,$16.89,"+1,000",1795,+126%,"+$16,890",,,,,KINS
37,M,2018-08-22 16:19:55,2018-08-20,KINS,D'Andre Carla,Dir,P - Purchase,$16.83,"+3,000",12650,+31%,"+$50,500",,,,,KINS
38,,2018-08-20 16:44:33,2018-08-16,KINS,D'Andre Carla,Dir,P - Purchase,$16.67,"+2,000",9650,+26%,"+$33,344",,,,,KINS
39,,2018-03-22 15:32:33,2018-03-21,KINS,Yankus William L,Dir,P - Purchase,$16.90,"+2,000",7500,+36%,"+$33,790",,,,,KINS
40,,2018-03-20 17:41:05,2018-03-20,KINS,D'Andre Carla,Dir,P - Purchase,$15.43,"+4,400",7650,+135%,"+$67,892",,,,,KINS
41,D,2018-03-20 16:37:05,2018-03-20,KINS,Goldstein Barry,"Pres, COB, CEO, 10%",P - Purchase,$15.28,"+4,000",707698,+1%,"+$61,113",,,,,KINS
42,,2018-03-20 16:24:29,2018-03-20,KINS,Tupper Floyd R,Dir,P - Purchase,$15.39,"+4,485",61096,+8%,"+$69,019",,,,,KINS
43,,2018-03-20 15:44:25,2018-03-20,KINS,Thatcher Dale A,COO,P - Purchase,$15.00,"+25,000",63510,+65%,"+$375,000",,,,,KINS
44,,2018-03-20 15:31:14,2018-03-19,KINS,Tupper Floyd R,Dir,P - Purchase,$17.39,"+1,000",56611,+2%,"+$17,386",,,,,KINS
