,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,DM,2021-12-06 16:01:26,2021-12-02,LINC,"Juniper Investment Company, LLC",10%,P - Purchase,$7.21,"+122,563",894259,+16%,"+$884,020",,,,,LINC
1,,2021-12-03 16:31:46,2021-12-02,LINC,Burke James J Jr,Dir,S - Sale,$7.23,-15000,165446,-8%,"-$108,450",,,,,LINC
2,DM,2021-12-02 16:01:10,2021-11-30,LINC,"Juniper Investment Company, LLC",10%,P - Purchase,$7.14,"+128,527",771696,+20%,"+$917,367",,,,,LINC
3,D,2021-11-30 16:01:20,2021-11-26,LINC,"Juniper Investment Company, LLC",10%,P - Purchase,$6.90,"+65,895",643169,+11%,"+$454,676",,,,,LINC
4,,2021-11-22 17:01:31,2021-11-18,LINC,Burke James J Jr,Dir,S - Sale,$7.35,-5500,180446,-3%,"-$40,425",,,,,LINC
5,,2021-11-17 17:00:56,2021-11-15,LINC,Harbour Ronald Edward,Dir,S - Sale,$7.34,-30000,44555,-40%,"-$220,200",,,,,LINC
6,,2021-11-15 17:01:31,2021-11-12,LINC,Burke James J Jr,Dir,S - Sale,$7.30,-2272,180446,-1%,"-$16,585",,,,,LINC
7,M,2021-11-12 18:35:33,2021-11-10,LINC,Burke James J Jr,Dir,S - Sale,$7.21,-54871,182718,-23%,"-$395,503",,,,,LINC
8,D,2021-11-12 09:00:59,2021-11-10,LINC,"Juniper Investment Company, LLC",10%,P - Purchase,$7.29,"+14,000",577274,+2%,"+$102,060",,,,,LINC
9,DM,2020-09-16 16:03:23,2020-09-14,LINC,"Juniper Investment Company, LLC",10%,S - Sale+OE,$6.92,-51574,563274,-8%,"-$356,812",,,,,LINC
10,M,2020-09-16 14:39:22,2020-09-14,LINC,Morrow J Barry,Dir,S - Sale,$6.88,-20000,211880,-9%,"-$137,522",,,,,LINC
11,DM,2020-09-11 21:51:16,2020-09-09,LINC,"Juniper Investment Company, LLC",10%,S - Sale+OE,$6.92,-62602,614848,-9%,"-$432,943",,,,,LINC
12,,2020-05-15 13:17:59,2020-05-15,LINC,Shaw Scott M,CEO,P - Purchase,$2.80,"+2,000",806230,0%,"+$5,599",,,,,LINC
13,,2020-04-16 15:06:26,2020-04-15,LINC,Shaw Scott M,CEO,P - Purchase,$2.60,"+2,000",804230,0%,"+$5,200",,,,,LINC
14,,2020-03-16 15:58:58,2020-03-16,LINC,Shaw Scott M,CEO,P - Purchase,$2.10,"+2,000",802230,0%,"+$4,204",,,,,LINC
15,,2020-02-19 15:31:34,2020-02-18,LINC,Shaw Scott M,CEO,P - Purchase,$2.49,"+2,000",610418,0%,"+$4,986",,,,,LINC
16,,2020-01-16 10:10:27,2020-01-15,LINC,Shaw Scott M,CEO,P - Purchase,$2.29,"+2,000",608418,0%,"+$4,584",,,,,LINC
17,,2019-12-18 11:55:23,2019-12-16,LINC,Shaw Scott M,CEO,P - Purchase,$2.37,"+2,000",606418,0%,"+$4,740",,,,,LINC
18,,2019-12-16 13:09:53,2019-12-13,LINC,Buchenot Stephen M,SVP of Campus Operations,P - Purchase,$2.21,"+5,000",89214,+6%,"+$11,050",,,,,LINC
19,DM,2019-12-13 17:55:24,2019-12-11,LINC,"Juniper Investment Company, LLC",10%,P - Purchase,$2.20,"+89,168",701895,+15%,"+$196,237",,,,,LINC
20,DM,2019-12-10 19:12:37,2019-12-06,LINC,"Juniper Investment Company, LLC",10%,P - Purchase,$2.19,"+143,921",612727,+31%,"+$315,734",,,,,LINC
21,,2019-12-09 14:15:14,2019-12-06,LINC,Currin Celia,Dir,P - Purchase,$1.66,"+5,950",145482,+4%,"+$9,877",,,,,LINC
22,,2019-12-09 14:14:14,2019-12-06,LINC,Morrow J Barry,Dir,P - Purchase,$1.90,"+2,000",209838,+1%,"+$3,800",,,,,LINC
23,,2019-12-03 14:45:36,2019-12-02,LINC,Burgess Peter S,Dir,P - Purchase,$1.75,"+5,108",146084,+4%,"+$8,939",,,,,LINC
