,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-13 17:20:24,2021-12-10,LWAY,Smolyansky Ludmila,"Dir, 10%",S - Sale,$5.21,-10000,3341303,0%,"-$52,084",,,,,LWAY
1,A,2021-12-13 07:54:39,2021-11-19,LWAY,Smolyansky Ludmila,"Dir, 10%",S - Sale,$5.42,-4000,3348960,0%,"-$21,680",,,,,LWAY
2,,2021-12-13 07:53:38,2021-12-09,LWAY,Smolyansky Ludmila,"Dir, 10%",S - Sale,$5.26,-10000,3351303,0%,"-$52,550",,,,,LWAY
3,,2021-12-02 16:39:42,2021-11-30,LWAY,Smolyansky Ludmila,"Dir, 10%",S - Sale,$5.21,-15000,3361303,0%,"-$78,077",,,,,LWAY
4,M,2021-11-22 13:29:25,2021-11-18,LWAY,Smolyansky Ludmila,"Dir, 10%",S - Sale,$220.09,-10000,3376303,0%,"-$2,200,867",,,,,LWAY
5,,2021-09-21 13:19:40,2021-09-20,LWAY,Smolyansky Ludmila,"Dir, 10%",S - Sale,$5.72,-4000,3386303,0%,"-$22,882",,,,,LWAY
6,,2021-09-10 16:06:40,2021-09-10,LWAY,Smolyansky Julie,"Pres, CEO, 10%",P - Purchase,$5.20,"+2,000",2538060,0%,"+$10,400",,,,,LWAY
7,,2021-08-30 15:49:57,2021-08-27,LWAY,Smolyansky Ludmila,"Dir, 10%",S - Sale,$5.39,-12838,3390303,0%,"-$69,257",,,,,LWAY
8,,2021-08-27 16:19:14,2021-08-26,LWAY,Smolyansky Ludmila,"Dir, 10%",S - Sale,$5.37,-5000,3403141,0%,"-$26,869",,,,,LWAY
9,,2021-08-26 13:00:23,2021-08-25,LWAY,Smolyansky Ludmila,"Dir, 10%",S - Sale,$5.42,-10000,3408141,0%,"-$54,200",,,,,LWAY
10,M,2021-08-25 12:49:52,2021-08-23,LWAY,Smolyansky Ludmila,"Dir, 10%",S - Sale,$5.37,-13500,3418141,0%,"-$72,531",,,,,LWAY
11,M,2021-07-01 19:24:39,2021-06-28,LWAY,Smolyansky Ludmila,"Dir, 10%",S - Sale,$5.31,-15000,3431641,0%,"-$79,632",,,,,LWAY
12,M,2021-06-11 17:49:13,2021-06-02,LWAY,Smolyansky Ludmila,"Dir, 10%",S - Sale,$5.49,-23000,3446641,-1%,"-$126,220",,,,,LWAY
13,M,2021-06-10 13:46:59,2021-06-08,LWAY,Smolyansky Edward,"COO, 10%",S - Sale,$5.57,-10000,2505112,0%,"-$55,700",,,,,LWAY
14,,2021-05-28 07:46:42,2021-05-26,LWAY,Smolyansky Edward,"COO, 10%",S - Sale,$5.61,-2500,2015112,0%,"-$14,025",,,,,LWAY
15,M,2021-05-26 10:41:10,2021-05-21,LWAY,Smolyansky Edward,"COO, 10%",S - Sale,$5.44,-10000,2017612,0%,"-$54,420",,,,,LWAY
16,,2021-01-04 15:36:33,2020-12-31,LWAY,Smolyansky Edward,"COO, 10%",S - Sale,$5.57,-10000,1996053,0%,"-$55,705",,,,,LWAY
17,,2020-12-22 15:21:31,2020-12-18,LWAY,Smolyansky Edward,"COO, 10%",S - Sale,$6.28,-5000,2006053,0%,"-$31,424",,,,,LWAY
18,M,2020-12-18 13:47:12,2020-12-16,LWAY,Smolyansky Ludmila,"Dir, 10%",S - Sale,$6.14,-25000,3969641,-1%,"-$153,620",,,,,LWAY
19,M,2020-11-24 17:41:29,2020-11-20,LWAY,Smolyansky Ludmila,"Dir, 10%",S - Sale,$7.36,-45000,3994641,-1%,"-$331,152",,,,,LWAY
20,,2020-11-23 17:20:05,2020-11-20,LWAY,Smolyansky Julie,"Pres, CEO, 10%",P - Purchase,$7.00,"+1,000",2358303,0%,"+$6,999",,,,,LWAY
21,,2020-09-11 15:59:06,2020-09-09,LWAY,Smolyansky Edward,"COO, 10%",S - Sale,$5.87,-8000,2011053,0%,"-$46,948",,,,,LWAY
22,M,2020-08-21 14:22:53,2020-08-19,LWAY,Smolyansky Edward,"COO, 10%",S - Sale,$5.23,-16000,2019053,-1%,"-$83,740",,,,,LWAY
23,,2020-08-19 17:04:18,2020-08-18,LWAY,Smolyansky Julie,"Pres, CEO, 10%",P - Purchase,$4.16,"+3,100",2357303,0%,"+$12,883",,,,,LWAY
24,AM,2020-07-28 16:43:49,2020-04-17,LWAY,Smolyansky Julie,"Pres, CEO, 10%",P - Purchase,$2.22,"+1,900",2354203,0%,"+$4,209",,,,,LWAY
25,M,2020-04-21 18:31:20,2020-04-17,LWAY,Smolyansky Julie,"Pres, CEO, 10%",P - Purchase,$2.22,"+1,900",2334203,0%,"+$4,209",,,,,LWAY
26,M,2019-09-12 18:11:04,2019-09-10,LWAY,Smolyansky Edward,COO,S - Sale,$2.84,-36000,2035053,-2%,"-$102,190",,,,,LWAY
27,M,2019-06-12 17:04:18,2019-06-10,LWAY,Smolyansky Edward,COO,S - Sale,$2.57,-6000,2071053,0%,"-$15,390",,,,,LWAY
28,,2018-06-15 17:42:18,2018-06-13,LWAY,Smolyansky Ludmila,"Dir, 10%",S - Sale,$6.19,-13040,5206519,0%,"-$80,718",,,,,LWAY
29,M,2018-06-13 21:16:09,2018-06-11,LWAY,Smolyansky Ludmila,"Dir, 10%",S - Sale,$6.24,-7550,5219559,0%,"-$47,143",,,,,LWAY
30,,2018-06-13 21:15:33,2018-06-11,LWAY,Smolyansky Edward,COO,S - Sale,$6.41,-4890,1493614,0%,"-$31,345",,,,,LWAY
31,M,2018-05-23 16:14:31,2018-05-21,LWAY,Smolyansky Ludmila,"Dir, 10%",S - Sale,$5.75,-23500,5227809,0%,"-$135,175",,,,,LWAY
32,,2018-05-23 16:13:55,2018-05-22,LWAY,Smolyansky Edward,COO,S - Sale,$5.66,-10000,1498504,-1%,"-$56,600",,,,,LWAY
33,M,2017-12-26 16:26:40,2017-12-18,LWAY,Smolyansky Ludmila,"Dir, 10%",S - Sale,$7.92,-1465,27343,-5%,"-$11,600",,,,,LWAY
