,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-06-22 16:28:05,2021-06-17,LYRA,Merrifield C Ann,Dir,P - Purchase,$8.97,"+3,500",3500,New,"+$31,395",,,,,LYRA
1,,2020-12-17 16:05:30,2020-12-16,LYRA,Snyderman Nancy Lynn Md,Dir,P - Purchase,$9.72,"+1,025",1025,New,"+$9,963",,,,,LYRA
2,,2020-05-29 17:34:52,2020-05-05,LYRA,Perceptive Advisors LLC,"Dir, 10%",P - Purchase,$16.00,"+625,000",3222561,+24%,"+$10,000,000",,,,,LYRA
3,D,2020-05-15 18:16:57,2020-05-05,LYRA,"Soleus Private Equity Gp I, LLC",10%,P - Purchase,$16.00,"+155,000",155000,New,"+$2,480,000",,,,,LYRA
4,D,2020-05-15 18:16:57,2020-05-05,LYRA,"Soleus Private Equity Gp I, LLC",10%,S - Sale+OE,$16.00,-16909,155000,-10%,"-$270,544",,,,,LYRA
5,D,2020-05-06 19:38:21,2020-05-05,LYRA,"Nbvm Gp, LLC",10%,P - Purchase,$16.00,"+250,000",553123,+82%,"+$4,000,000",,,,,LYRA
6,D,2020-05-06 19:38:21,2020-05-05,LYRA,"Nbvm Gp, LLC",10%,S - Sale+OE,$16.00,-24183,553123,-4%,"-$386,928",,,,,LYRA
7,D,2020-05-06 19:32:19,2020-05-05,LYRA,Anderson Edward T,"Dir, 10%",P - Purchase,$16.00,"+250,000",553123,+82%,"+$4,000,000",,,,,LYRA
8,D,2020-05-06 19:32:19,2020-05-05,LYRA,Anderson Edward T,"Dir, 10%",S - Sale+OE,$16.00,-24183,553123,-4%,"-$386,928",,,,,LYRA
9,D,2020-05-06 19:30:22,2020-05-05,LYRA,"Polaris Venture Management Co. V, L.L.C.",10%,P - Purchase,$16.00,"+62,500",7274,-113%,"+$1,000,000",,,,,LYRA
10,D,2020-05-06 19:30:22,2020-05-05,LYRA,"Polaris Venture Management Co. V, L.L.C.",10%,S - Sale+OE,$16.00,-9674,7274,-57%,"-$154,784",,,,,LYRA
