,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,A,2021-09-20 16:05:09,2021-07-01,MACK,Andersen Eric,See remarks,S - Sale,$6.39,-52914,269338,-16%,"-$338,120",,,,,MACK
1,AM,2021-09-20 16:05:09,2021-04-14,MACK,Andersen Eric,See remarks,P - Purchase,$6.50,"+100,214",269338,+59%,"+$651,857",,,,,MACK
2,,2021-04-16 16:05:15,2021-04-14,MACK,Andersen Eric,See remarks,P - Purchase,$6.63,"+47,300",322252,+17%,"+$313,736",,,,,MACK
3,,2021-04-15 16:05:14,2021-04-13,MACK,Andersen Eric,See remarks,P - Purchase,$6.26,"+9,874",1222348,+1%,"+$61,780",,,,,MACK
4,,2021-04-14 16:05:26,2021-04-12,MACK,Andersen Eric,See remarks,P - Purchase,$6.06,"+23,629",1212474,+2%,"+$143,194",,,,,MACK
5,,2021-04-14 16:05:12,2021-04-12,MACK,Crocker Gary L,See Remarks,P - Purchase,$6.07,+973,33731,+3%,"+$5,905",,,,,MACK
6,,2021-04-12 16:05:08,2021-04-09,MACK,Crocker Gary L,See Remarks,P - Purchase,$6.10,"+1,200",32758,+4%,"+$7,320",,,,,MACK
7,,2021-04-09 16:05:11,2021-04-07,MACK,Crocker Gary L,See Remarks,P - Purchase,$6.19,"+2,127",31558,+7%,"+$13,166",,,,,MACK
8,,2021-04-01 16:05:36,2021-03-31,MACK,Crocker Gary L,See Remarks,P - Purchase,$6.19,+500,29431,+2%,"+$3,095",,,,,MACK
9,,2021-03-26 17:46:01,2021-03-25,MACK,Crocker Gary L,See Remarks,P - Purchase,$6.13,+200,28931,+1%,"+$1,226",,,,,MACK
10,M,2021-03-25 17:50:13,2021-03-23,MACK,Crocker Gary L,See Remarks,P - Purchase,$6.39,"+8,627",28731,+43%,"+$55,145",,,,,MACK
11,,2021-03-17 17:08:13,2021-03-16,MACK,Crocker Gary L,See Remarks,P - Purchase,$6.79,"+5,000",20104,+33%,"+$33,956",,,,,MACK
12,,2021-03-05 16:05:15,2021-02-23,MACK,Crocker Gary L,See Remarks,P - Purchase,$7.20,"+5,000",15104,+49%,"+$36,005",,,,,MACK
13,,2021-02-17 16:05:11,2021-02-12,MACK,Crocker Gary L,See Remarks,P - Purchase,$7.47,"+5,000",10104,+98%,"+$37,342",,,,,MACK
14,M,2021-02-12 18:16:13,2021-02-10,MACK,Crocker Gary L,See Remarks,P - Purchase,$7.75,"+5,104",5104,New,"+$39,554",,,,,MACK
15,,2020-12-03 16:05:10,2020-12-01,MACK,Levy Noah G.,See remarks,P - Purchase,$4.00,"+29,776",652241,+5%,"+$119,077",,,,,MACK
16,,2020-11-27 16:05:14,2020-11-24,MACK,Levy Noah G.,See remarks,P - Purchase,$3.65,"+69,087",639824,+12%,"+$252,168",,,,,MACK
17,,2020-11-27 16:05:09,2020-11-24,MACK,Andersen Eric,See remarks,P - Purchase,$3.65,"+69,088",315757,+28%,"+$252,171",,,,,MACK
18,,2020-11-16 16:05:14,2020-11-12,MACK,Levy Noah G.,See remarks,P - Purchase,$3.65,"+56,490",611015,+10%,"+$205,912",,,,,MACK
19,,2020-11-16 16:05:09,2020-11-12,MACK,Andersen Eric,See remarks,P - Purchase,$3.65,"+56,490",297743,+23%,"+$206,189",,,,,MACK
20,,2020-08-17 16:05:38,2020-08-13,MACK,Levy Noah G.,See remarks,P - Purchase,$3.50,+608,587459,0%,"+$2,128",,,,,MACK
21,,2020-08-17 16:05:21,2020-08-13,MACK,Andersen Eric,See remarks,P - Purchase,$3.50,+609,1063267,0%,"+$2,132",,,,,MACK
22,M,2020-08-13 16:06:25,2020-08-11,MACK,Andersen Eric,See remarks,P - Purchase,$3.46,"+16,030",1062658,+2%,"+$55,423",,,,,MACK
23,M,2020-08-13 16:05:48,2020-08-11,MACK,Levy Noah G.,See remarks,P - Purchase,$3.46,"+16,042",587205,+3%,"+$55,466",,,,,MACK
24,,2020-07-24 19:03:05,2020-07-22,MACK,Crocker Gary L,See Remarks,S - Sale,$3.08,-193509,0,-100%,"-$596,465",,,,,MACK
25,,2020-07-24 18:59:26,2020-07-22,MACK,Andersen Eric,See remarks,P - Purchase,$3.11,"+177,274",227182,+355%,"+$552,086",,,,,MACK
26,,2020-07-24 18:59:01,2020-07-22,MACK,Levy Noah G.,See remarks,P - Purchase,$3.11,"+177,274",580515,+44%,"+$552,087",,,,,MACK
27,M,2020-04-22 14:30:07,2020-04-20,MACK,Levy Noah G.,See remarks,P - Purchase,$3.25,"+3,749",506592,+1%,"+$12,184",,,,,MACK
