,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-08-25 18:37:47,2021-08-24,MBII,Marrone Pamela G,Dir,S - Sale,$1.02,-24510,2214805,-1%,"-$25,000",,,,,MBII
1,,2021-08-10 19:19:15,2021-08-09,MBII,Marrone Pamela G,Dir,S - Sale,$1.45,-17858,2239315,-1%,"-$25,894",,,,,MBII
2,,2021-07-28 16:38:22,2021-07-26,MBII,Marrone Pamela G,Dir,S - Sale,$1.40,-17858,2257173,-1%,"-$25,001",,,,,MBII
3,,2021-07-12 18:33:14,2021-07-09,MBII,Marrone Pamela G,Dir,S - Sale,$1.49,-17007,2275031,-1%,"-$25,340",,,,,MBII
4,,2021-06-28 16:56:09,2021-06-24,MBII,Marrone Pamela G,Dir,S - Sale,$1.79,-13662,2292038,-1%,"-$24,455",,,,,MBII
5,M,2021-06-11 16:15:55,2021-05-24,MBII,Marrone Pamela G,Dir,S - Sale,$1.54,-31953,2305700,-1%,"-$49,271",,,,,MBII
6,,2019-02-25 16:54:10,2019-02-14,MBII,Van Herk Investments B.V.,10%,P - Purchase,$1.50,+200,5628770,0%,+$300,,,,,MBII
7,,2019-02-25 16:54:10,2019-02-21,MBII,Van Herk Investments B.V.,10%,S - Sale,$1.57,-1500000,5628770,-21%,"-$2,355,000",,,,,MBII
8,,2018-10-19 10:46:10,2018-09-26,MBII,Van Herk Investments B.V.,10%,P - Purchase,$1.90,"+2,000",7128570,0%,"+$3,800",,,,,MBII
9,M,2018-10-19 10:46:10,2018-09-24,MBII,Van Herk Investments B.V.,10%,S - Sale,$1.96,-17578,7128570,0%,"-$34,448",,,,,MBII
10,M,2018-08-13 17:44:51,2018-08-06,MBII,Ardsley Advisory Partners,"See Footnote (1), 10%",S - Sale,$2.00,-25000,10323247,0%,"-$49,900",,,,,MBII
11,,2018-02-27 17:39:52,2018-02-12,MBII,Van Herk Investments B.V.,10%,P - Purchase,$1.16,"+5,000",7144148,0%,"+$5,814",,,,,MBII
12,,2018-02-27 17:39:52,2018-02-12,MBII,Van Herk Investments B.V.,10%,S - Sale,$1.23,-5000,7144148,0%,"-$6,150",,,,,MBII
13,DM,2018-02-07 18:38:38,2014-05-14,MBII,Waddell & Reed Financial Inc,"1, 10%",P - Purchase,$9.45,"+2,753,509",24714892,+13%,"+$26,021,764",,,,,MBII
14,DM,2018-02-07 18:38:38,2017-02-01,MBII,Waddell & Reed Financial Inc,"1, 10%",S - Sale+OE,$2.16,-11300,24714892,0%,"-$24,389",,,,,MBII
15,D,2018-02-06 09:41:36,2018-02-05,MBII,Ardsley Advisory Partners,"See Footnote (1), 10%",P - Purchase,$0.75,"+6,666,667",10348247,+181%,"+$5,000,000",,,,,MBII
