,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2020-09-08 08:40:45,2020-09-04,MFIN,Poulton Donald S.,See Remarks,P - Purchase,$2.97,"+2,500",95872,+3%,"+$7,425",,,,,MFIN
1,,2019-08-13 08:37:54,2019-08-12,MFIN,Poulton Donald S.,"CEO, Pres, Medallion Bank",P - Purchase,$4.58,"+2,200",76531,+3%,"+$10,069",,,,,MFIN
2,,2019-08-12 08:32:41,2019-08-08,MFIN,Rudnick David L,Dir,P - Purchase,$4.75,"+5,000",222277,+2%,"+$23,769",,,,,MFIN
3,,2019-08-12 08:30:30,2019-08-08,MFIN,Aaron Henry L,Dir,P - Purchase,$4.72,"+10,000",10000,New,"+$47,228",,,,,MFIN
4,,2019-08-12 08:29:30,2019-08-08,MFIN,Murstein Alvin,"COB, CEO",P - Purchase,$4.74,"+10,000",1637388,+1%,"+$47,400",,,,,MFIN
5,,2019-08-12 08:27:57,2019-08-08,MFIN,Tanenbaum Allan J,Dir,P - Purchase,$4.74,"+10,000",44566,+29%,"+$47,367",,,,,MFIN
6,,2019-05-17 16:37:13,2019-05-17,MFIN,Munson Thomas J.,See Remarks,S - Sale,$7.34,-4248,17469,-20%,"-$31,171",,,,,MFIN
7,,2018-06-18 08:30:25,2018-06-14,MFIN,Tanenbaum Allan J,Dir,P - Purchase,$5.55,"+10,000",34566,+41%,"+$55,482",,,,,MFIN
8,,2018-03-16 16:07:22,2018-03-15,MFIN,Poulton Donald S.,See Remarks,S - Sale,$4.67,-7500,64407,-10%,"-$35,025",,,,,MFIN
9,,2018-03-12 17:18:35,2017-11-30,MFIN,Tanenbaum Allan J,Dir,P - Purchase,$2.71,"+2,300",24566,+10%,"+$6,233",,,,,MFIN
