,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-03 16:10:33,2021-12-02,MRAM,Billerbeck Darin G,Interim CEO,S - Sale,$11.43,-1547,53910,-3%,"-$17,682",,,,,MRAM
1,AM,2021-11-29 16:44:48,2021-11-12,MRAM,Socolof Stephen,Former 10% Holder,S - Sale,$11.42,-510975,1779147,-22%,"-$5,837,384",,,,,MRAM
2,D,2021-11-29 16:34:19,2021-11-24,MRAM,Aggarwal Sanjeev,"CTO, VP, Technology R, D",S - Sale+OE,$12.43,-1901,36863,-5%,"-$23,629",,,,,MRAM
3,M,2021-11-24 16:33:06,2021-11-12,MRAM,Socolof Stephen,Former 10% Holder,S - Sale,$11.42,-510975,1779147,-22%,"-$5,837,384",,,,,MRAM
4,D,2021-11-24 16:10:28,2021-11-23,MRAM,Aggarwal Sanjeev,"CTO, VP, Technology R, D",S - Sale+OE,$12.49,-46001,36863,-56%,"-$574,755",,,,,MRAM
5,,2021-11-23 17:05:52,2021-11-19,MRAM,Billerbeck Darin G,Interim CEO,S - Sale,$12.16,-38740,55457,-41%,"-$471,078",,,,,MRAM
6,,2021-11-18 19:36:16,2021-11-17,MRAM,Gustafson Michael B,Dir,S - Sale,$12.70,-14286,58351,-20%,"-$181,432",,,,,MRAM
7,,2021-11-18 19:34:22,2021-11-17,MRAM,Aggarwal Sanjeev,"CTO, VP, Technology R, D",S - Sale,$13.07,-8846,37081,-19%,"-$115,617",,,,,MRAM
8,D,2021-11-18 19:32:42,2021-11-17,MRAM,Winslow Troy,"VP, Sales, Marketing",S - Sale+OE,$13.13,-44291,23113,-66%,"-$581,446",,,,,MRAM
9,,2021-09-03 17:17:52,2021-09-02,MRAM,Billerbeck Darin G,Interim CEO,S - Sale,$6.91,-1540,94197,-2%,"-$10,641",,,,,MRAM
10,,2021-08-25 19:38:23,2021-08-24,MRAM,Aggarwal Sanjeev,"CTO, VP, Technology R, D",S - Sale,$5.85,-200,45927,0%,"-$1,170",,,,,MRAM
11,,2021-06-23 16:01:47,2021-06-21,MRAM,Aggarwal Sanjeev,"CTO, VP, Technology R, D",S - Sale,$6.06,-202,33627,-1%,"-$1,224",,,,,MRAM
12,,2021-06-04 16:10:40,2021-06-02,MRAM,Billerbeck Darin G,Interim CEO,S - Sale,$6.21,-1524,95737,-2%,"-$9,464",,,,,MRAM
13,,2021-05-26 16:13:23,2021-05-24,MRAM,Aggarwal Sanjeev,"CTO, VP, Technology R, D",S - Sale,$5.60,-199,33829,-1%,"-$1,114",,,,,MRAM
14,D,2021-05-26 16:08:28,2021-05-24,MRAM,Oka Aparna,Corporate Controller,S - Sale+OE,$5.62,-4845,6396,-43%,"-$27,225",,,,,MRAM
15,,2021-05-24 16:03:04,2021-05-20,MRAM,Billerbeck Darin G,Interim CEO,S - Sale,$5.23,-3457,97261,-3%,"-$18,080",,,,,MRAM
16,,2021-05-14 16:11:33,2021-05-11,MRAM,Oka Aparna,Corporate Controller,S - Sale,$4.93,-87,9481,-1%,-$429,,,,,MRAM
17,,2021-03-17 16:03:12,2021-03-15,MRAM,Aggarwal Sanjeev,"CTO, VP, Technology R, D",S - Sale,$6.25,-212,34028,-1%,"-$1,325",,,,,MRAM
18,,2021-03-03 18:59:58,2021-03-01,MRAM,Berenbaum Daniel,CFO,S - Sale,$6.01,-1921,53849,-3%,"-$11,545",,,,,MRAM
19,,2021-03-03 18:58:05,2021-03-01,MRAM,Billerbeck Darin G,Interim CEO,S - Sale,$6.01,-2641,106968,-2%,"-$15,872",,,,,MRAM
20,,2021-03-03 18:55:47,2021-03-01,MRAM,Aggarwal Sanjeev,"CTO, VP, Technology R, D",S - Sale,$6.01,-1874,34240,-5%,"-$11,263",,,,,MRAM
21,M,2021-03-03 18:53:59,2021-03-01,MRAM,Winslow Troy,"VP, Sales, Marketing",S - Sale,$5.79,-12385,32403,-28%,"-$71,707",,,,,MRAM
22,M,2020-10-05 18:50:43,2020-10-02,MRAM,Aggarwal Sanjeev,"VP, Technology R, D",S - Sale,$5.69,-1000,22346,-4%,"-$5,689",,,,,MRAM
23,,2020-06-30 16:16:33,2020-06-29,MRAM,Aggarwal Sanjeev,"VP, Technology R, D",S - Sale,$6.60,-8535,14500,-37%,"-$56,331",,,,,MRAM
24,,2020-05-28 17:43:13,2020-05-27,MRAM,Winslow Troy,"VP, Sales, Marketing",S - Sale,$6.17,-3569,20750,-15%,"-$22,021",,,,,MRAM
25,,2020-05-26 16:09:18,2020-05-22,MRAM,Aggarwal Sanjeev,"VP, Technology R, D",S - Sale,$6.74,-5457,23035,-19%,"-$36,780",,,,,MRAM
26,,2020-01-27 19:34:55,2020-01-27,MRAM,Aggarwal Sanjeev,"VP, Technology R, D",S - Sale,$5.01,-3070,20992,-13%,"-$15,381",,,,,MRAM
27,,2020-01-27 19:34:24,2020-01-27,MRAM,Conley Kevin,"Pres, CEO",S - Sale,$5.01,-13549,63762,-18%,"-$67,880",,,,,MRAM
28,,2020-01-27 19:33:41,2020-01-27,MRAM,Winslow Troy,VP of Global Sales,S - Sale,$5.01,-4247,17069,-20%,"-$21,277",,,,,MRAM
29,,2019-03-28 17:31:06,2019-03-13,MRAM,Winzeler Jeffrey G,CFO,S - Sale,$8.45,-819,15115,-5%,"-$6,921",,,,,MRAM
30,,2019-03-28 17:30:32,2019-03-13,MRAM,Aggarwal Sanjeev,"VP, Manuf., Process Develop.",S - Sale,$8.45,-207,14870,-1%,"-$1,749",,,,,MRAM
31,,2019-03-28 17:30:01,2019-03-13,MRAM,Andre Thomas,"VP, Design Engineering",S - Sale,$8.45,-190,7378,-3%,"-$1,606",,,,,MRAM
32,,2019-03-28 17:29:33,2019-03-13,MRAM,Ugge Angelo,"VP, Business Development",S - Sale,$8.45,-105,3395,-3%,-$887,,,,,MRAM
33,D,2018-05-21 16:32:56,2018-05-17,MRAM,Aggarwal Sanjeev,"VP, Manuf., Process Develop.",S - Sale+OE,$8.50,-3870,10346,-27%,"-$32,895",,,,,MRAM
34,D,2018-05-17 16:21:43,2018-05-16,MRAM,Andre Thomas,"VP, Design Engineering",S - Sale+OE,$8.58,-4807,5500,-47%,"-$41,244",,,,,MRAM
35,,2018-02-13 19:53:51,2018-02-12,MRAM,Conley Kevin,"Pres, CEO",P - Purchase,$7.00,"+14,285",24285,+143%,"+$99,995",,,,,MRAM
36,,2018-02-13 19:49:35,2018-02-12,MRAM,Gustafson Michael B,Dir,P - Purchase,$7.00,"+14,286",14286,New,"+$100,002",,,,,MRAM
