,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-09-15 10:02:52,2021-09-14,NKSH,Miller Mary G,Dir,P - Purchase,$36.50,+500,6000,+9%,"+$18,250",,,,,NKSH
1,M,2021-09-07 15:11:31,2021-09-02,NKSH,Reynolds Glenn P,Dir,P - Purchase,$37.94,"+1,000",8589,+13%,"+$37,940",,,,,NKSH
2,,2021-06-21 08:56:02,2021-06-18,NKSH,Ball Lawrence J,Dir,P - Purchase,$34.21,"+1,000",11000,+10%,"+$34,212",,,,,NKSH
3,,2021-06-17 16:37:44,2021-06-17,NKSH,Miller Mary G,Dir,P - Purchase,$34.65,+500,5500,+10%,"+$17,325",,,,,NKSH
4,,2021-06-15 15:51:52,2021-06-15,NKSH,Dooley John Elliott,Dir,P - Purchase,$35.50,+500,8100,+7%,"+$17,750",,,,,NKSH
5,M,2021-06-10 14:05:01,2021-05-28,NKSH,Green Charles E III,Dir,P - Purchase,$35.22,"+2,000",46238,+5%,"+$70,440",,,,,NKSH
6,,2021-05-24 10:07:25,2021-05-20,NKSH,Fitzwater Norman V III,Dir,P - Purchase,$35.51,+332,6000,+6%,"+$11,790",,,,,NKSH
7,,2021-02-19 11:23:01,2021-02-18,NKSH,Dooley John Elliott,Dir,P - Purchase,$33.00,"+1,000",7600,+15%,"+$33,000",,,,,NKSH
8,,2020-12-07 10:55:06,2020-12-04,NKSH,Johnson Mildred R,Dir,S - Sale,$31.30,-1,2183,0%,-$31,,,,,NKSH
9,M,2020-12-01 09:33:35,2020-11-27,NKSH,Miller Mary G,Dir,P - Purchase,$31.03,+507,5000,+11%,"+$15,731",,,,,NKSH
10,M,2020-10-29 15:52:26,2020-10-28,NKSH,Green Charles E III,Dir,P - Purchase,$27.40,"+2,000",44238,+5%,"+$54,805",,,,,NKSH
11,M,2020-10-28 11:47:23,2020-10-26,NKSH,Dooley John Elliott,Dir,P - Purchase,$27.38,+500,6600,+8%,"+$13,688",,,,,NKSH
12,,2020-06-05 10:11:20,2020-06-02,NKSH,Miller Mary G,Dir,P - Purchase,$30.00,+236,4493,+6%,"+$7,080",,,,,NKSH
13,,2020-04-29 13:08:35,2020-04-28,NKSH,Dye Michael E,Dir,P - Purchase,$30.75,+390,3107,+14%,"+$11,993",,,,,NKSH
14,,2020-04-29 11:00:32,2020-04-27,NKSH,Ball Lawrence J,Dir,P - Purchase,$29.00,"+2,000",10000,+25%,"+$58,000",,,,,NKSH
15,,2020-03-18 14:54:50,2020-03-18,NKSH,Johnson Mildred R,Dir,P - Purchase,$35.59,+175,2184,+9%,"+$6,228",,,,,NKSH
