,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-10 17:28:53,2021-12-09,NNBR,Harman Jeri J,Dir,P - Purchase,$4.79,"+5,240",62070,+9%,"+$25,100",,,,,NNBR
1,,2021-12-02 11:21:32,2021-12-01,NNBR,Veltman Warren A,"Pres, CEO",P - Purchase,$4.29,"+20,000",233624,+9%,"+$85,888",,,,,NNBR
2,,2021-11-10 16:16:47,2021-11-09,NNBR,Carroll Christina,Dir,P - Purchase,$5.55,"+4,500",45620,+11%,"+$25,000",,,,,NNBR
3,,2021-09-10 13:41:05,2021-09-09,NNBR,Harman Jeri J,Dir,P - Purchase,$5.14,"+5,000",56830,+10%,"+$25,700",,,,,NNBR
4,,2021-08-23 14:09:41,2021-08-23,NNBR,Benvenuti Raynard D.,Dir,P - Purchase,$5.35,"+5,000",50790,+11%,"+$26,725",,,,,NNBR
5,,2021-08-20 12:25:45,2021-08-18,NNBR,Benvenuti Raynard D.,Dir,P - Purchase,$5.52,"+5,000",45790,+12%,"+$27,592",,,,,NNBR
6,,2021-06-17 16:34:29,2021-06-17,NNBR,Veltman Warren A,"Pres, CEO",P - Purchase,$7.05,"+20,000",213624,+10%,"+$141,000",,,,,NNBR
7,,2019-06-21 16:05:23,2019-06-19,NNBR,Atkinson James Robert,"EVP, Life Sciences",P - Purchase,$8.65,"+3,000",21550,+16%,"+$25,950",,,,,NNBR
8,,2019-05-30 16:05:17,2019-05-28,NNBR,Floyd David,Dir,P - Purchase,$8.05,"+9,000",37183,+32%,"+$72,450",,,,,NNBR
9,,2018-12-27 16:06:13,2018-12-24,NNBR,Smith Carey A.,Dir,P - Purchase,$5.80,"+5,000",11331,+79%,"+$29,000",,,,,NNBR
10,,2018-12-20 16:05:25,2018-12-18,NNBR,Burwell Thomas C. Jr.,See Remarks,P - Purchase,$6.13,"+7,000",46329,+18%,"+$42,910",,,,,NNBR
11,,2018-12-17 16:05:38,2018-12-14,NNBR,Brunner Robert E,Dir,P - Purchase,$6.31,"+4,000",33605,+14%,"+$25,240",,,,,NNBR
12,,2018-12-10 16:05:56,2018-12-07,NNBR,Holder Richard D,"Pres, CEO",P - Purchase,$6.85,"+4,565",177966,+3%,"+$31,270",,,,,NNBR
13,,2018-09-17 16:06:00,2018-09-17,NNBR,Heiter Matthew S.,"SVP, GC",P - Purchase,$15.99,"+2,150",18184,+13%,"+$34,379",,,,,NNBR
14,,2018-09-17 16:05:34,2018-09-14,NNBR,Holder Richard D,"Pres, CEO",P - Purchase,$16.04,"+3,100",173401,+2%,"+$49,724",,,,,NNBR
15,,2018-09-14 16:05:58,2018-09-13,NNBR,Floyd David,Dir,P - Purchase,$16.07,"+1,200",15573,+8%,"+$19,284",,,,,NNBR
