,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-05-20 14:28:54,2021-05-18,OBCI,Dornau Peter G,"COB, Pres, CEO, 10%",P - Purchase,$12.79,100,4796570,0%,"+$1,279",,,,,OBCI
1,,2020-12-31 12:41:58,2020-12-29,OBCI,Dudman William,COO,S - Sale,$14.50,-1000,253510,0%,"-$14,500",,,,,OBCI
2,M,2020-12-30 15:21:15,2020-12-08,OBCI,Dornau Gregor M,"EVP Sales, Marketing",S - Sale,$14.07,-8500,453478,-2%,"-$119,556",,,,,OBCI
3,,2020-12-03 10:27:20,2020-12-01,OBCI,Dornau Gregor M,"EVP Sales, Marketing",S - Sale,$13.43,-750,461978,0%,"-$10,073",,,,,OBCI
4,,2020-09-30 10:33:04,2020-09-25,OBCI,Dornau Gregor M,"EVP Sales, Marketing",S - Sale,$15.02,-932,460428,0%,"-$13,998",,,,,OBCI
5,M,2020-09-21 14:16:23,2020-09-16,OBCI,Dornau Gregor M,"EVP Sales, Marketing",S - Sale,$15.10,-1000,461360,0%,"-$15,095",,,,,OBCI
6,,2020-09-17 15:15:19,2020-09-02,OBCI,Dornau Gregor M,"EVP Sales, Marketing",S - Sale,$15.00,-200,462360,0%,"-$3,000",,,,,OBCI
7,,2020-09-17 10:26:33,2020-09-16,OBCI,Dudman William,COO,S - Sale,$15.50,-4622,252210,-2%,"-$71,641",,,,,OBCI
8,,2020-09-01 12:08:58,2020-08-28,OBCI,Dudman William,COO,S - Sale,$15.50,-378,256832,0%,"-$5,859",,,,,OBCI
9,,2020-08-28 12:06:46,2020-08-26,OBCI,Dudman William,COO,S - Sale,$15.19,-1939,257210,-1%,"-$29,453",,,,,OBCI
10,,2020-08-26 09:47:27,2020-08-24,OBCI,Dudman William,COO,S - Sale,$15.25,-3000,259149,-1%,"-$45,750",,,,,OBCI
11,,2020-08-21 15:09:58,2020-08-18,OBCI,Dudman William,COO,S - Sale,$16.52,-61,262149,0%,"-$1,008",,,,,OBCI
12,,2020-08-21 15:09:11,2020-08-14,OBCI,Turner John B,Dir,S - Sale,$17.02,-3410,79272,-4%,"-$58,038",,,,,OBCI
13,,2020-08-13 16:06:22,2020-08-12,OBCI,Barocas Jeffrey,CFO,S - Sale,$18.05,-5000,173631,-3%,"-$90,250",,,,,OBCI
14,,2019-02-13 15:43:21,2019-02-13,OBCI,Turner John B,Dir,S - Sale,$3.64,-1912,75682,-2%,"-$6,952",,,,,OBCI
