,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-07-02 17:01:16,2021-06-30,ONCT,Hale David F,Dir,S - Sale,$4.75,-3669,731498,0%,"-$17,428",,,,,ONCT
1,,2021-06-15 18:00:30,2021-06-11,ONCT,Leavitt Chase C.,"GC, Secretary",P - Purchase,$5.45,"+1,500",1500,New,"+$8,175",,,,,ONCT
2,,2020-09-02 16:53:05,2020-09-01,ONCT,Carter Michael G,Dir,P - Purchase,$2.10,"+71,429",71947,>999%,"+$150,001",,,,,ONCT
3,D,2020-07-23 17:00:10,2020-07-21,ONCT,Kisner Daniel L,Dir,P - Purchase,$2.38,"+10,000",10000,New,"+$23,825",,,,,ONCT
4,D,2020-07-23 17:00:09,2020-07-21,ONCT,Aker Hazel M,Legal Counsel,P - Purchase,$2.38,"+41,972",51271,+451%,"+$99,998",,,,,ONCT
5,D,2020-07-23 16:32:30,2020-07-21,ONCT,Shanghai Pharmaceutical (Usa) Inc.,10%,P - Purchase,$2.38,"+1,049,317",3544431,+42%,"+$2,499,998",,,,,ONCT
6,D,2020-05-22 17:00:12,2020-05-21,ONCT,Hale David F,Dir,P - Purchase,$0.00,"+17,412",735164,+2%,+$0,,,,,ONCT
7,A,2018-07-17 17:49:07,2018-07-16,GTXI,Young Diane C.,"VP, Chief Medical Officer",S - Sale,$14.70,-2049,45936,-4%,"-$30,120",,,,,ONCT
8,,2018-07-17 17:03:54,2018-07-16,GTXI,Young Diane C.,"VP, Chief Medical Officer",S - Sale,$14.70,-2049,45936,-4%,"-$30,120",,,,,ONCT
9,,2018-06-26 11:21:40,2018-06-26,GTXI,Wills Robert James,Exec COB,P - Purchase,$16.75,"+5,000",137344,+4%,"+$83,750",,,,,ONCT
10,,2018-06-22 17:16:04,2018-06-20,GTXI,Doggrell Henry Patton,"VP, GC",S - Sale,$19.01,-7351,48175,-13%,"-$139,708",,,,,ONCT
11,,2018-06-22 17:15:52,2018-06-20,GTXI,Shackelford Jason T,"Prin Fin., Acct. Officer",S - Sale,$19.01,-9279,19548,-32%,"-$176,350",,,,,ONCT
12,,2018-01-09 18:12:34,2018-01-05,GTXI,Hanover Marc Steven,CEO,S - Sale,$11.33,-7309,172049,-4%,"-$82,845",,,,,ONCT
13,,2018-01-09 18:12:17,2018-01-05,GTXI,Shackelford Jason T,"Prin Fin., Acct. Officer",S - Sale,$11.33,-3090,28827,-10%,"-$35,024",,,,,ONCT
14,,2018-01-09 18:11:58,2018-01-05,GTXI,Doggrell Henry Patton,"VP, GC",S - Sale,$11.33,-4965,55526,-8%,"-$56,277",,,,,ONCT
