,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-16 16:43:06,2021-11-12,ORRF,Zullinger Joel R,Dir,S - Sale,$24.51,-600,41828,-1%,"-$14,706",,,,,ORRF
1,M,2021-09-23 16:59:27,2021-09-22,ORRF,Quinn Thomas R Jr,"Pres, CEO",S - Sale,$22.45,-17500,53935,-24%,"-$392,920",,,,,ORRF
2,,2021-09-10 16:07:32,2021-09-09,ORRF,Dyckman Matthew,"EVP, GC",P - Purchase,$23.37,"+1,000",1000,New,"+$23,370",,,,,ORRF
3,,2021-08-27 16:56:28,2021-08-25,ORRF,Zullinger Joel R,Dir,S - Sale,$23.62,-200,42428,0%,"-$4,724",,,,,ORRF
4,,2021-07-28 16:06:54,2021-07-27,ORRF,Zullinger Joel R,Dir,S - Sale,$23.33,-110,42628,0%,"-$2,566",,,,,ORRF
5,,2021-07-26 16:57:48,2021-07-23,ORRF,Longenecker Thomas D,Dir,P - Purchase,$23.49,+175,12632,+1%,"+$4,111",,,,,ORRF
6,,2021-06-16 16:51:17,2021-06-10,ORRF,Zullinger Joel R,Dir,S - Sale,$24.75,-250,42738,-1%,"-$6,188",,,,,ORRF
7,,2021-05-13 16:11:31,2021-05-11,ORRF,Quinn Thomas R Jr,"Pres, CEO",P - Purchase,$24.50,+290,71392,0%,"+$7,105",,,,,ORRF
8,,2021-05-13 16:11:02,2021-05-12,ORRF,Pugh Andrea L,Dir,S - Sale,$24.16,-6245,27978,-18%,"-$150,879",,,,,ORRF
9,,2021-04-29 16:27:41,2021-04-28,ORRF,Zullinger Joel R,Dir,S - Sale,$23.63,-600,41708,-1%,"-$14,175",,,,,ORRF
10,,2021-02-10 16:17:05,2021-02-09,ORRF,Quinn Thomas R Jr,"Pres, CEO",P - Purchase,$19.49,+374,71050,+1%,"+$7,289",,,,,ORRF
11,,2021-02-01 16:11:16,2021-01-29,ORRF,Coradi Robert G,Chief Risk Officer,P - Purchase,$17.39,+505,28984,+2%,"+$8,782",,,,,ORRF
12,,2021-01-26 16:51:38,2021-01-25,ORRF,Keller Mark K,Dir,S - Sale,$18.67,-1000,13604,-7%,"-$18,666",,,,,ORRF
13,,2021-01-26 16:51:21,2021-01-25,ORRF,Quinn Thomas R Jr,"Pres, CEO",P - Purchase,$18.31,"+1,411",61514,+2%,"+$25,835",,,,,ORRF
14,,2021-01-20 17:26:09,2021-01-18,ORRF,Brobst Barbara E,EVP,S - Sale,$18.02,-3596,13209,-21%,"-$64,800",,,,,ORRF
15,,2021-01-20 17:25:47,2021-01-18,ORRF,Hornberger David Todd,EVP,S - Sale,$18.02,-2433,19257,-11%,"-$43,843",,,,,ORRF
16,,2021-01-20 17:25:32,2021-01-18,ORRF,Metz Adam L,EVP,S - Sale,$18.02,-5284,11635,-31%,"-$95,218",,,,,ORRF
17,,2021-01-20 17:25:12,2021-01-18,ORRF,Gayman Jeffrey S,EVP,S - Sale,$18.02,-4516,10797,-29%,"-$81,378",,,,,ORRF
18,,2021-01-20 17:22:04,2021-01-18,ORRF,Fague Philip E,EVP,S - Sale,$18.02,-1978,37859,-5%,"-$35,644",,,,,ORRF
19,,2020-12-18 17:56:00,2020-12-16,ORRF,Zullinger Joel R,Dir,S - Sale,$17.91,-1000,40506,-2%,"-$17,906",,,,,ORRF
20,,2020-12-09 16:08:27,2020-12-08,ORRF,Hornberger David Todd,EVP,S - Sale,$16.58,-3000,21690,-12%,"-$49,740",,,,,ORRF
21,,2020-10-28 16:24:07,2020-10-27,ORRF,Brugger Thomas R,"EVP, CFO",P - Purchase,$13.60,"+5,000",13405,+59%,"+$68,000",,,,,ORRF
22,,2020-10-28 16:21:26,2020-10-27,ORRF,Hornberger David Todd,EVP,P - Purchase,$13.65,"+1,000",24690,+4%,"+$13,646",,,,,ORRF
23,,2020-10-26 16:29:35,2020-10-23,ORRF,Holt Christopher D,EVP,P - Purchase,$14.00,+500,8900,+6%,"+$7,000",,,,,ORRF
24,,2020-09-15 16:12:49,2020-09-02,ORRF,Zullinger Joel R,Dir,S - Sale,$14.26,-1000,41506,-2%,"-$14,260",,,,,ORRF
25,,2020-08-28 16:13:20,2020-08-27,ORRF,Quinn Thomas R Jr,"Pres, CEO",P - Purchase,$14.25,+284,60043,0%,"+$4,047",,,,,ORRF
26,,2020-08-06 16:15:56,2020-08-04,ORRF,Coradi Robert G,Chief Risk Officer,P - Purchase,$13.70,+245,24326,+1%,"+$3,357",,,,,ORRF
27,,2020-06-09 16:36:55,2020-06-05,ORRF,Quinn Thomas R Jr,"Pres, CEO",P - Purchase,$14.72,"+3,000",59759,+5%,"+$44,148",,,,,ORRF
28,,2020-05-07 17:50:53,2020-05-06,ORRF,Fignar Robert J,EVP,P - Purchase,$13.50,"+1,990",15961,+14%,"+$26,865",,,,,ORRF
29,,2020-03-17 16:44:08,2020-03-11,ORRF,Snoke Glenn W,Dir,P - Purchase,$16.75,+600,22596,+3%,"+$10,050",,,,,ORRF
30,,2020-03-17 16:43:47,2020-03-11,ORRF,Fignar Robert J,EVP,P - Purchase,$16.50,"+1,000",13971,+8%,"+$16,500",,,,,ORRF
31,,2020-03-17 16:43:26,2020-03-13,ORRF,Holt Christopher D,EVP,P - Purchase,$16.05,+500,8400,+6%,"+$8,025",,,,,ORRF
