,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-02-24 16:32:11,2021-02-22,PBIP,Fanelli A J,Dir,S - Sale+OE,$13.76,-5000,34509,-13%,"-$68,800",,,,,PBIP
1,D,2020-09-10 11:12:50,2020-09-08,PBIP,Fanelli A J,Dir,P - Purchase,$9.84,+400,34509,+1%,"+$3,937",,,,,PBIP
2,DM,2020-08-27 10:26:18,2020-08-25,PBIP,Miller Bruce E,Dir,P - Purchase,$11.07,"+1,275",40301,+3%,"+$14,120",,,,,PBIP
3,,2020-08-18 16:16:14,2020-08-17,PBIP,Vanaria Raymond,Dir,P - Purchase,$11.47,"+5,000",25000,+25%,"+$57,338",,,,,PBIP
4,D,2020-06-03 14:03:41,2020-06-02,PBIP,Fanelli A J,Dir,P - Purchase,$11.70,+400,34159,+1%,"+$4,680",,,,,PBIP
5,D,2020-05-06 16:31:56,2020-05-05,PBIP,Fanelli A J,Dir,P - Purchase,$12.15,+500,33759,+2%,"+$6,075",,,,,PBIP
6,D,2020-05-04 12:24:13,2020-04-30,PBIP,Miller Bruce E,Dir,P - Purchase,$13.22,+225,39026,+1%,"+$2,975",,,,,PBIP
7,D,2020-04-28 10:16:22,2020-04-24,PBIP,Miller Bruce E,Dir,P - Purchase,$11.15,"+8,500",38801,+28%,"+$94,775",,,,,PBIP
8,D,2020-03-25 16:51:41,2020-03-24,PBIP,Miller Bruce E,Dir,P - Purchase,$12.79,+225,30301,+1%,"+$2,878",,,,,PBIP
9,D,2020-03-23 14:58:13,2020-03-19,PBIP,Fanelli A J,Dir,P - Purchase,$11.50,+500,33259,+2%,"+$5,750",,,,,PBIP
10,DM,2020-03-12 15:17:26,2020-03-10,PBIP,Miller Bruce E,Dir,P - Purchase,$14.83,"+1,639",30076,+6%,"+$24,313",,,,,PBIP
11,D,2020-03-11 09:35:36,2020-03-09,PBIP,Pollack Dennis,"Pres, CEO",P - Purchase,$15.55,"+1,000",67473,+2%,"+$15,550",,,,,PBIP
12,D,2020-03-10 09:31:07,2020-03-06,PBIP,Pollack Dennis,"Pres, CEO",P - Purchase,$15.98,+249,66473,0%,"+$3,979",,,,,PBIP
13,D,2020-02-28 16:42:06,2020-02-27,PBIP,Pollack Dennis,"Pres, CEO",P - Purchase,$16.80,"+1,000",66224,+2%,"+$16,800",,,,,PBIP
14,D,2020-02-26 17:17:24,2020-02-25,PBIP,Pollack Dennis,"Pres, CEO",P - Purchase,$17.15,"+1,500",65224,+2%,"+$25,725",,,,,PBIP
15,D,2020-02-26 17:15:05,2020-02-24,PBIP,Migliorino Anthony V.,"EVP, COO",P - Purchase,$17.49,"+3,000",34501,+10%,"+$52,470",,,,,PBIP
16,D,2020-02-20 12:01:52,2020-02-18,PBIP,Migliorino Anthony V.,"EVP, COO",P - Purchase,$17.50,"+3,000",31501,+11%,"+$52,500",,,,,PBIP
17,D,2020-02-20 12:01:06,2020-02-18,PBIP,Pollack Dennis,"Pres, CEO",P - Purchase,$17.49,"+2,510",63724,+4%,"+$43,907",,,,,PBIP
18,D,2019-12-16 16:55:29,2019-12-12,PBIP,Migliorino Anthony V.,"EVP, COO",S - Sale+OE,$18.50,-2500,28118,-8%,"-$46,250",,,,,PBIP
19,DM,2019-12-16 16:53:33,2019-12-12,PBIP,Rothkopf Jack E,"SVP, CFO, Treasurer",S - Sale+OE,$18.50,-4305,34044,-11%,"-$79,643",,,,,PBIP
20,D,2019-07-30 16:20:02,2019-05-20,PBIP,Fanelli A J,Dir,P - Purchase,$17.24,"+1,000",43383,+2%,"+$17,240",,,,,PBIP
21,D,2018-06-22 10:46:56,2018-06-20,PBIP,Rothkopf Jack E,"SVP, CFO, Treasurer",S - Sale+OE,$19.50,-5000,39434,-11%,"-$97,500",,,,,PBIP
22,D,2018-03-27 17:48:17,2018-03-23,PBIP,Fanelli A J,Dir,S - Sale+OE,$17.90,-15000,28763,-34%,"-$268,500",,,,,PBIP
23,D,2018-03-23 17:47:40,2018-03-21,PBIP,Rothkopf Jack E,"SVP, CFO, Treasurer",S - Sale+OE,$18.50,-1561,36975,-4%,"-$28,879",,,,,PBIP
24,DM,2018-02-15 17:23:15,2018-02-14,PBIP,Pollack Dennis,"Pres, CEO",P - Purchase,$17.41,"+2,663",43999,+6%,"+$46,353",,,,,PBIP
25,DM,2018-02-12 15:09:35,2018-02-08,PBIP,Pollack Dennis,"Pres, CEO",P - Purchase,$16.85,"+2,500",41436,+6%,"+$42,125",,,,,PBIP
26,D,2018-02-12 15:09:04,2018-02-08,PBIP,Migliorino Anthony V.,"EVP, COO",P - Purchase,$16.80,"+2,000",18279,+12%,"+$33,597",,,,,PBIP
27,D,2018-02-07 11:21:30,2018-02-05,PBIP,Pollack Dennis,"Pres, CEO",P - Purchase,$17.06,"+2,500",39936,+7%,"+$42,650",,,,,PBIP
28,D,2018-01-31 10:25:13,2018-01-29,PBIP,Migliorino Anthony V.,"EVP, COO",P - Purchase,$17.60,"+1,000",16279,+7%,"+$17,600",,,,,PBIP
29,D,2018-01-30 10:49:56,2018-01-26,PBIP,Pollack Dennis,"Pres, CEO",P - Purchase,$17.63,"+2,500",37436,+7%,"+$44,075",,,,,PBIP
