,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-06 20:33:50,2021-12-02,PBYI,Hunt Douglas M,See Remarks,S - Sale,$2.90,-441,64790,-1%,"-$1,279",,,,,PBYI
1,,2021-12-06 18:55:49,2021-12-02,PBYI,Wong Alvin F,Chief Scientific Officer,S - Sale,$2.91,-1131,17152,-6%,"-$3,294",,,,,PBYI
2,,2021-12-06 18:37:22,2021-12-02,PBYI,Nougues Maximo F,CFO,S - Sale,$2.95,-162,67275,0%,-$478,,,,,PBYI
3,,2021-12-06 18:31:09,2021-12-02,PBYI,Auerbach Alan H,"Pres, CEO, 10%",S - Sale,$2.90,-1837,4412300,0%,"-$5,327",,,,,PBYI
4,,2021-11-03 18:22:56,2021-11-02,PBYI,Nougues Maximo F,CFO,S - Sale,$5.67,-156,67437,0%,-$885,,,,,PBYI
5,,2021-11-03 18:20:20,2021-11-02,PBYI,Hunt Douglas M,See Remarks,S - Sale,$5.64,-427,65231,-1%,"-$2,409",,,,,PBYI
6,,2021-11-03 18:17:29,2021-11-02,PBYI,Auerbach Alan H,"Pres, CEO, 10%",S - Sale,$5.63,-1795,4414137,0%,"-$10,112",,,,,PBYI
7,,2021-10-06 17:20:27,2021-10-04,PBYI,Nougues Maximo F,CFO,S - Sale,$6.20,-161,67593,0%,-$998,,,,,PBYI
8,,2021-10-06 17:15:39,2021-10-04,PBYI,Hunt Douglas M,See Remarks,S - Sale,$6.15,-443,65658,-1%,"-$2,726",,,,,PBYI
9,,2021-10-06 17:04:42,2021-10-04,PBYI,Auerbach Alan H,"Pres, CEO, 10%",S - Sale,$6.15,-1858,4415932,0%,"-$11,433",,,,,PBYI
10,,2021-09-07 15:36:34,2021-09-02,PBYI,Hunt Douglas M,See Remarks,S - Sale,$7.52,-422,66101,-1%,"-$3,174",,,,,PBYI
11,,2021-09-03 21:27:51,2021-09-02,PBYI,Auerbach Alan H,"Pres, CEO, 10%",S - Sale,$7.60,-1764,4417790,0%,"-$13,403",,,,,PBYI
12,,2021-09-03 19:40:20,2021-09-02,PBYI,Nougues Maximo F,CFO,S - Sale,$7.51,-155,67754,0%,"-$1,164",,,,,PBYI
13,,2021-08-03 17:52:08,2021-08-02,PBYI,Nougues Maximo F,CFO,S - Sale,$7.54,-154,67909,0%,"-$1,161",,,,,PBYI
14,,2021-08-03 17:49:24,2021-08-02,PBYI,Hunt Douglas M,See Remarks,S - Sale,$7.53,-420,66523,-1%,"-$3,161",,,,,PBYI
15,,2021-08-03 17:45:33,2021-08-02,PBYI,Auerbach Alan H,"Pres, CEO, 10%",S - Sale,$7.53,-1764,4419554,0%,"-$13,286",,,,,PBYI
16,,2021-07-06 19:42:08,2021-07-02,PBYI,Auerbach Alan H,"Pres, CEO, 10%",S - Sale,$8.84,-5332,4421318,0%,"-$47,121",,,,,PBYI
17,,2021-07-06 17:43:28,2021-07-02,PBYI,Nougues Maximo F,CFO,S - Sale,$9.26,-155,68063,0%,"-$1,435",,,,,PBYI
