,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-19 16:30:11,2021-11-19,PDEX,Farrell William James III,Dir,P - Purchase,$20.62,"+2,000",5100,+65%,"+$41,240",,,,,PDEX
1,,2021-09-20 18:00:09,2019-02-21,PDEX,Swenson Nicholas John,"Dir, 10%",S - Sale,$16.00,-447,1022343,0%,"-$7,152",,,,,PDEX
2,,2021-09-14 18:11:41,2021-09-13,PDEX,Philp Katrina Marie Kramer,Dir,P - Purchase,$24.41,"+3,468",10264,+51%,"+$84,654",,,,,PDEX
3,,2021-05-25 21:48:58,2021-05-25,PDEX,Charlton Alisha,CFO,S - Sale,$33.90,-978,4774,-17%,"-$33,150",,,,,PDEX
4,,2021-02-12 16:08:43,2021-02-12,PDEX,Farrell William James III,Dir,S - Sale,$26.36,-2500,3100,-45%,"-$65,898",,,,,PDEX
5,,2020-12-16 21:46:16,2020-12-15,PDEX,Swenson Nicholas John,"Dir, 10%",S - Sale,$39.60,-20000,1022790,-2%,"-$792,078",,,,,PDEX
6,,2020-11-23 21:00:24,2020-11-23,PDEX,Cabillot Raymond E,"Dir, 10%",S - Sale,$37.37,-5732,360846,-2%,"-$214,223",,,,,PDEX
7,,2020-11-20 21:04:14,2020-11-20,PDEX,Cabillot Raymond E,"Dir, 10%",S - Sale,$37.34,-6023,366578,-2%,"-$224,875",,,,,PDEX
8,M,2020-11-17 21:00:19,2020-11-16,PDEX,Cabillot Raymond E,"Dir, 10%",S - Sale,$37.80,-15311,372601,-4%,"-$578,711",,,,,PDEX
9,M,2020-11-12 19:00:27,2020-11-10,PDEX,Cabillot Raymond E,"Dir, 10%",S - Sale,$37.92,-37199,387912,-9%,"-$1,410,649",,,,,PDEX
10,,2020-11-12 12:00:31,2020-11-10,PDEX,Farrell William James III,Dir,S - Sale,$37.15,-2800,5600,-33%,"-$104,014",,,,,PDEX
11,M,2020-09-23 20:37:50,2020-09-22,PDEX,Van Kirk Richard Lee Jr,CEO,S - Sale,$27.49,-10265,48910,-17%,"-$282,152",,,,,PDEX
