,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-23 18:50:15,2021-11-19,PHAS,Burkhardt Glen,"VP, HR",S - Sale,$2.37,-5766,0,-100%,"-$13,665",,,,,PHAS
1,,2021-08-19 16:24:51,2021-08-18,PHAS,Hutson Nancy J,Dir,P - Purchase,$3.08,"+3,000",4000,+300%,"+$9,240",,,,,PHAS
2,,2021-08-18 18:07:19,2021-08-18,PHAS,Thorp Clay,Dir,P - Purchase,$3.00,"+10,000",32943,+44%,"+$30,000",,,,,PHAS
3,,2021-05-24 18:11:07,2021-05-20,PHAS,Burkhardt Glen,"VP, HR",S - Sale,$3.29,-3811,0,-100%,"-$12,538",,,,,PHAS
4,,2020-12-04 15:53:37,2020-12-03,PHAS,Harrigan Edmund,Dir,P - Purchase,$4.12,"+6,000",6000,New,"+$24,720",,,,,PHAS
5,M,2020-11-24 16:04:05,2020-11-23,PHAS,Thorp Clay,Dir,P - Purchase,$3.60,"+5,000",22943,+28%,"+$18,010",,,,,PHAS
6,,2020-11-23 18:27:21,2020-11-23,PHAS,Burkhardt Glen,"VP, HR",S - Sale,$3.45,-3497,0,-100%,"-$12,065",,,,,PHAS
7,,2019-07-03 16:28:36,2019-07-01,PHAS,Thorp Clay,"Dir, 10%",S - Sale,$14.00,-2908,2449884,0%,"-$40,712",,,,,PHAS
8,,2019-06-20 19:09:52,2019-06-18,PHAS,Thorp Clay,"Dir, 10%",S - Sale,$14.00,-400,2452803,0%,"-$5,600",,,,,PHAS
9,,2018-12-17 16:24:16,2018-12-13,PHAS,Ballance David James,"VP, Research, Sci. Affairs",P - Purchase,$3.94,"+1,000",7600,+15%,"+$3,940",,,,,PHAS
10,,2018-12-17 16:19:14,2018-12-17,PHAS,Hutson Nancy J,Dir,P - Purchase,$4.46,"+1,000",1000,New,"+$4,460",,,,,PHAS
11,,2018-12-17 16:18:01,2018-12-13,PHAS,Mow Jonathan P,CEO,P - Purchase,$3.69,"+1,000",51199,+2%,"+$3,690",,,,,PHAS
12,AM,2018-12-13 17:04:16,2018-12-07,PHAS,Mow Jonathan P,CEO,P - Purchase,$3.87,"+1,500",50199,+3%,"+$5,803",,,,,PHAS
13,,2018-12-11 16:18:06,2018-12-11,PHAS,York Michael,"VP, Corporate Development",P - Purchase,$3.88,"+1,500",1500,New,"+$5,820",,,,,PHAS
14,,2018-12-11 16:16:52,2018-12-07,PHAS,Sharp John P,"CFO, Secretary",P - Purchase,$3.84,"+5,000",5000,New,"+$19,200",,,,,PHAS
15,M,2018-12-11 16:12:59,2018-12-07,PHAS,Mow Jonathan P,CEO,P - Purchase,$3.87,"+3,000",51699,+6%,"+$11,616",,,,,PHAS
16,,2018-12-06 09:15:16,2018-12-04,PHAS,Thorp Clay,"Dir, 10%",P - Purchase,$3.13,"+4,000",2473848,0%,"+$12,520",,,,,PHAS
17,D,2018-10-24 17:01:22,2018-10-22,PHAS,New Enterprise Associates 13 LP,10%,P - Purchase,$5.00,"+1,800,000",6641634,+37%,"+$9,000,000",,,,,PHAS
18,D,2018-10-24 16:20:36,2018-10-22,PHAS,Tufts Linda,Dir,P - Purchase,$5.00,"+20,000",930693,+2%,"+$100,000",,,,,PHAS
19,D,2018-10-24 16:19:45,2018-10-22,PHAS,Thorp Clay,"Dir, 10%",P - Purchase,$5.00,"+300,000",2469848,+14%,"+$1,500,000",,,,,PHAS
20,D,2018-10-24 16:18:07,2018-10-22,PHAS,"Hatteras Venture Advisors Iii, LLC",10%,P - Purchase,$5.00,"+300,000",2458049,+14%,"+$1,500,000",,,,,PHAS
21,D,2018-10-24 16:16:59,2018-10-22,PHAS,Astrazeneca Plc,10%,P - Purchase,$5.00,"+600,000",3004554,+25%,"+$3,000,000",,,,,PHAS
