,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-10-21 16:30:14,2021-10-19,PTE,Seaburg David B,Dir,S - Sale,$0.55,-31037,1339232,-2%,"-$17,188",,,,,PTE
1,,2021-08-10 16:15:55,2021-08-09,PTE,Hague Richard,"Chf. Oper. Officer, Pres",S - Sale,$0.83,-10208,814123,-1%,"-$8,432",,,,,PTE
2,,2021-07-20 16:30:41,2021-07-19,PTE,Seaburg David B,CEO,S - Sale,$0.71,-31032,1088991,-3%,"-$22,126",,,,,PTE
3,,2021-07-20 16:30:27,2021-07-19,PTE,Hague Richard,"Chf. Oper. Officer, Pres",S - Sale,$0.71,-12600,788981,-2%,"-$8,984",,,,,PTE
4,,2021-07-01 16:15:56,2021-06-29,PTE,Hague Richard,"Chf. Oper. Officer, Pres",S - Sale,$1.02,-6311,805241,-1%,"-$6,437",,,,,PTE
5,,2021-05-19 16:15:43,2021-05-18,PTE,Cohen Peter A,Dir,P - Purchase,$0.98,"+265,000",704452,+60%,"+$259,382",,,,,PTE
6,,2021-04-21 16:30:39,2021-04-19,PTE,Seaburg David B,CEO,S - Sale,$0.87,-31031,1129813,-3%,"-$26,842",,,,,PTE
7,,2021-01-21 16:15:34,2021-01-19,PTE,Seaburg David B,CEO,S - Sale,$1.10,-31037,880240,-3%,"-$33,986",,,,,PTE
8,,2020-12-31 16:05:13,2020-12-30,PTE,Seaburg David B,CEO,S - Sale,$0.67,-8515,911277,-1%,"-$5,714",,,,,PTE
9,,2020-10-20 16:05:17,2020-10-19,PTE,Hoyler Cameron J.,"Gen. Counsel, EVP",S - Sale,$1.03,-9999,587438,-2%,"-$10,299",,,,,PTE
10,,2020-10-20 16:05:15,2020-10-19,PTE,Seaburg David B,CEO,S - Sale,$1.02,-31032,919792,-3%,"-$31,560",,,,,PTE
11,,2020-10-01 17:29:16,2020-09-30,PTE,Seaburg David B,CEO,S - Sale,$1.03,-8514,950824,-1%,"-$8,795",,,,,PTE
12,,2020-09-30 16:05:15,2020-09-29,PTE,Hoyler Cameron J.,"Gen. Counsel, EVP",S - Sale,$1.01,-936,597437,0%,-$945,,,,,PTE
13,,2020-09-23 16:05:11,2020-09-22,PTE,Hoyler Cameron J.,"Gen. Counsel, EVP",S - Sale,$1.02,-3500,598373,-1%,"-$3,570",,,,,PTE
