,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-12-02 16:58:19,2021-12-01,RGCO,Oliver Lawrence T.,"VP, Interim CFO, Sec., Treas.",P - Purchase,$21.86,+9,4349,0%,+$200,,,,,RGCO
1,,2021-11-30 15:05:07,2021-11-29,RGCO,Archer Jacqueline L.,Dir,P - Purchase,$21.95,"+1,000",7374,+16%,"+$21,953",,,,,RGCO
2,D,2021-11-19 12:43:06,2021-11-18,RGCO,Nester Paul W,"Pres, CEO",P - Purchase,$22.25,"+1,000",45306,+2%,"+$22,248",,,,,RGCO
3,D,2021-11-02 15:52:01,2021-11-01,RGCO,Oliver Lawrence T.,"VP, Interim CFO, Sec., Treas.",P - Purchase,$22.26,+9,4340,0%,+$200,,,,,RGCO
4,D,2021-10-04 12:46:18,2021-10-01,RGCO,Oliver Lawrence T.,"VP, Interim CFO, Sec., Treas.",P - Purchase,$22.55,+9,4315,0%,+$200,,,,,RGCO
5,,2021-09-03 12:16:10,2021-09-01,RGCO,Oliver Lawrence T.,"VP, Interim CFO, Sec., Treas.",P - Purchase,$23.97,+8,4307,0%,+$200,,,,,RGCO
6,D,2021-08-03 11:42:57,2021-08-02,RGCO,Oliver Lawrence T.,"VP, Interim CFO, Sec., Treas.",P - Purchase,$25.50,+8,4298,0%,+$200,,,,,RGCO
7,,2021-08-03 11:36:06,2021-08-02,RGCO,Agee Nancy H,Dir,P - Purchase,$25.50,+59,41318,0%,"+$1,500",,,,,RGCO
8,D,2021-07-02 16:15:01,2021-07-01,RGCO,Oliver Lawrence T.,"VP, Interim CFO, Sec., Treas.",P - Purchase,$25.25,+8,4278,0%,+$200,,,,,RGCO
9,,2021-07-02 16:06:56,2021-07-01,RGCO,Agee Nancy H,Dir,P - Purchase,$25.25,+59,40830,0%,"+$1,500",,,,,RGCO
10,,2021-06-24 08:05:29,2021-06-23,RGCO,Williamson John B III,Dir,P - Purchase,$22.25,"+1,000",140380,+1%,"+$22,250",,,,,RGCO
11,,2021-06-03 13:08:24,2021-06-01,RGCO,Burton Randall P. II,"Former VP, CFO, Sec., Treas.",P - Purchase,$23.03,+2,3940,0%,+$50,,,,,RGCO
12,,2021-06-03 11:14:09,2021-06-01,RGCO,Agee Nancy H,Dir,P - Purchase,$23.03,+65,40599,0%,"+$1,500",,,,,RGCO
13,D,2021-06-02 17:29:05,2021-06-01,RGCO,Oliver Lawrence T.,"VP, Interim CFO, Sec., Treas.",P - Purchase,$23.03,+9,4270,0%,+$200,,,,,RGCO
14,D,2021-05-26 16:46:37,2021-05-25,RGCO,Oliver Lawrence T.,"VP, Interim CFO, Sec., Treas.",P - Purchase,$22.40,"+1,000",4261,+31%,"+$22,400",,,,,RGCO
15,,2021-05-24 15:36:39,2021-05-21,RGCO,Archer Jacqueline L.,Dir,P - Purchase,$22.51,"+1,000",5133,+24%,"+$22,510",,,,,RGCO
16,D,2021-05-04 17:07:29,2021-05-03,RGCO,Burton Randall P. II,"Former VP, CFO, Sec., Treas.",P - Purchase,$22.09,+5,3938,0%,+$100,,,,,RGCO
17,D,2021-05-04 16:48:16,2021-05-03,RGCO,Oliver Lawrence T.,"VP, Interim CFO, Sec., Treas.",P - Purchase,$22.09,+9,3261,0%,+$200,,,,,RGCO
18,,2021-05-04 15:17:21,2021-05-03,RGCO,Agee Nancy H,Dir,P - Purchase,$22.09,+68,40345,0%,"+$1,500",,,,,RGCO
19,D,2021-04-02 16:28:17,2021-04-01,RGCO,Oliver Lawrence T.,VP,P - Purchase,$22.41,+9,3237,0%,+$200,,,,,RGCO
20,D,2021-04-02 16:19:34,2021-04-01,RGCO,Burton Randall P. II,"VP, Treasurer, Secretary, CFO",P - Purchase,$22.41,+4,3909,0%,+$100,,,,,RGCO
21,,2021-04-02 15:34:30,2021-04-01,RGCO,Agee Nancy H,Dir,P - Purchase,$22.41,+67,39790,0%,"+$1,500",,,,,RGCO
22,D,2021-03-02 16:57:10,2021-03-01,RGCO,Oliver Lawrence T.,VP,P - Purchase,$23.10,+9,3228,0%,+$200,,,,,RGCO
23,D,2021-03-02 16:48:58,2021-03-01,RGCO,Burton Randall P. II,"VP, Treasurer, Secretary, CFO",P - Purchase,$23.10,+4,3905,0%,+$100,,,,,RGCO
24,,2021-03-02 15:29:46,2021-03-01,RGCO,Agee Nancy H,Dir,P - Purchase,$23.10,+65,39530,0%,"+$1,500",,,,,RGCO
25,D,2021-02-16 12:11:46,2021-02-12,RGCO,Nester Paul W,"Pres, CEO",P - Purchase,$22.79,+600,39719,+2%,"+$13,673",,,,,RGCO
26,,2021-02-16 11:49:23,2021-02-12,RGCO,Archer Jacqueline L.,Dir,P - Purchase,$22.98,"+1,000",3487,+40%,"+$22,980",,,,,RGCO
27,D,2021-02-02 16:44:46,2021-02-01,RGCO,Oliver Lawrence T.,VP,P - Purchase,$23.27,+9,3220,0%,+$200,,,,,RGCO
28,D,2021-02-02 16:29:30,2021-02-01,RGCO,Burton Randall P. II,"VP, Treasurer, Secretary, CFO",P - Purchase,$23.27,+4,3901,0%,+$100,,,,,RGCO
29,,2021-02-02 14:18:03,2021-02-01,RGCO,Agee Nancy H,Dir,P - Purchase,$23.27,+64,39278,0%,"+$1,500",,,,,RGCO
30,D,2021-01-06 13:06:22,2021-01-04,RGCO,Oliver Lawrence T.,VP,P - Purchase,$24.21,+8,3198,0%,+$200,,,,,RGCO
