,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-08-16 17:05:54,2021-08-16,SLCT,McLamb Carlie C Jr,Dir,P - Purchase,$16.92,"+3,000",80859,+4%,"+$50,760",,,,,SLCT
1,AD,2021-08-10 15:50:00,2021-08-09,SLCT,McLamb Carlie C Jr,Dir,P - Purchase,$16.78,"+1,791",80859,+2%,"+$30,053",,,,,SLCT
2,D,2021-08-10 15:47:04,2021-06-08,SLCT,McLamb Carlie C Jr,Dir,P - Purchase,$16.78,"+1,791",80859,+2%,"+$30,053",,,,,SLCT
3,D,2021-06-08 10:33:28,2021-06-08,SLCT,McLamb Carlie C Jr,Dir,P - Purchase,$16.86,+597,77859,+1%,"+$10,065",,,,,SLCT
4,D,2021-03-10 10:51:10,2021-03-09,SLCT,McLamb Carlie C Jr,Dir,P - Purchase,$12.15,"+1,209",77262,+2%,"+$14,689",,,,,SLCT
5,D,2021-02-03 11:43:49,2021-02-03,SLCT,Hedgepeth William L,"Pres, CEO",P - Purchase,$9.55,"+4,500",60047,+8%,"+$42,975",,,,,SLCT
6,D,2020-05-21 11:59:34,2020-05-20,SLCT,Betts Walter Keith,Chief Banking Officer,P - Purchase,$7.19,"+1,420",6619,+27%,"+$10,208",,,,,SLCT
7,D,2020-05-20 12:37:51,2020-05-19,SLCT,Betts Walter Keith,Chief Banking Officer,P - Purchase,$0.00,"+3,400",5199,+189%,+$0,,,,,SLCT
8,D,2020-05-19 14:07:58,2020-05-18,SLCT,Betts Walter Keith,Chief Banking Officer,P - Purchase,$6.82,+299,1799,+20%,"+$2,040",,,,,SLCT
9,D,2020-05-15 10:21:03,2020-05-14,SLCT,Betts Walter Keith,Chief Banking Officer,P - Purchase,$6.26,"+1,500",1500,New,"+$9,391",,,,,SLCT
10,D,2020-05-15 10:21:03,2020-02-03,SLCT,Betts Walter Keith,Chief Banking Officer,S - Sale+OE,$11.64,-100,1500,-6%,"-$1,164",,,,,SLCT
11,D,2020-03-27 15:51:11,2020-03-27,SLCT,McLamb Carlie C Jr,Dir,P - Purchase,$7.15,"+1,224",74704,+2%,"+$8,752",,,,,SLCT
12,D,2020-03-27 13:17:51,2020-03-27,SLCT,Hedgepeth William L,"Pres, CEO",P - Purchase,$7.67,"+5,000",54897,+10%,"+$38,350",,,,,SLCT
13,D,2020-03-10 16:20:29,2020-03-10,SLCT,Overton V. Parker,Dir,P - Purchase,$9.33,"+5,000",151038,+3%,"+$46,648",,,,,SLCT
14,D,2020-02-10 11:53:09,2020-02-07,SLCT,Tobin David Richard Jr,EVP,S - Sale+OE,$11.61,-1000,700,-59%,"-$11,608",,,,,SLCT
15,A,2020-01-23 14:45:35,2019-08-08,SLCT,Harris Oscar N,Dir,P - Purchase,$10.81,"+1,200",323592,0%,"+$12,972",,,,,SLCT
16,D,2019-11-22 13:43:37,2019-11-21,SLCT,McLamb Carlie C Jr,Dir,P - Purchase,$11.85,+675,74126,+1%,"+$7,999",,,,,SLCT
17,D,2019-08-08 11:41:21,2019-03-22,SLCT,Harris Oscar N,Dir,P - Purchase,$10.81,"+1,200",415286,0%,"+$12,972",,,,,SLCT
18,D,2019-03-22 15:23:57,2019-03-22,SLCT,Harris Oscar N,Dir,P - Purchase,$11.25,"+10,000",414086,+2%,"+$112,520",,,,,SLCT
19,D,2019-03-21 16:24:11,2018-09-26,SLCT,Stallings K. Clark,Dir,S - Sale+OE,$12.39,-1081,977857,0%,"-$13,388",,,,,SLCT
