,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-12-16 16:01:32,2021-12-15,TCON,Opaleye Management Inc.,10%,P - Purchase,$2.43,"+21,964",2770046,+1%,"+$53,287",,,,,TCON
1,DM,2021-12-15 16:05:34,2021-12-13,TCON,Opaleye Management Inc.,10%,P - Purchase,$2.56,"+57,204",2991793,+2%,"+$146,498",,,,,TCON
2,DM,2021-12-07 16:05:35,2021-12-03,TCON,Opaleye Management Inc.,10%,P - Purchase,$2.29,"+112,007",2930652,+4%,"+$256,385",,,,,TCON
3,DM,2021-12-03 17:14:32,2021-12-01,TCON,Opaleye Management Inc.,10%,P - Purchase,$2.39,"+60,500",2808871,+2%,"+$144,820",,,,,TCON
4,M,2021-11-22 16:21:05,2021-11-18,TCON,Theuer Charles,"Pres, CEO",P - Purchase,$2.83,"+4,181",219318,+2%,"+$11,831",,,,,TCON
5,,2021-11-09 07:00:11,2021-11-05,TCON,Theuer Charles,"Pres, CEO",P - Purchase,$3.41,"+4,000",215137,+2%,"+$13,655",,,,,TCON
6,,2021-08-18 06:05:08,2021-08-16,TCON,Theuer Charles,"Pres, CEO",P - Purchase,$3.56,"+3,000",207732,+1%,"+$10,680",,,,,TCON
7,,2021-08-17 17:01:13,2021-08-13,TCON,Brown Scott B.,CFO,P - Purchase,$3.69,"+1,000",7628,+15%,"+$3,695",,,,,TCON
8,,2021-07-27 06:00:28,2021-07-26,TCON,Pelletier Saundra L,Dir,P - Purchase,$3.82,"+6,545",12045,+119%,"+$25,002",,,,,TCON
9,,2021-07-27 06:00:14,2021-07-26,TCON,Larue William R,Dir,P - Purchase,$3.82,"+6,545",7883,+489%,"+$25,002",,,,,TCON
10,,2021-03-09 06:00:16,2021-03-08,TCON,Brown Scott B.,CFO,P - Purchase,$8.30,"+1,000",3128,+47%,"+$8,296",,,,,TCON
11,,2021-01-28 06:00:15,2021-01-27,TCON,Theuer Charles,"Pres, CEO",P - Purchase,$8.98,"+11,000",201232,+6%,"+$98,771",,,,,TCON
12,,2020-12-30 18:24:32,2020-12-30,TCON,"Ikarian Capital, LLC","Member of 10% Group, 10%",P - Purchase,$9.61,"+520,291",2716840,+24%,"+$4,999,997",,,,,TCON
13,,2020-12-30 06:00:12,2020-12-29,TCON,Wiggins Mark C,Chief Business Officer,P - Purchase,$10.57,"+1,000",13700,+8%,"+$10,570",,,,,TCON
14,,2020-12-30 06:00:09,2020-12-29,TCON,Theuer Charles,"Pres, CEO",P - Purchase,$9.98,"+1,000",190232,+1%,"+$9,980",,,,,TCON
15,D,2020-12-28 09:53:02,2020-12-22,TCON,Opaleye Management Inc.,10%,P - Purchase,$8.06,"+496,277",2518371,+25%,"+$3,999,993",,,,,TCON
16,M,2020-11-12 18:18:24,2020-10-29,TCON,"Ikarian Capital, LLC","Member of 10% Group, 10%",P - Purchase,$5.10,"+34,000",2196549,+2%,"+$173,269",,,,,TCON
17,D,2020-10-23 21:30:09,2020-10-21,TCON,Opaleye Management Inc.,10%,P - Purchase,$4.40,"+8,656",2022094,0%,"+$38,060",,,,,TCON
18,,2020-10-23 06:00:15,2020-10-21,TCON,Theuer Charles,"Pres, CEO",P - Purchase,$4.38,"+2,000",189232,+1%,"+$8,769",,,,,TCON
19,DM,2020-09-25 21:30:10,2020-09-23,TCON,Opaleye Management Inc.,10%,P - Purchase,$4.73,"+78,734",2013438,+4%,"+$372,095",,,,,TCON
20,,2020-09-25 06:00:20,2020-09-23,TCON,Theuer Charles,"Pres, CEO",P - Purchase,$4.72,"+5,000",186882,+3%,"+$23,599",,,,,TCON
21,AM,2020-09-17 21:22:57,2020-09-04,TCON,"Ikarian Capital, LLC","Member of 10% Group, 10%",P - Purchase,$3.28,"+322,471",2162549,+18%,"+$1,057,387",,,,,TCON
22,M,2020-09-15 21:19:43,2020-09-04,TCON,"Ikarian Capital, LLC","Member of 10% Group, 10%",P - Purchase,$3.28,"+322,471",2162549,+18%,"+$1,057,387",,,,,TCON
23,,2020-09-14 13:49:48,2020-09-10,TCON,Wiggins Mark C,Chief Business Officer,P - Purchase,$4.14,"+7,000",12350,+131%,"+$28,953",,,,,TCON
24,DM,2020-09-09 18:15:41,2020-09-04,TCON,Opaleye Management Inc.,10%,P - Purchase,$3.38,"+56,558",1934704,+3%,"+$190,902",,,,,TCON
25,,2020-09-09 06:00:18,2020-09-04,TCON,Theuer Charles,"Pres, CEO",P - Purchase,$2.58,"+10,000",181882,+6%,"+$25,750",,,,,TCON
