,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-09-28 17:04:03,2021-09-28,TNXP,Lederman Seth,CEO,P - Purchase,$0.61,"+12,000",148024,+9%,"+$7,320",,,,,TNXP
1,,2021-05-26 09:07:43,2021-05-25,TNXP,Goodman Daniel Wintner,Dir,P - Purchase,$1.12,"+5,000",5001,>999%,"+$5,600",,,,,TNXP
2,,2021-03-25 07:00:27,2021-03-24,TNXP,Lederman Seth,CEO,P - Purchase,$1.32,"+16,733",136024,+14%,"+$22,088",,,,,TNXP
3,,2021-01-04 17:01:25,2020-12-30,TNXP,Lederman Seth,CEO,P - Purchase,$0.68,"+35,000",119291,+42%,"+$23,800",,,,,TNXP
4,,2020-09-01 09:03:19,2020-08-31,TNXP,Treco James,Dir,P - Purchase,$0.89,"+5,500",10000,+122%,"+$4,895",,,,,TNXP
5,,2020-08-24 09:00:11,2020-08-20,TNXP,Bell Margaret Smith,Dir,P - Purchase,$0.93,"+5,391",5391,New,"+$4,997",,,,,TNXP
6,,2020-08-19 09:02:24,2020-08-17,TNXP,Sullivan Gregory M,Chief Medical Officer,P - Purchase,$1.03,"+20,000",21405,>999%,"+$20,600",,,,,TNXP
7,,2020-08-17 09:06:58,2020-08-14,TNXP,Treco James,Dir,P - Purchase,$1.06,"+4,500",4500,New,"+$4,770",,,,,TNXP
8,,2020-08-17 09:04:43,2020-08-13,TNXP,Olukotun Adeoye Y,Dir,P - Purchase,$0.94,"+5,350",5350,New,"+$5,029",,,,,TNXP
9,,2020-08-17 09:03:00,2020-08-13,TNXP,Lederman Seth,CEO,P - Purchase,$0.91,"+60,000",84291,+247%,"+$54,600",,,,,TNXP
10,,2020-08-17 09:00:42,2020-08-13,TNXP,Bagger Richard H,Dir,P - Purchase,$0.91,"+10,000",10000,New,"+$9,100",,,,,TNXP
11,,2019-12-04 07:00:27,2019-12-03,TNXP,Lederman Seth,CEO,P - Purchase,$1.16,"+20,000",24291,+466%,"+$23,180",,,,,TNXP
12,,2019-04-01 08:22:29,2019-03-29,TNXP,Lederman Seth,CEO,P - Purchase,$2.49,"+5,000",42883,+13%,"+$12,440",,,,,TNXP
13,,2019-03-28 17:13:49,2019-03-26,TNXP,Lederman Seth,CEO,P - Purchase,$2.38,"+25,000",37883,+194%,"+$59,375",,,,,TNXP
14,,2018-07-02 16:30:21,2018-06-29,TNXP,Lederman Seth,CEO,P - Purchase,$4.64,+500,124807,0%,"+$2,320",,,,,TNXP
15,,2018-06-29 16:30:40,2018-06-28,TNXP,Lederman Seth,CEO,P - Purchase,$4.58,+500,124307,0%,"+$2,290",,,,,TNXP
16,,2018-06-28 16:30:21,2018-06-27,TNXP,Lederman Seth,CEO,P - Purchase,$4.55,+500,123807,0%,"+$2,275",,,,,TNXP
17,,2018-06-27 16:30:40,2018-06-25,TNXP,Mario Ernest,Dir,P - Purchase,$4.48,"+16,500",50000,+49%,"+$73,920",,,,,TNXP
18,,2018-06-15 07:05:32,2018-06-14,TNXP,Sullivan Gregory M,Chief Medical Officer,P - Purchase,$3.97,"+10,000",20482,+95%,"+$39,650",,,,,TNXP
19,,2018-06-14 16:06:20,2018-06-12,TNXP,Lederman Seth,CEO,P - Purchase,$4.37,"+3,000",120393,+3%,"+$13,110",,,,,TNXP
20,,2018-06-14 16:05:43,2018-06-14,TNXP,Saenger Bradley,CFO,P - Purchase,$4.10,+300,3079,+11%,"+$1,230",,,,,TNXP
21,,2018-06-14 16:05:22,2018-06-14,TNXP,Morris Jessica Edgar,COO,P - Purchase,$4.19,+300,1638,+22%,"+$1,257",,,,,TNXP
22,,2018-06-06 16:05:34,2018-06-01,TNXP,Rhodes John B,Dir,P - Purchase,$3.33,"+7,500",23470,+47%,"+$24,975",,,,,TNXP
23,,2018-05-30 16:05:18,2018-05-25,TNXP,Lederman Seth,CEO,P - Purchase,$3.17,"+4,000",114479,+4%,"+$12,680",,,,,TNXP
24,,2017-12-27 14:04:32,2017-12-26,TNXP,Lederman Seth,CEO,P - Purchase,$3.61,"+5,300",116307,+5%,"+$19,133",,,,,TNXP
25,M,2017-12-22 16:58:13,2017-12-14,TNXP,Mario Ernest,Dir,S - Sale,$3.51,-36967,33500,-52%,"-$129,814",,,,,TNXP
