,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-14 16:07:31,2021-12-13,TUSK,Smith Arthur L,Dir,P - Purchase,$2.00,"+25,000",180326,+16%,"+$50,000",,,,,TUSK
1,,2021-03-11 17:44:39,2021-03-11,TUSK,Layton Mark E.,"CFO, Secretary",S - Sale,$5.22,-55789,495777,-10%,"-$290,984",,,,,TUSK
2,M,2021-03-11 17:43:23,2021-03-09,TUSK,Straehla Arty,CEO,S - Sale,$5.34,-148990,1333119,-10%,"-$796,077",,,,,TUSK
3,,2020-11-13 16:10:06,2020-11-10,TUSK,Straehla Arty,CEO,S - Sale,$1.78,-5000,1482109,0%,"-$8,880",,,,,TUSK
4,,2020-09-08 16:08:37,2020-09-04,TUSK,Smith Arthur L,Dir,P - Purchase,$1.29,"+20,000",129685,+18%,"+$25,800",,,,,TUSK
5,,2019-11-22 17:35:10,2019-11-20,TUSK,Wexford Capital LP,"Dir, 10%",P - Purchase,$1.33,"+16,692",22045273,0%,"+$22,169",,,,,TUSK
6,,2019-11-22 16:07:20,2019-11-21,TUSK,Ross Matthew,Dir,S - Sale,$1.44,-2913,19815,-13%,"-$4,195",,,,,TUSK
7,,2019-11-15 17:10:15,2019-11-13,TUSK,Wexford Capital LP,"Dir, 10%",P - Purchase,$1.36,"+35,904",22028581,0%,"+$48,890",,,,,TUSK
8,,2018-12-06 16:05:32,2018-12-03,TUSK,Smith Arthur L,Dir,S - Sale,$24.85,-6000,12235,-33%,"-$149,099",,,,,TUSK
9,M,2018-11-13 16:12:08,2018-11-08,TUSK,Straehla Arty,CEO,S - Sale,$26.68,-38841,187109,-17%,"-$1,036,442",,,,,TUSK
10,,2018-08-01 19:27:43,2018-07-30,TUSK,Gulfport Energy Corp,"Dir, 10%",S - Sale,$38.01,-118974,9829548,-1%,"-$4,522,202",,,,,TUSK
11,,2018-08-01 17:10:05,2018-07-30,TUSK,Meh Sub LLC,"Dir, 10%",S - Sale,$38.01,-266026,21991128,-1%,"-$10,111,648",,,,,TUSK
12,,2018-07-03 16:22:22,2018-06-29,TUSK,Gulfport Energy Corp,"Dir, 10%",S - Sale,$38.01,-1235600,9948522,-11%,"-$46,965,156",,,,,TUSK
13,,2018-07-03 14:43:38,2018-06-29,TUSK,Meh Sub LLC,"Dir, 10%",S - Sale,$38.01,-2764400,22257154,-11%,"-$105,074,844",,,,,TUSK
14,,2018-03-07 20:35:14,2018-03-01,TUSK,Layton Mark E.,"CFO, Secretary",S - Sale,$26.13,-4373,52702,-8%,"-$114,252",,,,,TUSK
