,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-03 16:52:44,2021-12-03,UIHC,Hogan Michael,Dir,P - Purchase,$4.46,"+10,000",233754,+4%,"+$44,600",,,,,UIHC
1,,2021-12-03 08:24:48,2021-12-01,UIHC,Maroney Patrick,Dir,P - Purchase,$4.31,"+7,500",59750,+14%,"+$32,325",,,,,UIHC
2,,2021-12-03 08:24:31,2021-12-01,UIHC,Hogan Michael,Dir,P - Purchase,$4.30,"+10,000",223754,+5%,"+$43,000",,,,,UIHC
3,,2021-11-17 16:47:37,2021-11-16,UIHC,Shirazi Brooke,Chief Underwriting Officer,P - Purchase,$4.72,"+12,000",137000,+10%,"+$56,640",,,,,UIHC
4,,2021-09-29 16:23:15,2021-09-28,UIHC,Shirazi Brooke,Chief Underwriting Officer,P - Purchase,$3.52,"+25,000",125000,+25%,"+$88,000",,,,,UIHC
5,,2021-09-28 16:23:26,2021-09-27,UIHC,Hogan Michael,Dir,P - Purchase,$3.66,"+10,000",213754,+5%,"+$36,600",,,,,UIHC
6,,2021-09-24 16:25:15,2021-09-23,UIHC,Poitevint Alec II,Dir,P - Purchase,$3.45,"+21,550",1204350,+2%,"+$74,368",,,,,UIHC
7,M,2021-09-23 16:45:02,2021-09-21,UIHC,Poitevint Alec II,Dir,P - Purchase,$3.22,"+52,312",658800,+9%,"+$168,411",,,,,UIHC
8,,2021-09-23 16:44:43,2021-09-22,UIHC,Martz Brad,"Pres, CFO",P - Purchase,$3.37,"+7,500",74945,+11%,"+$25,275",,,,,UIHC
9,,2021-09-22 16:05:41,2021-09-21,UIHC,Shirazi Brooke,Chief Underwriting Officer,P - Purchase,$3.10,"+30,446",100000,+44%,"+$94,383",,,,,UIHC
10,,2021-09-21 16:07:14,2021-09-20,UIHC,Shirazi Brooke,Chief Underwriting Officer,P - Purchase,$3.17,"+69,554",69554,New,"+$220,486",,,,,UIHC
11,,2021-09-17 16:03:07,2021-09-15,UIHC,Whittemore Kent G,Dir,P - Purchase,$2.94,"+15,000",324885,+5%,"+$44,037",,,,,UIHC
12,,2021-09-15 16:43:04,2021-09-15,UIHC,St John Scott,Chief Claims Officer,P - Purchase,$2.93,+374,20707,+2%,"+$1,096",,,,,UIHC
13,,2021-08-26 16:13:38,2021-08-11,UIHC,Whittemore Kent G,Dir,P - Purchase,$3.98,+40,309885,0%,+$159,,,,,UIHC
14,,2021-05-18 16:03:05,2021-05-18,UIHC,Maroney Patrick,Dir,P - Purchase,$5.85,"+8,400",52250,+19%,"+$49,140",,,,,UIHC
15,,2021-05-05 16:17:58,2019-01-22,UIHC,Peed Daniel,"CEO, 10%",S - Sale,$16.07,-3900,17322436,0%,"-$62,673",,,,,UIHC
16,A,2021-03-30 17:57:00,2021-03-26,UIHC,Hogan Michael,Dir,P - Purchase,$7.21,"+20,000",198754,+11%,"+$144,114",,,,,UIHC
17,,2021-03-30 17:46:38,2021-03-26,UIHC,Hogan Michael,Dir,P - Purchase,$7.20,"+35,000",213754,+20%,"+$252,114",,,,,UIHC
18,,2021-03-29 16:27:37,2021-03-26,UIHC,Davis Kern Michael,Dir,P - Purchase,$7.25,"+1,080",274618,0%,"+$7,830",,,,,UIHC
19,,2021-03-19 16:04:34,2021-03-19,UIHC,Maroney Patrick,Dir,P - Purchase,$7.36,"+6,700",38850,+21%,"+$49,312",,,,,UIHC
20,,2021-03-19 16:02:27,2021-03-17,UIHC,Poitevint Alec II,Dir,P - Purchase,$7.49,"+25,000",629266,+4%,"+$187,309",,,,,UIHC
21,,2020-12-30 16:11:36,2020-12-28,UIHC,Hogan Michael,Dir,P - Purchase,$5.95,"+10,000",178754,+6%,"+$59,500",,,,,UIHC
22,M,2020-12-28 16:06:17,2020-12-23,UIHC,Hogan Michael,Dir,P - Purchase,$5.97,"+27,000",168754,+19%,"+$161,080",,,,,UIHC
23,,2020-12-23 15:59:35,2020-12-21,UIHC,Whittemore Kent G,Dir,P - Purchase,$5.19,"+5,000",304845,+2%,"+$25,950",,,,,UIHC
24,M,2020-12-23 15:58:46,2020-12-21,UIHC,Hogan Michael,Dir,P - Purchase,$5.14,"+24,009",141754,+20%,"+$123,486",,,,,UIHC
25,,2020-12-23 15:58:01,2020-12-22,UIHC,Hudson Sherrill W,Dir,P - Purchase,$5.20,"+10,000",178403,+6%,"+$51,995",,,,,UIHC
26,,2020-12-23 09:14:03,2020-12-21,UIHC,Maroney Patrick,Dir,P - Purchase,$5.19,"+9,400",32150,+41%,"+$48,786",,,,,UIHC
27,,2020-12-21 16:20:03,2020-12-21,UIHC,St John Scott,Chief Claims Officer,P - Purchase,$5.22,"+1,220",18436,+7%,"+$6,364",,,,,UIHC
28,M,2020-12-07 16:08:14,2020-08-18,UIHC,Hogan Michael,Dir,P - Purchase,$6.29,"+1,852",117745,+2%,"+$11,657",,,,,UIHC
29,D,2020-05-27 16:21:15,2020-05-26,UIHC,Martz Brad,CFO,P - Purchase,$7.50,"+2,950",59475,+5%,"+$22,125",,,,,UIHC
30,M,2020-05-26 16:06:11,2020-05-22,UIHC,Poitevint Alec II,Dir,P - Purchase,$7.47,"+10,000",1100488,+1%,"+$74,691",,,,,UIHC
31,,2020-05-26 16:03:55,2020-05-26,UIHC,Hogan Michael,Dir,P - Purchase,$8.02,+682,115893,+1%,"+$5,467",,,,,UIHC
32,M,2020-05-21 16:27:14,2020-05-20,UIHC,Hogan Michael,Dir,P - Purchase,$7.97,"+5,000",115211,+5%,"+$39,850",,,,,UIHC
33,M,2020-05-15 17:00:18,2020-05-13,UIHC,Hogan Michael,Dir,P - Purchase,$7.12,"+5,000",110211,+5%,"+$35,613",,,,,UIHC
34,,2020-03-23 16:08:15,2020-03-20,UIHC,Poitevint Alec II,Dir,P - Purchase,$7.82,"+11,265",1080488,+1%,"+$88,047",,,,,UIHC
35,D,2020-03-13 16:10:55,2020-03-11,UIHC,St John Scott,Chief Claims Officer,P - Purchase,$8.24,"+6,266",16146,+63%,"+$51,632",,,,,UIHC
36,,2020-03-13 16:06:21,2020-03-11,UIHC,Hogan Michael,Dir,P - Purchase,$9.37,+607,95211,+1%,"+$5,691",,,,,UIHC
37,,2020-03-10 16:05:26,2020-02-24,UIHC,Hogan Michael,Dir,P - Purchase,$10.15,"+5,000",94603,+6%,"+$50,750",,,,,UIHC
38,,2020-03-10 16:04:14,2020-03-09,UIHC,Maroney Patrick,Dir,P - Purchase,$9.16,"+4,000",12750,+46%,"+$36,640",,,,,UIHC
39,,2020-03-10 16:02:57,2020-03-09,UIHC,Hudson Sherrill W,Dir,P - Purchase,$8.97,"+10,000",158403,+7%,"+$89,700",,,,,UIHC
40,M,2020-03-03 16:32:54,2017-04-21,UIHC,Hood III William H.,Dir,P - Purchase,$15.08,+429,714620,0%,"+$6,471",,,,,UIHC
41,M,2020-03-02 16:09:13,2019-12-23,UIHC,Whittemore Kent G,Dir,P - Purchase,$9.62,"+5,100",289845,+2%,"+$49,085",,,,,UIHC
42,,2020-03-02 16:07:34,2020-02-28,UIHC,Poitevint Alec II,Dir,P - Purchase,$9.55,"+3,250",1069223,0%,"+$31,038",,,,,UIHC
43,,2019-11-26 16:52:26,2019-11-26,UIHC,Hogan Michael,Dir,P - Purchase,$13.01,+370,89603,0%,"+$4,810",,,,,UIHC
44,,2019-11-18 16:04:30,2019-11-18,UIHC,Maroney Patrick,Dir,P - Purchase,$12.79,"+1,000",8750,+13%,"+$12,790",,,,,UIHC
45,,2019-11-15 16:24:44,2019-11-13,UIHC,St John Scott,Chief Claims Officer,P - Purchase,$12.84,"+1,564",9880,+19%,"+$20,082",,,,,UIHC
46,,2019-11-07 16:03:10,2019-11-06,UIHC,Hudson Sherrill W,Dir,P - Purchase,$12.69,"+10,000",148403,+7%,"+$126,900",,,,,UIHC
47,M,2019-08-28 16:11:58,2017-11-29,UIHC,Hogan Michael,Dir,P - Purchase,$16.74,"+1,546",89234,+2%,"+$25,869",,,,,UIHC
48,,2019-08-22 16:11:42,2019-08-20,UIHC,Hogan Michael,Dir,P - Purchase,$3.22,"+4,000",87688,+5%,"+$12,860",,,,,UIHC
49,,2019-08-21 16:05:31,2019-08-21,UIHC,Hogan Michael,Dir,P - Purchase,$0.00,"+3,300",83688,+4%,+$0,,,,,UIHC
