,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-13 15:43:58,2021-12-10,VABK,Houston Linda M,Dir,P - Purchase,$36.00,"+1,000",5334,+23%,"+$36,000",,,,,VABK
1,,2021-11-16 19:16:48,2021-11-15,VABK,Holland James T,Dir,P - Purchase,$36.87,"+1,000",21098,+5%,"+$36,871",,,,,VABK
2,,2021-09-24 14:06:00,2021-09-22,VABK,Dittmar William D Jr.,Dir,P - Purchase,$37.00,"+1,599",206689,+1%,"+$59,163",,,,,VABK
3,,2021-09-15 18:10:42,2021-09-13,VABK,Dittmar William D Jr.,Dir,P - Purchase,$36.50,+22,205090,0%,+$803,,,,,VABK
4,,2021-08-27 09:36:56,2021-08-25,VABK,Wells Gregory L,Dir,P - Purchase,$37.38,+450,10265,+5%,"+$16,821",,,,,VABK
5,,2021-06-21 11:08:47,2021-06-17,VABK,Keyser Jay B,Dir,P - Purchase,$36.73,+200,7990,+3%,"+$7,345",,,,,VABK
6,,2021-06-14 11:52:27,2021-06-10,VABK,Carter Kevin T,Dir,P - Purchase,$33.00,"+1,550",5160,+43%,"+$51,150",,,,,VABK
7,,2021-05-17 13:50:59,2021-05-14,VABK,Houston Linda M,Dir,P - Purchase,$31.00,"+1,000",4334,+30%,"+$31,000",,,,,VABK
8,,2021-05-11 17:09:16,2021-05-11,VABK,Holland James T,Dir,P - Purchase,$32.00,+800,20098,+4%,"+$25,600",,,,,VABK
9,,2021-05-11 13:36:35,2021-05-07,VABK,Rust Glenn W,"Pres, CEO",P - Purchase,$31.86,+580,32095,+2%,"+$18,479",,,,,VABK
10,,2021-05-10 12:28:18,2021-05-06,VABK,Dittmar William D Jr.,Dir,P - Purchase,$32.03,"+1,000",205068,0%,"+$32,030",,,,,VABK
11,M,2021-05-10 12:27:19,2021-05-06,VABK,Carter Kevin T,Dir,S - Sale,$32.22,-1550,3610,-30%,"-$49,939",,,,,VABK
12,M,2021-05-06 16:50:00,2021-05-04,VABK,Holland James T,Dir,P - Purchase,$33.50,+600,19298,+3%,"+$20,100",,,,,VABK
13,,2021-05-06 12:17:38,2021-05-05,VABK,Keyser Jay B,Dir,P - Purchase,$33.00,+200,7790,+3%,"+$6,600",,,,,VABK
14,,2020-07-23 15:22:40,2020-07-20,VABK,Payne Susan K,Dir,P - Purchase,$25.35,+182,16683,+1%,"+$4,605",,,,,VABK
15,,2020-04-17 15:30:27,2020-04-17,VABK,Payne Susan K,Dir,P - Purchase,$30.00,+152,16502,+1%,"+$4,560",,,,,VABK
16,M,2020-03-27 18:36:59,2018-10-12,VABK,Payne Susan K,Dir,P - Purchase,$37.47,+680,16350,+4%,"+$25,480",,,,,VABK
17,,2019-06-10 15:30:01,2019-06-10,VABK,Dittmar William D Jr.,Dir,P - Purchase,$38.25,"+4,300",192058,+2%,"+$164,475",,,,,VABK
18,,2019-06-05 17:42:50,2019-06-04,VABK,Holland James T,Dir,P - Purchase,$38.69,+400,15515,+3%,"+$15,478",,,,,VABK
19,A,2019-02-05 13:21:58,2019-02-01,VABK,Benham H. K. III,Dir,P - Purchase,$38.40,+500,17739,+3%,"+$19,200",,,,,VABK
20,,2019-02-05 11:17:07,2019-02-01,VABK,Benham H. K. III,Dir,P - Purchase,$38.40,"+5,000",22254,+29%,"+$192,000",,,,,VABK
21,,2019-02-01 18:16:49,2019-01-31,VABK,Holland James T,Dir,P - Purchase,$37.50,"+1,207",14338,+9%,"+$45,263",,,,,VABK
22,A,2019-01-18 16:27:06,2018-08-23,VABK,Dittmar William D Jr.,Dir,P - Purchase,$46.00,"+1,934",186981,+1%,"+$88,964",,,,,VABK
23,,2018-08-27 12:34:08,2018-08-23,VABK,Dittmar William D Jr.,Dir,P - Purchase,$46.00,"+1,934",178170,+1%,"+$88,964",,,,,VABK
24,D,2018-03-12 17:19:36,2018-03-08,VABK,Shewmake Donna G,"GC, EVP, Secreta",S - Sale+OE,$40.25,-1200,1250,-49%,"-$48,300",,,,,VABK
25,,2018-02-09 16:50:06,2018-02-09,VABK,Bayes Virginia R,"Chief Credit Officer, EVP",P - Purchase,$39.55,+825,6736,+14%,"+$32,628",,,,,VABK
26,M,2018-02-08 14:38:52,2018-02-06,VABK,Dittmar William D Jr.,Dir,P - Purchase,$39.55,"+1,000",176236,+1%,"+$39,550",,,,,VABK
27,,2018-02-05 16:18:59,2018-02-02,VABK,Bayes Virginia R,"Chief Credit Officer, EVP",S - Sale,$39.50,-825,5911,-12%,"-$32,588",,,,,VABK
28,,2018-01-29 16:18:13,2018-01-29,VABK,Harrison Tara Y,"EVP, CFO",P - Purchase,$39.75,+100,100,New,"+$3,975",,,,,VABK
